"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SITE_DESC", 
"US-Bes", "11832", "GRP_SITE_DESC", "The study site is located about 10 km east of the town of Barrow, Alaska. This 3,021 ha BEO reserve was set aside by the Ukpeagvik Iñupiat Corporation (UIC, the Barrow village native corporation), in perpetuity, for scientific research. The vegetation shows very high heterogeneity reflecting variation in microtopographic and other environmental factors and the presence of thaw lakes, frost boils and other patterned ground. This site is characterized by continuous permafrost and by an average seasonal thaw (active layer) depth of about 30 cm. The vegetation mainly consists of wet sedge meadow tundra; mosses represent the major component of the living biomass; the main vascular plant is represented by Carex aquatilis, Eriophorum vaginatum,and Dupontia fisheri.", 
"US-Bi1", "33511", "GRP_SITE_DESC", "agricultural field in the San Joaquin Sacramento Delta.  the field is a mix of organic peat and sediments and minerals from old river channels", 
"US-Bi2", "33512", "GRP_SITE_DESC", "corn is growing on an island in the Sacramento San Joaquin Delta.  This site has deep peat that was drained for farming. Over the past 100 years there has been excessive subsidence of the peat in the delta", 
"US-Bkg", "4099", "GRP_SITE_DESC", "The Brookings site is located in a private pasture, consisting of a mixture of C3 and C4 species actively used for grazing. Belonging to the Northern Great Plains Rangelands, the grassland is representative of many in the north central United States, with seasonal winter conditions and a wet growing season.", 
"US-Blk", "9377", "GRP_SITE_DESC", "The Black Hills tower was established by the Institute for Atmospheric Studies of the South Dakota School of Mines and Technology.", 
"US-Blo", "14398", "GRP_SITE_DESC", "The flux tower site at Blodgett Forest is on a 1200 ha parcel of land owned by Sierra Pacific Industries in the Sierra Nevada range near Georgetown, California. The field site was established in May 1997 with continuous operation since May 1999. The site is situated in a ponderosa pine plantation, mixed-evergreen coniferous forest, located adjacent to Blodgett Forest Research Station. The Mediterranean-type climate of California is characterized by a protracted summer drought, with precipitation occurring mainly from October through May. The infrastructure for the ecosystem scale flux measurements includes a walkup measurement tower, two temperature controlled instrument buildings, and an electrical generation system powered by a diesel generator. Typical wind patterns at the site include upslope flow during the day (from the west) and downslope flow at night (from the east). The plantation is relatively flat, and contains a homogenous mixture of evenly aged ponderosa pine with other trees and shrubs scattered throughout the ecosystem making up less than 30% of the biomass. The daytime fetch for the tower measurements extends approximately 200 m to the southwest of the tower (this region contributes ~90% of the daytime flux), thus remote sensing images to be used for modeling should probably be centered approximately 100 m from the tower at an angle of 225 deg.", 
"US-Bn1", "6712", "GRP_SITE_DESC", "The Delta Junction 1920 Control site is located near Delta Junction, just to the north of the Alaska Range in interior Alaska. All three Delta Junction sites are within a 15-km radius of one another. Composed of a combination of alluvial outwashes, floodplains, and low terraces dissected by glacial streams originating in the nearby Alaska Range. In 2001, total aboveground biomass consisted almost entirely of black spruce (Picea mariana).", 
"US-Bn2", "7560", "GRP_SITE_DESC", "The Delta Junction 1987 Burn site is located near Delta Junction, just to the north of the Alaska Range in interior Alaska. All three Delta Junction sites are within a 15-km radius of one another. Composed of a combination of alluvial outwashes, floodplains, and low terraces dissected by glacial streams originating in the nearby Alaska Range. The Granite Creek fire burned ~20,000 ha of black spruce (Picea mariana) during 1987. Approximately half of the dead boles remained upright in 2004, while the other half had fallen over or had become entangled with other boles.", 
"US-Bn3", "1613", "GRP_SITE_DESC", "The Delta Junction 1999 Burn site is located near Delta Junction, just to the north of the Alaska Range in interior Alaska. All three Delta Junction sites are within a 15-km radius of one another. Composed of a combination of alluvial outwashes, floodplains, and low terraces dissected by glacial streams originating in the nearby Alaska Range. The Donnelly Flats fire burned ~7,600 ha of black spruce (Picea mariana) during June 1999. The boles of the black spruce remained standing 3 years after the fire. 70% of the surface was not covered by vascular plants.", 
"US-Bo1", "4118", "GRP_SITE_DESC", "Agriculture, continuous no-till since 1986, Annual rotation between corn (C4) and soybeans (C3). The field was planted with corn during 2005 and 2007, with soybeans during 2006 and 2008.", 
"US-Bo2", "6776", "GRP_SITE_DESC", "Located 400m north of Tilden Meyer's site and planted with opposite crop in corn/soybean rotation", 
"US-Br1", "4110", "GRP_SITE_DESC", "The Brooks Field Site 10 - Ames Site is one of three sites (Brooks Field Site 11 and Brooks Field Site 1011) located in a corn/soybean agricultural landscape of central Iowa. The farming systems, associated tillage, and nutrient management practices for soybean/corn production are typical of those throughout Upper Midwest Corn Belt. All three sites are members of the AmeriFlux network. Information for all three can be found in synchronous pages of this website.", 
"US-Br2", "747", "GRP_SITE_DESC", "The Brooks Field Site 1011 - Ames Site is one of three sites (Brooks Field Site 10 and Brooks Field Site 11) located in a corn/soybean agricultural landscape of central Iowa. The farming systems, associated tillage, and nutrient management practices for soybean/corn production are typical of those throughout Upper Midwest Corn Belt. All three sites are members of the AmeriFlux network. Information for all three can be found in synchronous pages of this website.", 
"US-Br3", "5866", "GRP_SITE_DESC", "The Brooks Field Site 11 - Ames Site is one of three sites (Brooks Field Site 10 and Brooks Field Site 1011) located in a corn/soybean agricultural landscape of central Iowa. The farming systems, associated tillage, and nutrient management practices for soybean/corn production are typical of those throughout Upper Midwest Corn Belt. All three sites are members of the AmeriFlux network. Information for all three can be found in synchronous pages of this website.", 
"US-BRG", "30571", "GRP_SITE_DESC", "The Bayles Road grassland tower is situated in an experimental field incorporated within the Indiana University Research and Teaching Preserve.  The field was historically covered by bottomland hardwood forest and later maintained for plant genetics studies.  Intermixed species of grasses, sedges, and forbs are currently maintained with occasional mowing.", 
"US-Brw", "14931", "GRP_SITE_DESC", "The local landscape surrounding the Barrow site has a history absent of any disturbances. The terrain was not heavily glaciated during the last period of glaciation. The vegetation is mature in an unmanaged and undisturbed Arctic tundra.", 
"US-Bsg", "16090", "GRP_SITE_DESC", "The site was established in 2012 and is part of a NOAA observation network for high precision measurements of carbon dioxide concentrations. It is located about 60 km southwest of Burns, Oregon in the Oregon High Desert. The vegetation in this area is dominated by sagebrush. The sampling inlets are at the heights of 18.5, 28.5, and 38.5 m. Gas analysis is performed with a Picarro 2302 Cavity Ringdown Spectrometer and a Li-Cor 7200 enclosed path IRGA. The tower is also equipped with a set of meteorological instruments, including an HMP sensor, radiation sensors (incoming and diffuse PAR, Net radiometer), and a CSAT3 sonic anemometer. This site is also part of the PhenoCam network operated by Harvard University and the University of New Hampshire.", 
"US-BSM", "31122", "GRP_SITE_DESC", "The tower (tripod) is located in the center of the Great Marsh in Barnstable, Cape Cod, Massachusetts. It is a natural, well-developed salt marsh site, dominated by Spartina. It is subject to typical subdaily tides.", 
"US-BZB", "87196", "GRP_SITE_DESC", "Intermediate to old age thermokarst collapse scar boreal bog in the Tanana Lowlands of Interior Alaska.  Peat soils ~1-m thick. Recharged by precipitation and runoff from the surrounding forested peat plateaus.  Primary wind direction in the summer is WSW.", 
"US-BZF", "87223", "GRP_SITE_DESC", "The rich fen is in the boreal peatland lowlands of the Tanana Flats in interior Alaska. Lacks near-surface permafrost even though the surrounding landscape is marked by the presence of permafrost. Peat depth is 1-2m. Primary wind direction in the summer is WSW.", 
"US-BZL", "87229", "GRP_SITE_DESC", "The thermokarst lake is fairly newly formed and is located within the Goldstream Valley in Fairbanks, AK. The lake is informally known as 'Big Trail Lake', and is within a discontinuos permafrost area, although Goldstream Valley itself contains more continuous permafrost and peaty soils.", 
"US-BZo", "87276", "GRP_SITE_DESC", "Old thermokarst collapse scar boreal bog  (several hundred years old) in the Tanana Lowlands of Interior Alaska.  Peat soils ~1-m thick. Recharged by precipitation and runoff from the surrounding forested peat plateaus. Primary wind direction in the summer is WSW.", 
"US-BZS", "87177", "GRP_SITE_DESC", "Mature black spruce boreal forest with cold, permafrost soils on a peat plateau. In the Tanana lowlands in interior Alaska. Primary wind direction in the summer is WSW.", 
"US-CaV", "30775", "GRP_SITE_DESC", "None supplied.", 
"US-CdM", "86849", "GRP_SITE_DESC", "This site is an Ameriflux rapid response system (installed May 2019) located on Cedar Mesa in the middle of Bear's Ears National Monument. In 2018, this pinon-juniper woodland experienced a very severe drought, resulting in widespread mortality of Utah juniper (Juniperus osteosperma). The land is occasionally grazed for a few months in the spring.", 
"US-Ced", "12668", "GRP_SITE_DESC", "Wildfires and prescribed fires are a common occurrence in the NJ Pinelands.  Prior to a 1995 nonstand replacing wildfire, the stand was last burned in the very large wildfire in 1963. Plow lines were installed for fire control in December of 2007, followed by a prescribed burns in 2008 and 2013, conducted by the New Jersey Forest Fire Service. Pine looper defoliated the stand in 1998, and Gypsy moth defoliated the understory and deciduos oaks in 2007.  Pitch Pines are largely unaffected by defoliation by Gypsy moth.", 
"US-ChR", "30779", "GRP_SITE_DESC", "None supplied.", 
"US-Cms", "84693", "GRP_SITE_DESC", "This tower is located near Central Marsh, Barrow. The wet sedge is dominated on permafrost.", 
"US-Cop", "758", "GRP_SITE_DESC", "The Corral Pocket site is located in a semi-arid grassland in southeastern Utah, just east of Canyonlands National park. For the greater part of the year, 38-80% of the ground is essentially bare. Vegetation is primarily native perennial C3/C4 grasses with annual ground converge ranging from 8-35%. Leaving the remaining 0-15% coverage to interspersed annual grasses, the remaining 0-15% coverage is occupied by annual grasses. 6-8 weeks during the late fall or winter, Livestock grazing is responsible for the majority of aboveground vegetation loss and subsequent high variability of ground coverage.", 
"US-CPk", "86478", "GRP_SITE_DESC", "High elevation, primarily lodge-pole pine forest with high amounts of Mountain Pine Bark Beetle mortality. Site burned in June/July 2018, characterized by a highly heterogeneous fire behavior that resulted in unburned, understory-only, as well as severely-burned patches within meters of the tower structure.", 
"US-CRT", "12774", "GRP_SITE_DESC", "The conventional cropland site is rain fed and no irrigation is applied. As it is located in a part of the historic Great Black Swamp, drainage tiles are deployed around 0.5–1.0 m beneath the ground surface in order to draw down the water level. The soil is classified as silty clay and silty clay loam. The cultivation practices include minimum tillage and both insect and weed control.  During the study period, the cropland was planted with soybean and winter wheat.", 
"US-CS1", "83385", "GRP_SITE_DESC", "Heartland Farms Center-Pivot Irrigated Potato Field", 
"US-CS2", "87359", "GRP_SITE_DESC", "Tri county school Forest", 
"US-CS3", "87394", "GRP_SITE_DESC", "Heartland Farms Center-Pivot Irrigated Potato Field", 
"US-Cst", "13220", "GRP_SITE_DESC", "The study takes place in the Crossett Experimental Forest (CEF, 32°2′ N, 91°57′ W), which was established in 1934 with the objective of developing effective management protocols for loblolly and shortleaf pine forests in the Gulf Coastal Plain. Mean annual temperature and precipitation are 17.6 °C and 1,410 mm, respectively. Most of the soils on and near the CEF are silt loams (primarily Glossaquic Fragiudalfs).  The tower is situated in the the old-growth pine management sector of the CEF, which  emphasizes management for old-growth-like conditions, with the goal of emulating the structural and compositional attributes of historic forests from this region using a combination of timber harvesting, prescribed fire, and other tools. This includes periodic commercial logging of intermediate-sized loblolly pines to support further restoration treatments, such as prescribed fire, hardwood and exotic species competition control, and the increase of plant species more compatible with fire (e.g., shortleaf pine and understory grasses)", 
"US-Ctn", "30777", "GRP_SITE_DESC", "None supplied.", 
"US-Cwt", "84990", "GRP_SITE_DESC", "Mature, secondary, deciduous-dominated forest. Located in southern Appalachian mountains, cove location, near base of forested catchment. Proximity close to USFS Coweeta Hydrologic Laboratory offices. Forest harvesting until early 1930s, unmanaged since.", 
"US-CZ1", "30972", "GRP_SITE_DESC", "Half hourly data are available at https://www.ess.uci.edu/~california/. This site is one of four Southern Sierra Critical Zone Observatory flux towers operated along an elevation gradient (sites are USCZ1, USCZ2, USCZ3 and USCZ4). This site is an Oak/pine woodland, with occasional grazing, some history of understory burn, and severe drought in 2011-15", 
"US-CZ2", "30973", "GRP_SITE_DESC", "Half hourly data are available at https://www.ess.uci.edu/~california/. This site is one of four Southern Sierra Critical Zone Observatory flux towers operated along an elevation gradient (sites are USCZ1, USCZ2, USCZ3 and USCZ4). This site is an oak/pine forest, with occasional thinning and wildfire, a prescribed understory burn ~2012, and severe drought and ~80% canopy mortality in 2011-15", 
"US-CZ3", "30931", "GRP_SITE_DESC", "Half hourly data are available at https://www.ess.uci.edu/~california/.  
This site is one of four Southern Sierra Critical Zone Observatory flux towers operated along an elevation gradient (sites are USCZ1, USCZ2, USCZ3 and USCZ4).  
This site is a pine/fir forest; it historically experienced logging and wildfire, was thinned in ~2012, and experienced severe drought and ~20% canopy mortality in 2011-15.", 
"US-CZ4", "30974", "GRP_SITE_DESC", "Half hourly data are available at https://www.ess.uci.edu/~california/. This site is one of four Southern Sierra Critical Zone Observatory flux towers operated along an elevation gradient (sites are USCZ1, USCZ2, USCZ3 and USCZ4). This site is a lodgepole pine subalpine woodland with no recent disturbance.", 
"US-Dea", "11416", "GRP_SITE_DESC", "University of California Desert Research and Extension Center", 
"US-Deu", "11436", "GRP_SITE_DESC", "University of California Desert Research and Extension Center", 
"US-DFK", "87340", "GRP_SITE_DESC", "alfalfa field prior to intermediate wheatgrass planting", 
"US-Dia", "11508", "GRP_SITE_DESC", "The site is on land owned by Lawrence Livermore National Laboratory (Site 300) and has no grazing or management history since the 1950's except for summer-time burning of selected acres for fire management (not included in the tower footprint).", 
"US-Dix", "8401", "GRP_SITE_DESC", "The Fort Dix site is located in the upland forests of the New Jersey Pine Barrens, the largest continuous forested landscape on the Northeastern coastal plain. Upland forests occupy 62% of the 1.1 million acre Pine Barrens and can be divided into three dominant stand types, Oak/Pine (19.1%), Pine/Oak (13.1%), and Pitch Pine/Scrub oak (14.3%). The majority of mature upland forests are the product of regeneration following late 19th century logging and charcoaling activities. Gypsy moths first appeared in the Pine Barrens of New Jersey in 1966. Since the time of arrival, the upland forest stands have undergone several episodes of defoliation, the most significant occurred in 1972, 1981, and 1990. In recent years, the overstory oaks and understory oaks and shrubs of the Fort Dix stand, underwent two periods of defoliation by Gypsy moth, in 2006 and 2007. During these two years, maximum leaf area reached only 70% of the 2005 summer maximum.", 
"US-Dk1", "7949", "GRP_SITE_DESC", "The Duke Forest grass field is approximately 480×305 m, dominated by the C3 grass Festuca arundinacea Shreb. (tall fescue) includes minor components of C3 herbs and the C4 grass Schizachyrium scoparium (Michx.) Nash, not considered here. The site was burned in 1979 and is mowed annually during the summer for hay according to local practices. Lai, C.T. and G.G. Katul, 2000, "The dynamic role of root-water uptake in coupling potential to actual transpiration" , Advances in Water Resources, 23, 427-439; Novick , K.A., P. C. Stoy, G. G. Katul, D. S. Ellsworth, M. B. S. Siqueira, J. Juang, R. Oren, 2004, Carbon dioxide and water vapor exchange in a warm temperate grassland, Oecologia, 138, 259-274; Stoy PC, Katul GG, Siqueira MBS, Juang J-Y, McCarthy HR, Oishi AC, Uebelherr JM, Kim H-S, Oren R (2006). Separating the effects of climate and vegetation on evapotranspiration along a successional chronosequence in the southeastern U.S. Global Change Biology 12:2115-2135", 
"US-Dk2", "2788", "GRP_SITE_DESC", "private land adjacent to the Duke Forest in November 2002", 
"US-Dk3", "1092", "GRP_SITE_DESC", "The site was established in 1983 following a clear cut and a burn. Pinus taeda L. (loblolly pine) seedlings were planted at 2.4m by 2.4m spacing and ecosystem development has not been managed after planting. Canopy height increased from 16m in 2001 to 18m in 2004. The canopy is comprised primarily of P. taeda with some emergent Liquidambar styraciflua L. and a diverse and growing understory with 26 different woody species of diameter breast height 42.5 cm. The flux tower lies  upwind of the CO2-enriched components of the free atmosphere carbon enrichment (FACE) facility located in the same pine forest. EC instrumentation is at 20.2m on a 22m tower.", 
"US-DPP", "86729", "GRP_SITE_DESC", "The area was set aside for conservation as a mitigation site. It was unmanaged Longleaf Pine stand", 
"US-DPW", "86877", "GRP_SITE_DESC", "The area was set aside for conservation as a mitigation site. It was unmanaged depression marsh", 
"US-EDN", "84706", "GRP_SITE_DESC", "This tower located  at Eden Landing Ecological Reserve, a 6400 acres reserve with diked marsh and newly (10 year old) restored salt ponds, managed by the California Department of Fish and Wildlife (CDFW) in the San Francisco Bay.", 
"US-Elm", "30776", "GRP_SITE_DESC", "None supplied.", 
"US-EML", "11156", "GRP_SITE_DESC", "Tundra permafrost degrading", 
"US-Esm", "30778", "GRP_SITE_DESC", "None supplied.", 
"US-Fcr", "85257", "GRP_SITE_DESC", "Burned black spruce forest by a moderate fire at 2010", 
"US-Fmf", "12005", "GRP_SITE_DESC", "Ponderosa pine forest subject to thinning in September 2006. Project webpage http://nau.edu/CEFNS/Forestry/Research/Carbon-Flux/Sites/", 
"US-FPe", "9280", "GRP_SITE_DESC", "The Fort Peck, Montana station is located on the Fort Peck Tribes Reservation, approximately fifteen miles north of Poplar, Montana. The tower is located to the west of the SURFRAD instrumentation and was installed in November of 1999.", 
"US-FR1", "2590", "GRP_SITE_DESC", "Mixture of C3 and C4 species", 
"US-FR2", "2444", "GRP_SITE_DESC", "Freeman Ranch is a 4200 ha research area owned by Texas State University. It is located on the easter Edwards Plateau in central Texas and overlies and recharges the Edwards Aquifer. Most of the ranch is occupied by upland habitats.", 
"US-FR3", "4200", "GRP_SITE_DESC", "Dense canopy of live oak and Ashe juniper", 
"US-Fuf", "12025", "GRP_SITE_DESC", "Ponderosa pine forest not subject to disturbance in the last decades. Project webpage http://nau.edu/CEFNS/Forestry/Research/Carbon-Flux/Sites/.", 
"US-Fwf", "12050", "GRP_SITE_DESC", "Ponderosa pine forest   subject to high severity stand replacing wild fire in 1996. Project webpage http://nau.edu/CEFNS/Forestry/Research/Carbon-Flux/Sites/.", 
"US-GBT", "16026", "GRP_SITE_DESC", "The Glacier Lakes Ecosystem Experiments Site (GLEES) site is located on land owned by the U.S. government and managed by US Forest Service as part of the Medicine Bow National Forest. Many of the trees in the immediate vicinity of the site are older than 400 years, inter-dispersed among trees much younger in age. This widespread age distribution is most likely a derivation of one of two scenarios: 1) A widespread stand replacement about 400 years ago followed by a slow replacement; 2) Intermittent random disturbances over the past 400 years (Bradford et al. 2008). A decade long spruce beetle outbreak that peaked in 2008 resulted in the mortality of 85% of the forested basal area. There are a few private land holdings in the area, with scattered uncorked mining claims. Following the establishment of the National Forest, mining was banned and grazing was closed in the early 1990's in the upper portion of the GLEES site. Recreation in the winter, when snow can remain in patches into the summer months, snow mobiling and cross country skiing are popular. During the limited summer, hiking, camping and fishing are common activities. The site is accessible by vehicle only during the summer on Forest Road FDR 317, and in the winter, the tower is only reachable via snowmobile.", 
"US-GCE", "86863", "GRP_SITE_DESC", "Spartina alterniflora-dominated salt marsh on the interior of Sapelo Island, a barrier island on the Georgia Coast. The GCE-LTER research program was initiated in September 2000, and the eddy covariance flux tower was deployed in the salt marsh in July 2013. Septmber - March has North-northeast winds has SURFACE_HOMOGENEITY of 270m.", 
"US-GLE", "15343", "GRP_SITE_DESC", "The Glacier Lakes Ecosystem Experiments Site (GLEES) site is located on land owned by the U.S. government and managed by US Forest Service as part of the Medicine Bow National Forest. Many of the trees in the immediate vicinity of the site are older than 400 years, inter-dispersed among trees much younger in age. This widespread age distribution is most likely a derivation of one of two scenarios: 1) A widespread stand replacement about 400 years ago followed by a slow replacement; 2) Intermittent random disturbances over the past 400 years (Bradford et al. 2008). A decade long spruce beetle outbreak that peaked in 2008 resulted in the mortality of 85% of the forested basal area. There are a few private land holdings in the area, with scattered uncorked mining claims. Following the establishment of the National Forest, mining was banned and grazing was closed in the early 1990's in the upper portion of the GLEES site. Recreation in the winter, when snow can remain in patches into the summer months, snow mobiling and cross country skiing are popular. During the limited summer, hiking, camping and fishing are common activities. The site is accessible by vehicle only during the summer on Forest Road FDR 317, and in the winter, the tower is only reachable via snowmobile.", 
"US-GMF", "7572", "GRP_SITE_DESC", "The experimental site is in the Great Mountain Forest on moderately hilly terrain in Norfolk, Connecticut. The site is a naturally regenerating forest impacted by fires, logging, hurricanes, and cultivation over the past century. The site switched from a continuous measurement mode to a campaign mode on DOY 125, 2004.", 
"US-Goo", "7540", "GRP_SITE_DESC", "The Goodwin Creek site is located in the Bluff Hills, just east of the Mississippi River valley. In addition to being a core AmeriFlux site, Goodwin Creek is also affiliated with a multitude of other projects including SURFRAD, BSRN, and one of the twelve watersheds in the USDA Conservation Reserve Program. Natural disturbances are of minimal influence to the site. The immediate region is primarily used for grazing while infrequent logging activities occur in nearby forests. The grass surrounding the base of the tower is mowed periodically to maintain a height consistent with the regional grasslands.", 
"US-GZ1", "85783", "GRP_SITE_DESC", "This site is located at Genesee, ID and currently under a crop rotation that consists of winter and spring crops. This site is under no-tillage management.", 
"US-GZ2", "85821", "GRP_SITE_DESC", "This site is located at Genesee, ID and currently under a crop rotation that consists of winter and spring crops. This site is under no-tillage management.", 
"US-GZ3", "85889", "GRP_SITE_DESC", "This site is located at Genesee, ID and currently under a crop rotation that consists of winter and spring crops. This site is under no-tillage management.", 
"US-Ha1", "11968", "GRP_SITE_DESC", "The Harvard Forest tower is on land owned by Harvard University. The site is designated as an LTER site. Most of the surrounding area was cleared for agrigulture during European settlement in 1600-1700. The site has been regrowing since before 1900 (based on tree ring chronologies) and is now predominantly red oak and red maple, with patches of mature hemlock stand and individual white pine. Overstory trees were uprooted by hurricane in 1938.  Climate measurements have been made at Harvard Forest since 1964.", 
"US-Ha2", "12593", "GRP_SITE_DESC", "The forest surrounding the Hemlock site has remained pristine with two exceptions. In the early to mid-1700s, European settlers cleared the majority of the forest for agricultural purposes. Selective harvesting of hemlock and chestnut trees occurred up until the early 1900s, when the chestnut blight killed all of the chestnut trees. In the current forest, about 83% of the total basal area of trees is hemlock. The remainder is equally divided between eastern white pine (Pinus strobus L.) and deciduous species, including red maple (Acer rubrum), red oak (Quercus rubra) and black birch (Betula lenta). A very thick organic layer (10-20 cm or more) covers the soil surface, and highly decayed coarse woody debris is abundant.", 
"US-HB1", "81384", "GRP_SITE_DESC", "The flux footprint includes a tidal salt marsh with approximately 40% tall form Spartina alterniflora, 40% short form Spartina alterniflora and 20% creek.", 
"US-HB2", "79875", "GRP_SITE_DESC", "A mature longleaf pine forest that is periodically managed with fire", 
"US-HB3", "86452", "GRP_SITE_DESC", "A mixed forest that was clearcut, herbicided and planted in containerized longleaf pine seedlings", 
"US-HBK", "81450", "GRP_SITE_DESC", "Mixed forest dominated by BEAL, ACRU with lesser components of PIRU. Gently sloped plateau within mountainous terrain.", 
"US-Hn1", "85949", "GRP_SITE_DESC", "The site is an upland sagebrush-steppe ecosystem within the Hanford 300 Area.", 
"US-Hn2", "85950", "GRP_SITE_DESC", "The site is a riparian grassland ecosystem characterized by a shallow water table.", 
"US-Hn3", "85951", "GRP_SITE_DESC", "The site is a riparian sagebrush-steppe ecosystem characterized by a shallow water table.", 
"US-Ho1", "11458", "GRP_SITE_DESC", "Closed conifer forest, minimal disturbance. References: Fernandez et al. (1993),  Canadian Journal of Soil Science 73 317-328.  Hollinger et al. (1999),  Global Change Biology 5: 891-902.  Savage KE, Davidson EA (2001), Global Biogeochemical Cycles 15 337-350. Scott et al. (2004), Environmental Management, Vol. 33, Supplement 1, pp. S9-S22. Hollinger et al. (2004), Global Change Biology 10: 1689-1706.", 
"US-Ho2", "11491", "GRP_SITE_DESC", "Closed conifer forest, minimal disturbance. References: Fernandez et al. (1993),  Canadian Journal of Soil Science 73 317-328.  Hollinger et al. (1999),  Global Change Biology 5: 891-902.  Savage KE, Davidson EA (2001), Global Biogeochemical Cycles 15 337-350. Scott et al. (2004), Environmental Management, Vol. 33, Supplement 1, pp. S9-S22. Hollinger et al. (2004), Global Change Biology 10: 1689-1706.", 
"US-Ho3", "11787", "GRP_SITE_DESC", "Closed conifer forest, minimal disturbance. References: Fernandez et al. (1993),  Canadian Journal of Soil Science 73 317-328.  Hollinger et al. (1999),  Global Change Biology 5: 891-902.  Savage KE, Davidson EA (2001), Global Biogeochemical Cycles 15 337-350. Scott et al. (2004), Environmental Management, Vol. 33, Supplement 1, pp. S9-S22. Hollinger et al. (2004), Global Change Biology 10: 1689-1706.", 
"US-HPY", "30553", "GRP_SITE_DESC", "natural, unmitigated brackish tidal wetland Spartina patens, invasion of Phragmites australis", 
"US-HRA", "83445", "GRP_SITE_DESC", "Zero grade rice field (25 ha) under continuous rice operation for > 10 years", 
"US-HRC", "12952", "GRP_SITE_DESC", "Conventional flood irrigation method on a rice field under continuous rice operation for 50 years", 
"US-HRN", "88168", "GRP_SITE_DESC", "Commercially farmed rice field in Lonoke County, Arkansas. Part of a multi-year, paired field experiment with US-HRS. Field is approx 26 ha in size (350 m N-S and 750 m E-W).", 
"US-HRP", "31144", "GRP_SITE_DESC", "The tower (tripod) is located in the center of a degraded, invasive Phragmites site in the Herring River basin in Cape Cod, Massachusetts. In the downstream a dike was build about 100 years ago to block tidal seawater flooding in. It is now a brackish wetland site dominated by Phragmites. It is subject to periodical tidal flooding.", 
"US-HRS", "88174", "GRP_SITE_DESC", "Commercially farmed rice field in Lonoke County, Arkansas. Part of a multi-year, paired field experiment with US-HRN. Field is approx 26 ha in size (350 m N-S and 750 m E-W).", 
"US-HVa", "15784", "GRP_SITE_DESC", "Arctic tundra:tossock tundra", 
"US-HVs", "84668", "GRP_SITE_DESC", "This tower is located at Happy Valley.", 
"US-IB1", "3322", "GRP_SITE_DESC", "Two eddy correlation systems are installed at Fermi National Accelerator Laboratory: one on a restored prairie (established October 2004) and one on a corn/soybean rotation agricultural field (established in July 2005). The prairie site had been farmed for more than 100 years, but was converted to prairie in 1989. The agricultural site has likely been farmed for more than 100 years, but the first documented instance of agricultural activity dates back to a picture taken in 1952.", 
"US-IB2", "3323", "GRP_SITE_DESC", "Two eddy correlation systems are installed at Fermi National Accelerator Laboratory: one on a restored prairie (established October 2004) and one on a corn/soybean rotation agricultural field (established in July 2005). The prairie site had been farmed for more than 100 years, but was converted to prairie in 1989. April annual to bi-annual prescribed burns have taken place from 1994 - 2007.", 
"US-ICh", "12075", "GRP_SITE_DESC", "The Imnavait Creek Watershed Heath Tundra (Ridge Station) is located near Imnavait Creek in Alaska, north of the Brooks Range in the Kuparuk basin near Lake Toolik and the Toolik Field Station. The Kuparuk River has its headwaters in the Brooks Range and drains through northern Alaska into the Arctic Ocean. Within these headwaters lies the Imnavait basin at an average elevation of 930 m. Water tracks run down the hill in parallel zones with a spacing of approximately 10 m. The Ridge Station was deployed at the end of Summer 2007.", 
"US-ICs", "12095", "GRP_SITE_DESC", "The Imnavait Creek Watershed Wet Sedge Tundra (Fen Station) is located near Imnavait Creek in Alaska, north of the Brooks Range in the Kuparuk basin near Lake Toolik and the Toolik Field Station. The Kuparuk River has its headwaters in the Brooks Range and drains through northern Alaska into the Arctic Ocean. Within these headwaters lies the Imnavait basin at an average elevation of 930 m. Water tracks run down the hill in parallel zones with a spacing of approximately 10 m. The Fen Station was deployed at the end of Summer 2007.", 
"US-ICt", "12115", "GRP_SITE_DESC", "The Imnavait Creek Watershed Tussock Tundra (Biocomplexity Station) is located near Imnavait Creek in Alaska, north of the Brooks Range in the Kuparuk basin near Lake Toolik and the Toolik Field Station. The Kuparuk River has its headwaters in the Brooks Range and drains through northern Alaska into the Arctic Ocean. Within these headwaters lies the Imnavait basin at an average elevation of 930 m. Water tracks run down the hill in parallel zones with a spacing of approximately 10 m. The Biocomplexity Station was deployed in 2004, and it has been in operation during the melt seasons ever since.", 
"US-Ivo", "14911", "GRP_SITE_DESC", "This site is 300 km south of Barrow and is located at the foothill of the Brooks Range and is classified as tussock sedge, dwarf-shrub, moss tundra.", 
"US-JLN", "85684", "GRP_SITE_DESC", "In proximity to the town of Henderson and upper Choptank River, and < 1 km from MD / DE border.  Relatively flat topography with depressional wetlands, forest and agriculture;  canopy height ~ 10 to 15 m; installed in November 2017 but data collection began in April 2018; previously agricultural land converted to wetland around 2005.", 
"US-JLR", "85707", "GRP_SITE_DESC", "In proximity to the town of Henderson and upper Choptank River, and < 1 km from MD / DE border.  Relatively flat topography with depressional wetlands, forest and agriculture;  canopy height ~ 10 to 15 m; installed in November 2017 but data collection began in April 2018; previously agricultural land converted to wetland around 2005.", 
"US-JRn", "87875", "GRP_SITE_DESC", "CO2 and CH4 fluxes. Site located in a mowed grass meddow patch surrounded by forest, on a hilltop.", 
