"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SPP_COMMENT", "SPP_U", "SPP_UNIT", "SPP_APPROACH", "SPP_DATE", "SPP_U_PERC", "SPP_U_PERC_SPATIAL_REP_NUMBER", "SPP_U_PERC_SPATIAL_VARIABILITY", "SPP_DATE_UNC", 
"US-Ton", "27523", "GRP_SPP_U", , "OL (NRCS plant code)", "Unknown", , , , , , , 
"US-Ton", "27857", "GRP_SPP_U", , "BRDI (NRCS plant code)", "Unknown", , , , , , , 
"US-Ton", "27864", "GRP_SPP_U", , "CHPO (NRCS plant code)", "Unknown", , , , , , , 
"US-Ton", "27881", "GRP_SPP_U", , "CYEC (NRCS plant code)", "Unknown", , , , , , , 
"US-Ton", "28113", "GRP_SPP_U", , "B (NRCS plant code)", "Unknown", , , , , , , 
"US-Ton", "28123", "GRP_SPP_U", , "SHAR (NRCS plant code)", "Unknown", , , , , , , 
"US-Ton", "28226", "GRP_SPP_U", , "CALOCHOR (NRCS plant code)", "Unknown", , , , , , , 
"US-Ton", "28248", "GRP_SPP_U", , "AICA (NRCS plant code)", "Unknown", , , , , , , 
"US-Ton", "28449", "GRP_SPP_U", , "VUMY (NRCS plant code)", "Unknown", , , , , , , 
"US-Ton", "28455", "GRP_SPP_U", , "AETR (NRCS plant code)", "Unknown", , , , , , , 
"US-Ton", "28456", "GRP_SPP_U", , "DIVO (NRCS plant code)", "Unknown", , , , , , , 
"US-Ton", "28479", "GRP_SPP_U", , "BRHO (NRCS plant code)", "Unknown", , , , , , , 
"US-Ton", "28963", "GRP_SPP_U", , "LICI (NRCS plant code)", "Unknown", , , , , , , 
"US-UMB", "18855", "GRP_SPP_U", "Only species with biomass > 0.1% of total biomass included in results", "Acer pensylvanicum", "% mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 77 - 0.08 ha plots for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "0.21", "77", "0.43", "28", 
"US-UMB", "18862", "GRP_SPP_U", "Only species with biomass > 0.1% of total biomass included in results", "Acer rubra", "% mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 77 - 0.08 ha plots for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "0.65", "77", "0.53", "28", 
"US-UMB", "18869", "GRP_SPP_U", "Only species with biomass > 0.1% of total biomass included in results", "Acer saccharum", "% mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 77 - 0.08 ha plots for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "0.11", "77", "0.41", "28", 
"US-UMB", "18874", "GRP_SPP_U", "Only species with biomass > 0.1% of total biomass included in results", "Quercus rubra", "% mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 77 - 0.08 ha plots for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "0.46", "77", "0.83", "28", 
"US-UMB", "19061", "GRP_SPP_U", "Only species with biomass > 0.1% of total biomass included in results", "Fagus grandifolia", "% mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 77 - 0.08 ha plots for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "0.65", "77", "0.91", "28", 
"US-UMB", "19068", "GRP_SPP_U", "Only species with biomass > 0.1% of total biomass included in results", "Pinus strobus", "% mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 77 - 0.08 ha plots for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "0.42", "77", "0.76", "28", 
"US-UMB", "19075", "GRP_SPP_U", "Only species with biomass > 0.1% of total biomass included in results", "Populus grandidentata", "% mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 77 - 0.08 ha plots for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "0.14", "77", "0.58", "28", 
"US-UMB", "23974", "GRP_SPP_U", , "AMELA (NRCS plant code)", "Unknown", "Understory  trees defined as trees < 10cm DBH. Direct measurement of trees within a 60 m radius (1.13 ha plot) of flux tower and 60 - 0.08 ha plots within 1 km of flux tower.", , , , , , 
"US-UMB", "24233", "GRP_SPP_U", , "QURU (NRCS plant code)", "Unknown", "Understory  trees defined as trees < 10cm DBH. Direct measurement of trees within a 60 m radius (1.13 ha plot) of flux tower and 60 - 0.08 ha plots within 1 km of flux tower.", , , , , , 
"US-UMB", "24481", "GRP_SPP_U", , "ACRU (NRCS plant code)", "Unknown", "Understory  trees defined as trees < 10cm DBH. Direct measurement of trees within a 60 m radius (1.13 ha plot) of flux tower and 60 - 0.08 ha plots within 1 km of flux tower.", , , , , , 
"US-UMB", "24482", "GRP_SPP_U", , "FAGR (NRCS plant code)", "Unknown", "Understory  trees defined as trees < 10cm DBH. Direct measurement of trees within a 60 m radius (1.13 ha plot) of flux tower and 60 - 0.08 ha plots within 1 km of flux tower.", , , , , , 
"US-UMB", "24871", "GRP_SPP_U", , "PIST (NRCS plant code)", "Unknown", "Understory  trees defined as trees < 10cm DBH. Direct measurement of trees within a 60 m radius (1.13 ha plot) of flux tower and 60 - 0.08 ha plots within 1 km of flux tower.", , , , , , 
"US-UMd", "19199", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Acer saccharum", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "14.9", "23", "28.82", "28", 
"US-UMd", "19206", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Amelanchier spp", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "4", "23", "7.06", "28", 
"US-UMd", "19213", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Betula papyrifera", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "1.7", "23", "5.22", "28", 
"US-UMd", "19220", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Fagus grandifolia", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "19.3", "23", "23.49", "28", 
"US-UMd", "19225", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Populus grandidentata", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "2", "23", "7.12", "28", 
"US-UMd", "19231", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Populus tremuloides", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "0.1", "23", "0.53", "28", 
"US-UMd", "19237", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Quercus rubra", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "7.3", "23", "10.96", "28", 
"US-UMd", "19243", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Tsuga canadensis", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "0.6", "23", "2.74", "28", 
"US-UMd", "19247", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Amelanchier spp", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "3.5877230265", "23", "5.5394996068", "28", 
"US-UMd", "19253", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Betula papyrifera", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "0.19433031435", "23", "0.51674257479", "28", 
"US-UMd", "19258", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Fagus grandifolia", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "21.720823751", "23", "26.082486749", "28", 
"US-UMd", "19263", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Ostrya virginiana", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "0.97064448134", "23", "2.5094323312", "28", 
"US-UMd", "19266", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Pinus resinosa", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "3.3446855143", "23", "8.4521841087", "28", 
"US-UMd", "19273", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Ostrya virginiana", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "0.6", "23", "1.63", "28", 
"US-UMd", "19280", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Pinus resinosa", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "3.2", "23", "8.92", "28", 
"US-UMd", "19287", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Pinus strobus", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "23.6", "23", "22.59", "28", 
"US-UMd", "19296", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Acer pensylvanicum", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "2.3205346038", "23", "7.6222288134", "28", 
"US-UMd", "19303", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Acer rubra", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "19.781166364", "23", "16.419891794", "28", 
"US-UMd", "19310", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Acer saccharum", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "12.860068694", "23", "27.47677255", "28", 
"US-UMd", "19314", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Pinus strobus", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "25.040443426", "23", "25.022342565", "28", 
"US-UMd", "19316", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Populus grandidentata", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "0.24104425601", "23", "0.84299068758", "28", 
"US-UMd", "19317", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Quercus rubra", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "9.6499108147", "23", "15.842834758", "28", 
"US-UMd", "19318", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Tsuga canadensis", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20100714", "0.03", "23", "0.13585809509", "28", 
"US-UMd", "19328", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Acer pensylvanicum", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "1.9", "23", "8.29", "28", 
"US-UMd", "19335", "GRP_SPP_U", "Only species with biomass >= 0.1% of total biomass included in results", "Acer rubra", "% Mass", "Manual measurement of Diameter at breast height (DBH, 1.37m) of trees in 22 - 0.08 ha plots and a single 1.13 ha plot for DBH of trees >= 8 cm.  Counts of saplings < 8 cm DBH into 2 cm increment classes.  Only saplings and seedlings that were >= 1.37m in height were included in sapling counts and thus biomass.  Biomass estimated from species specific equations relating DBH to above ground woody biomass", "20060714", "20.6", "23", "15.76", "28", 
