"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DOM_DIST_MGMT", 
"US-xHA", "79795", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-xJE", "81954", "GRP_DOM_DIST_MGMT", "Fire", 
"US-xJR", "85445", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-xKA", "85405", "GRP_DOM_DIST_MGMT", "Fire", 
"US-xKA", "85407", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-xKZ", "79312", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-xKZ", "79313", "GRP_DOM_DIST_MGMT", "Fire", 
"US-xNG", "81926", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-xNG", "81945", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-xNQ", "81909", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-xNQ", "81924", "GRP_DOM_DIST_MGMT", "Fire", 
"US-xSB", "79731", "GRP_DOM_DIST_MGMT", "Fire", 
"US-xSE", "81902", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-xSL", "87108", "GRP_DOM_DIST_MGMT", "Agriculture", 
"US-xSP", "86377", "GRP_DOM_DIST_MGMT", "Pests and disease", 
"US-xSP", "86384", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-xSR", "79764", "GRP_DOM_DIST_MGMT", "Grazing", 
"US-xST", "86347", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-xTA", "86372", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-xTR", "86443", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-xUN", "79742", "GRP_DOM_DIST_MGMT", "Forestry", 
"US-xWD", "79290", "GRP_DOM_DIST_MGMT", "Grazing", 
