"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_BIOMASS_TREE", "AG_BIOMASS_TREE_ORGAN", "AG_BIOMASS_TREE_PHEN", "AG_BIOMASS_TREE_UNIT", "AG_BIOMASS_DATE", "AG_BIOMASS_COMMENT", "AG_BIOMASS_APPROACH", "AG_BIOMASS_TREE_SPATIAL_VARIABILITY", "AG_BIOMASS_TREE_SPATIAL_REP_NUMBER", "AG_BIOMASS_DATE_UNC", 
"US-Dk3", "25539", "GRP_AG_BIOMASS_TREE", "7664", "Wood", "Mixed/unknown", "gC m-2", "2002", "References: (1) McCarthy, H.R. 2007 ( Long-term effects of elevated CO2, soil nutrition, water availability and disturbance on carbon relations in a loblolly pine forest.  PhD Dissertation.    Nicholas School of the Environment, Duke University.  (2) McCarthy HR, Oren R, Kim H-K et al. (2006) Interaction of ice storms and management practices on current carbon sequestration in forests with potential mitigation under future CO2 atmosphere. Journal of Geophysical Research - Atmospheres, 111, D15103; (3) Naidu SL, DeLucia EH, Thomas RB (1998) Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine. Canadian Journal of Forest Research, 28, 1116-1124; (4) Oren R, Ellsworth DS, Johnsen KH et al. (2001) Soil fertility limits carbon sequestration by forest ecosystems in a CO2 - enriched atmosphere. Nature, 411, 469-472.", , , , , 
"US-Dk3", "25540", "GRP_AG_BIOMASS_TREE", "8464", "Wood", "Mixed/unknown", "gC m-2", "2004", "References: (1) McCarthy, H.R. 2007 ( Long-term effects of elevated CO2, soil nutrition, water availability and disturbance on carbon relations in a loblolly pine forest.  PhD Dissertation.    Nicholas School of the Environment, Duke University.  (2) McCarthy HR, Oren R, Kim H-K et al. (2006) Interaction of ice storms and management practices on current carbon sequestration in forests with potential mitigation under future CO2 atmosphere. Journal of Geophysical Research - Atmospheres, 111, D15103; (3) Naidu SL, DeLucia EH, Thomas RB (1998) Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine. Canadian Journal of Forest Research, 28, 1116-1124; (4) Oren R, Ellsworth DS, Johnsen KH et al. (2001) Soil fertility limits carbon sequestration by forest ecosystems in a CO2 - enriched atmosphere. Nature, 411, 469-472.", , , , , 
"US-Dk3", "25915", "GRP_AG_BIOMASS_TREE", "8042", "Total", "Mixed/unknown", "gC m-2", "2002", "References: (1) McCarthy, H.R. 2007 ( Long-term effects of elevated CO2, soil nutrition, water availability and disturbance on carbon relations in a loblolly pine forest.  PhD Dissertation.    Nicholas School of the Environment, Duke University.  (2) McCarthy HR, Oren R, Kim H-K et al. (2006) Interaction of ice storms and management practices on current carbon sequestration in forests with potential mitigation under future CO2 atmosphere. Journal of Geophysical Research - Atmospheres, 111, D15103; (3) Naidu SL, DeLucia EH, Thomas RB (1998) Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine. Canadian Journal of Forest Research, 28, 1116-1124; (4) Oren R, Ellsworth DS, Johnsen KH et al. (2001) Soil fertility limits carbon sequestration by forest ecosystems in a CO2 - enriched atmosphere. Nature, 411, 469-472.", , , , , 
"US-Dk3", "27501", "GRP_AG_BIOMASS_TREE", "7821", "Wood", "Mixed/unknown", "gC m-2", "2003", "References: (1) McCarthy, H.R. 2007 ( Long-term effects of elevated CO2, soil nutrition, water availability and disturbance on carbon relations in a loblolly pine forest.  PhD Dissertation.    Nicholas School of the Environment, Duke University.  (2) McCarthy HR, Oren R, Kim H-K et al. (2006) Interaction of ice storms and management practices on current carbon sequestration in forests with potential mitigation under future CO2 atmosphere. Journal of Geophysical Research - Atmospheres, 111, D15103; (3) Naidu SL, DeLucia EH, Thomas RB (1998) Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine. Canadian Journal of Forest Research, 28, 1116-1124; (4) Oren R, Ellsworth DS, Johnsen KH et al. (2001) Soil fertility limits carbon sequestration by forest ecosystems in a CO2 - enriched atmosphere. Nature, 411, 469-472.", , , , , 
"US-Dk3", "27502", "GRP_AG_BIOMASS_TREE", "378", "Foliage", "Mixed/unknown", "gC m-2", "2002", "References: (1) McCarthy, H.R. 2007 ( Long-term effects of elevated CO2, soil nutrition, water availability and disturbance on carbon relations in a loblolly pine forest.  PhD Dissertation.    Nicholas School of the Environment, Duke University.  (2) McCarthy HR, Oren R, Kim H-K et al. (2006) Interaction of ice storms and management practices on current carbon sequestration in forests with potential mitigation under future CO2 atmosphere. Journal of Geophysical Research - Atmospheres, 111, D15103; (3) Naidu SL, DeLucia EH, Thomas RB (1998) Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine. Canadian Journal of Forest Research, 28, 1116-1124; (4) Oren R, Ellsworth DS, Johnsen KH et al. (2001) Soil fertility limits carbon sequestration by forest ecosystems in a CO2 - enriched atmosphere. Nature, 411, 469-472.", , , , , 
"US-Dk3", "27503", "GRP_AG_BIOMASS_TREE", "9123", "Wood", "Mixed/unknown", "gC m-2", "2005", "References: (1) McCarthy, H.R. 2007 ( Long-term effects of elevated CO2, soil nutrition, water availability and disturbance on carbon relations in a loblolly pine forest.  PhD Dissertation.    Nicholas School of the Environment, Duke University.  (2) McCarthy HR, Oren R, Kim H-K et al. (2006) Interaction of ice storms and management practices on current carbon sequestration in forests with potential mitigation under future CO2 atmosphere. Journal of Geophysical Research - Atmospheres, 111, D15103; (3) Naidu SL, DeLucia EH, Thomas RB (1998) Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine. Canadian Journal of Forest Research, 28, 1116-1124; (4) Oren R, Ellsworth DS, Johnsen KH et al. (2001) Soil fertility limits carbon sequestration by forest ecosystems in a CO2 - enriched atmosphere. Nature, 411, 469-472.", , , , , 
"US-Dk3", "28108", "GRP_AG_BIOMASS_TREE", "8171", "Total", "Mixed/unknown", "gC m-2", "2003", "References: (1) McCarthy, H.R. 2007 ( Long-term effects of elevated CO2, soil nutrition, water availability and disturbance on carbon relations in a loblolly pine forest.  PhD Dissertation.    Nicholas School of the Environment, Duke University.  (2) McCarthy HR, Oren R, Kim H-K et al. (2006) Interaction of ice storms and management practices on current carbon sequestration in forests with potential mitigation under future CO2 atmosphere. Journal of Geophysical Research - Atmospheres, 111, D15103; (3) Naidu SL, DeLucia EH, Thomas RB (1998) Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine. Canadian Journal of Forest Research, 28, 1116-1124; (4) Oren R, Ellsworth DS, Johnsen KH et al. (2001) Soil fertility limits carbon sequestration by forest ecosystems in a CO2 - enriched atmosphere. Nature, 411, 469-472.", , , , , 
"US-Dk3", "28109", "GRP_AG_BIOMASS_TREE", "8859", "Total", "Mixed/unknown", "gC m-2", "2004", "References: (1) McCarthy, H.R. 2007 ( Long-term effects of elevated CO2, soil nutrition, water availability and disturbance on carbon relations in a loblolly pine forest.  PhD Dissertation.    Nicholas School of the Environment, Duke University.  (2) McCarthy HR, Oren R, Kim H-K et al. (2006) Interaction of ice storms and management practices on current carbon sequestration in forests with potential mitigation under future CO2 atmosphere. Journal of Geophysical Research - Atmospheres, 111, D15103; (3) Naidu SL, DeLucia EH, Thomas RB (1998) Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine. Canadian Journal of Forest Research, 28, 1116-1124; (4) Oren R, Ellsworth DS, Johnsen KH et al. (2001) Soil fertility limits carbon sequestration by forest ecosystems in a CO2 - enriched atmosphere. Nature, 411, 469-472.", , , , , 
"US-Dk3", "28221", "GRP_AG_BIOMASS_TREE", "9498", "Total", "Mixed/unknown", "gC m-2", "2005", "References: (1) McCarthy, H.R. 2007 ( Long-term effects of elevated CO2, soil nutrition, water availability and disturbance on carbon relations in a loblolly pine forest.  PhD Dissertation.    Nicholas School of the Environment, Duke University.  (2) McCarthy HR, Oren R, Kim H-K et al. (2006) Interaction of ice storms and management practices on current carbon sequestration in forests with potential mitigation under future CO2 atmosphere. Journal of Geophysical Research - Atmospheres, 111, D15103; (3) Naidu SL, DeLucia EH, Thomas RB (1998) Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine. Canadian Journal of Forest Research, 28, 1116-1124; (4) Oren R, Ellsworth DS, Johnsen KH et al. (2001) Soil fertility limits carbon sequestration by forest ecosystems in a CO2 - enriched atmosphere. Nature, 411, 469-472.", , , , , 
"US-Dk3", "28222", "GRP_AG_BIOMASS_TREE", "7754", "Total", "Mixed/unknown", "gC m-2", "2001", "References: (1) McCarthy, H.R. 2007 ( Long-term effects of elevated CO2, soil nutrition, water availability and disturbance on carbon relations in a loblolly pine forest.  PhD Dissertation.    Nicholas School of the Environment, Duke University.  (2) McCarthy HR, Oren R, Kim H-K et al. (2006) Interaction of ice storms and management practices on current carbon sequestration in forests with potential mitigation under future CO2 atmosphere. Journal of Geophysical Research - Atmospheres, 111, D15103; (3) Naidu SL, DeLucia EH, Thomas RB (1998) Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine. Canadian Journal of Forest Research, 28, 1116-1124; (4) Oren R, Ellsworth DS, Johnsen KH et al. (2001) Soil fertility limits carbon sequestration by forest ecosystems in a CO2 - enriched atmosphere. Nature, 411, 469-472.", , , , , 
"US-Dk3", "28447", "GRP_AG_BIOMASS_TREE", "398", "Foliage", "Mixed/unknown", "gC m-2", "2004", "References: (1) McCarthy, H.R. 2007 ( Long-term effects of elevated CO2, soil nutrition, water availability and disturbance on carbon relations in a loblolly pine forest.  PhD Dissertation.    Nicholas School of the Environment, Duke University.  (2) McCarthy HR, Oren R, Kim H-K et al. (2006) Interaction of ice storms and management practices on current carbon sequestration in forests with potential mitigation under future CO2 atmosphere. Journal of Geophysical Research - Atmospheres, 111, D15103; (3) Naidu SL, DeLucia EH, Thomas RB (1998) Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine. Canadian Journal of Forest Research, 28, 1116-1124; (4) Oren R, Ellsworth DS, Johnsen KH et al. (2001) Soil fertility limits carbon sequestration by forest ecosystems in a CO2 - enriched atmosphere. Nature, 411, 469-472.", , , , , 
"US-Dk3", "28451", "GRP_AG_BIOMASS_TREE", "408", "Foliage", "Mixed/unknown", "gC m-2", "2001", "References: (1) McCarthy, H.R. 2007 ( Long-term effects of elevated CO2, soil nutrition, water availability and disturbance on carbon relations in a loblolly pine forest.  PhD Dissertation.    Nicholas School of the Environment, Duke University.  (2) McCarthy HR, Oren R, Kim H-K et al. (2006) Interaction of ice storms and management practices on current carbon sequestration in forests with potential mitigation under future CO2 atmosphere. Journal of Geophysical Research - Atmospheres, 111, D15103; (3) Naidu SL, DeLucia EH, Thomas RB (1998) Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine. Canadian Journal of Forest Research, 28, 1116-1124; (4) Oren R, Ellsworth DS, Johnsen KH et al. (2001) Soil fertility limits carbon sequestration by forest ecosystems in a CO2 - enriched atmosphere. Nature, 411, 469-472.", , , , , 
"US-Dk3", "28453", "GRP_AG_BIOMASS_TREE", "375", "Foliage", "Mixed/unknown", "gC m-2", "2005", "References: (1) McCarthy, H.R. 2007 ( Long-term effects of elevated CO2, soil nutrition, water availability and disturbance on carbon relations in a loblolly pine forest.  PhD Dissertation.    Nicholas School of the Environment, Duke University.  (2) McCarthy HR, Oren R, Kim H-K et al. (2006) Interaction of ice storms and management practices on current carbon sequestration in forests with potential mitigation under future CO2 atmosphere. Journal of Geophysical Research - Atmospheres, 111, D15103; (3) Naidu SL, DeLucia EH, Thomas RB (1998) Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine. Canadian Journal of Forest Research, 28, 1116-1124; (4) Oren R, Ellsworth DS, Johnsen KH et al. (2001) Soil fertility limits carbon sequestration by forest ecosystems in a CO2 - enriched atmosphere. Nature, 411, 469-472.", , , , , 
"US-Dk3", "28948", "GRP_AG_BIOMASS_TREE", "350", "Foliage", "Mixed/unknown", "gC m-2", "2003", "References: (1) McCarthy, H.R. 2007 ( Long-term effects of elevated CO2, soil nutrition, water availability and disturbance on carbon relations in a loblolly pine forest.  PhD Dissertation.    Nicholas School of the Environment, Duke University.  (2) McCarthy HR, Oren R, Kim H-K et al. (2006) Interaction of ice storms and management practices on current carbon sequestration in forests with potential mitigation under future CO2 atmosphere. Journal of Geophysical Research - Atmospheres, 111, D15103; (3) Naidu SL, DeLucia EH, Thomas RB (1998) Contrasting patterns of biomass allocation in dominant and suppressed loblolly pine. Canadian Journal of Forest Research, 28, 1116-1124; (4) Oren R, Ellsworth DS, Johnsen KH et al. (2001) Soil fertility limits carbon sequestration by forest ecosystems in a CO2 - enriched atmosphere. Nature, 411, 469-472.", , , , , 
"US-Fmf", "28839", "GRP_AG_BIOMASS_TREE", "3910", "Total", "Mixed/unknown", "gC m-2", "20060907", , "allometry  on 5 25 m radious circular plots. Following equations in Kaye, J. P., Hart, S. C., Fule, P. Z., Covington, W. W., Moore, M. M., Kaye, M. W. 2005. Initial carbon, nitrogen, and phosphorus fluxes following ponderosa pine restoration treatments. Ecological Applications, 15(5) 1581-1593.", , , , 
"US-Fmf", "28840", "GRP_AG_BIOMASS_TREE", "2660", "Total", "Mixed/unknown", "gC m-2", "20070907", , "allometry  on 5 25 m radious circular plots. Following equations in Kaye, J. P., Hart, S. C., Fule, P. Z., Covington, W. W., Moore, M. M., Kaye, M. W. 2005. Initial carbon, nitrogen, and phosphorus fluxes following ponderosa pine restoration treatments. Ecological Applications, 15(5) 1581-1593.", , , , 
"US-Fuf", "27732", "GRP_AG_BIOMASS_TREE", "5533", "Total", "Mixed/unknown", "gC m-2", "20060907", , "allometry  on 5 25 m radious circular plots. Following equations in Kaye, J. P., Hart, S. C., Fule, P. Z., Covington, W. W., Moore, M. M., Kaye, M. W. 2005. Initial carbon, nitrogen, and phosphorus fluxes following ponderosa pine restoration treatments. Ecological Applications, 15(5) 1581-1593.", , , , 
"US-Fuf", "28844", "GRP_AG_BIOMASS_TREE", "5601", "Total", "Mixed/unknown", "gC m-2", "20070907", , "allometry  on 5 25 m radious circular plots. Following equations in Kaye, J. P., Hart, S. C., Fule, P. Z., Covington, W. W., Moore, M. M., Kaye, M. W. 2005. Initial carbon, nitrogen, and phosphorus fluxes following ponderosa pine restoration treatments. Ecological Applications, 15(5) 1581-1593.", , , , 
"US-Ha1", "17298", "GRP_AG_BIOMASS_TREE", "10163", "Wood", "Mixed/unknown", "gC m-2", "1993", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations.", "3129", "34", , 
"US-Ha1", "17305", "GRP_AG_BIOMASS_TREE", "10696", "Wood", "Mixed/unknown", "gC m-2", "1998", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations.", "3273", "34", , 
"US-Ha1", "17311", "GRP_AG_BIOMASS_TREE", "10725", "Wood", "Mixed/unknown", "gC m-2", "1999", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations.", "3273", "34", , 
"US-Ha1", "17317", "GRP_AG_BIOMASS_TREE", "10891", "Wood", "Mixed/unknown", "gC m-2", "2000", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations.", "3303", "34", , 
"US-Ha1", "17323", "GRP_AG_BIOMASS_TREE", "11105", "Wood", "Mixed/unknown", "gC m-2", "2001", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations.", "3355", "34", , 
"US-Ha1", "17327", "GRP_AG_BIOMASS_TREE", "11146", "Wood", "Mixed/unknown", "gC m-2", "2002", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations.", "3458", "34", , 
"US-Ha1", "17330", "GRP_AG_BIOMASS_TREE", "11250", "Wood", "Mixed/unknown", "gC m-2", "2003", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations.", "3496", "34", , 
"US-Ha1", "17334", "GRP_AG_BIOMASS_TREE", "11381", "Wood", "Mixed/unknown", "gC m-2", "2004", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations. For shrubs # of individuals in each size class were tallied and then multiplied by mean class biomass from allometric equations.", "3520", "34", , 
"US-Ha1", "17337", "GRP_AG_BIOMASS_TREE", "11458", "Wood", "Mixed/unknown", "gC m-2", "2005", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations.", "3552", "34", , 
"US-Ha1", "17341", "GRP_AG_BIOMASS_TREE", "11727", "Wood", "Mixed/unknown", "gC m-2", "2006", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations. For shrubs # of individuals in each size class were tallied and then multiplied by mean class biomass from allometric equations.", "3615", "34", , 
"US-Ha1", "17344", "GRP_AG_BIOMASS_TREE", "11843.973153", "Wood", "Mixed/unknown", "gC m-2", "2007", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations.", "3687", "34", , 
"US-Ha1", "17347", "GRP_AG_BIOMASS_TREE", "11981", "Wood", "Mixed/unknown", "gC m-2", "2008", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations.", "3640", "34", , 
"US-Ha1", "17350", "GRP_AG_BIOMASS_TREE", "12125.607432", "Wood", "Mixed/unknown", "gC m-2", "2009", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations.", "3687.2863669", "34", , 
"US-Ha1", "17354", "GRP_AG_BIOMASS_TREE", "12321", "Wood", "Mixed/unknown", "gC m-2", "2010", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations. For shrubs # of individuals in each size class were tallied and then multiplied by mean class biomass from allometric equations.", "3795", "34", , 
"US-Ha1", "17356", "GRP_AG_BIOMASS_TREE", "12466", "Wood", "Mixed/unknown", "gC m-2", "2011", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations.", "3848", "34", , 
"US-Ha1", "17358", "GRP_AG_BIOMASS_TREE", "12604", "Wood", "Mixed/unknown", "gC m-2", "2012", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations.", "3872", "34", , 
"US-Ha1", "17360", "GRP_AG_BIOMASS_TREE", "12943", "Wood", "Mixed/unknown", "gC m-2", "2013", "Trees are stems >=10cm DBH, shrubs are stems <10cm and >=1cm DBH", "in 34 plots(each 10m radius circles) we band each tree >=10 cm DBH, and scale to biomass using allometric equations.", "3918", "34", , 
"US-Ho1", "24229", "GRP_AG_BIOMASS_TREE", "11200", "Total", "Mixed/unknown", "gC m-2", "20030719", "Hollinger et al. 2004", "Hollinger et al. 2004", , , , 
"US-Ho1", "24863", "GRP_AG_BIOMASS_TREE", "970", "Foliage", "Mixed/unknown", "gC m-2", "20030719", "Hollinger et al. 2004", "Hollinger et al. 2004", , , , 
"US-Ho1", "24864", "GRP_AG_BIOMASS_TREE", "10200", "Wood", "Mixed/unknown", "gC m-2", "20030719", "Hollinger et al. 2004", "Hollinger et al. 2004", , , , 
"US-Ho2", "24474", "GRP_AG_BIOMASS_TREE", "13050", "Wood", "Mixed/unknown", "gC m-2", "20030719", "Hollinger et al. 2004", "Hollinger et al. 2004", , , , 
"US-Ho2", "24603", "GRP_AG_BIOMASS_TREE", "15100", "Total", "Mixed/unknown", "gC m-2", "20030719", "Hollinger et al. 2004", "Hollinger et al. 2004", , , , 
"US-Ho2", "25124", "GRP_AG_BIOMASS_TREE", "1150", "Foliage", "Mixed/unknown", "gC m-2", "20030719", "Hollinger et al. 2004", "Hollinger et al. 2004", , , , 
"US-Ho3", "24604", "GRP_AG_BIOMASS_TREE", "6100", "Total", "Mixed/unknown", "gC m-2", "20050719", , "Hollinger et al. 2004", , , , 
"US-Los", "27568", "GRP_AG_BIOMASS_TREE", "668", "Total", "Mixed/unknown", "gC m-2", "2001", "Total biomass:  Tang, peronal communication.    Biomass of non-woody plants refers to 'sedge'", , , , , 
"US-Los", "27931", "GRP_AG_BIOMASS_TREE", "1000", "Total", "Mixed/unknown", "gC m-2", "2005", "Cook et al., (2008)", , , , , 
"US-Los", "28531", "GRP_AG_BIOMASS_TREE", "78", "Foliage", "Mixed/unknown", "gC m-2", "2001", "Total biomass:  Tang, peronal communication.    Biomass of non-woody plants refers to 'sedge'", , , , , 
"US-Me1", "24038", "GRP_AG_BIOMASS_TREE", "0", "Foliage", "Mixed/unknown", "gC m-2", "2003", , , , , , 
"US-Me1", "24302", "GRP_AG_BIOMASS_TREE", "0", "Wood", "Mixed/unknown", "gC m-2", "2003", , , , , , 
"US-Me2", "19589", "GRP_AG_BIOMASS_TREE", "452.80554869", "Foliage", "Mixed/unknown", "gC m-2", "2002", , , , , , 
"US-Me2", "19592", "GRP_AG_BIOMASS_TREE", "4793.8053523", "Wood", "Mixed/unknown", "gC m-2", "2003", , , , , , 
"US-Me2", "19595", "GRP_AG_BIOMASS_TREE", "460.10972745", "Foliage", "Mixed/unknown", "gC m-2", "2003", , , , , , 
"US-Me2", "19598", "GRP_AG_BIOMASS_TREE", "4968.8831826", "Wood", "Mixed/unknown", "gC m-2", "2004", , , , , , 
"US-Me2", "19601", "GRP_AG_BIOMASS_TREE", "469.24831463", "Foliage", "Mixed/unknown", "gC m-2", "2004", , , , , , 
"US-Me2", "19604", "GRP_AG_BIOMASS_TREE", "5140.6894352", "Wood", "Mixed/unknown", "gC m-2", "2005", , , , , , 
"US-Me2", "19607", "GRP_AG_BIOMASS_TREE", "477.98289883", "Foliage", "Mixed/unknown", "gC m-2", "2005", , , , , , 
"US-Me2", "19609", "GRP_AG_BIOMASS_TREE", "525.91518937", "Foliage", "Mixed/unknown", "gC m-2", "2010", , , , , , 
"US-Me2", "19611", "GRP_AG_BIOMASS_TREE", "6293.0243086", "Wood", "Mixed/unknown", "gC m-2", "2011", , , , , , 
"US-Me2", "19613", "GRP_AG_BIOMASS_TREE", "535.12650483", "Foliage", "Mixed/unknown", "gC m-2", "2011", , , , , , 
"US-Me2", "19633", "GRP_AG_BIOMASS_TREE", "5305.4365914", "Wood", "Mixed/unknown", "gC m-2", "2006", , , , , , 
"US-Me2", "19635", "GRP_AG_BIOMASS_TREE", "485.76130987", "Foliage", "Mixed/unknown", "gC m-2", "2006", , , , , , 
"US-Me2", "19637", "GRP_AG_BIOMASS_TREE", "5504.2730671", "Wood", "Mixed/unknown", "gC m-2", "2007", , , , , , 
"US-Me2", "19639", "GRP_AG_BIOMASS_TREE", "496.26140507", "Foliage", "Mixed/unknown", "gC m-2", "2007", , , , , , 
"US-Me2", "19641", "GRP_AG_BIOMASS_TREE", "5699.6935828", "Wood", "Mixed/unknown", "gC m-2", "2008", , , , , , 
"US-Me2", "19643", "GRP_AG_BIOMASS_TREE", "506.1776831", "Foliage", "Mixed/unknown", "gC m-2", "2008", , , , , , 
"US-Me2", "19645", "GRP_AG_BIOMASS_TREE", "5871.0926993", "Wood", "Mixed/unknown", "gC m-2", "2009", , , , , , 
"US-Me2", "19647", "GRP_AG_BIOMASS_TREE", "514.03435729", "Foliage", "Mixed/unknown", "gC m-2", "2009", , , , , , 
"US-Me2", "19649", "GRP_AG_BIOMASS_TREE", "6100.944853", "Wood", "Mixed/unknown", "gC m-2", "2010", , , , , , 
"US-Me2", "19652", "GRP_AG_BIOMASS_TREE", "4435.1119994", "Wood", "Mixed/unknown", "gC m-2", "2001", , , , , , 
"US-Me2", "19663", "GRP_AG_BIOMASS_TREE", "443.95509503", "Foliage", "Mixed/unknown", "gC m-2", "2001", , , , , , 
"US-Me2", "19666", "GRP_AG_BIOMASS_TREE", "4641.747784", "Wood", "Mixed/unknown", "gC m-2", "2002", , , , , , 
"US-Me2", "22110", "GRP_AG_BIOMASS_TREE", "794.1", "Foliage", "Mixed/unknown", "gC m-2", "20140429", , , "109.4", , , 
"US-Me2", "22111", "GRP_AG_BIOMASS_TREE", "2496", "Branches", "Mixed/unknown", "gC m-2", "20140429", , , "238.3", , , 
"US-Me2", "22112", "GRP_AG_BIOMASS_TREE", "8438.6", "Trunk", "Mixed/unknown", "gC m-2", "20140429", , , "971.8", , , 
"US-Me3", "23816", "GRP_AG_BIOMASS_TREE", "205", "Wood", "Mixed/unknown", "gC m-2", "2003", , , , , , 
"US-Me3", "24451", "GRP_AG_BIOMASS_TREE", "62.4", "Foliage", "Mixed/unknown", "gC m-2", "2003", , , , , , 
"US-Me4", "24575", "GRP_AG_BIOMASS_TREE", "11982", "Wood", "Mixed/unknown", "gC m-2", "2001", , , , , , 
"US-Me4", "24578", "GRP_AG_BIOMASS_TREE", "206", "Foliage", "Mixed/unknown", "gC m-2", "2001", , , , , , 
"US-Me4", "24955", "GRP_AG_BIOMASS_TREE", "236", "Foliage", "Mixed/unknown", "gC m-2", "2001", , , , , , 
"US-Me4", "24957", "GRP_AG_BIOMASS_TREE", "12097", "Wood", "Mixed/unknown", "gC m-2", "2001", , , , , , 
"US-Me5", "24040", "GRP_AG_BIOMASS_TREE", "104", "Foliage", "Mixed/unknown", "gC m-2", "2001", , , , , , 
"US-Me5", "24304", "GRP_AG_BIOMASS_TREE", "672", "Wood", "Mixed/unknown", "gC m-2", "2001", , , , , , 
"US-Me6", "19669", "GRP_AG_BIOMASS_TREE", "59.01", "Foliage", "Mixed/unknown", "gC m-2", "2009", , , , , , 
"US-Me6", "19673", "GRP_AG_BIOMASS_TREE", "214.8", "Wood", "Mixed/unknown", "gC m-2", "2009", , , , , , 
"US-Me6", "19675", "GRP_AG_BIOMASS_TREE", "273.8070206", "Total", "Mixed/unknown", "gC m-2", "2009", , , , , , 
"US-Me6", "19677", "GRP_AG_BIOMASS_TREE", "64.99", "Foliage", "Mixed/unknown", "gC m-2", "2010", , , , , , 
"US-Me6", "19679", "GRP_AG_BIOMASS_TREE", "265.43", "Wood", "Mixed/unknown", "gC m-2", "2010", , , , , , 
"US-Me6", "19693", "GRP_AG_BIOMASS_TREE", "330.4221183", "Total", "Mixed/unknown", "gC m-2", "2010", , , , , , 
"US-Me6", "19694", "GRP_AG_BIOMASS_TREE", "71.83", "Foliage", "Mixed/unknown", "gC m-2", "2011", , , , , , 
"US-Me6", "19695", "GRP_AG_BIOMASS_TREE", "32.34", "Wood", "Mixed/unknown", "gC m-2", "2011", , , , , , 
"US-Me6", "19696", "GRP_AG_BIOMASS_TREE", "397.16796718", "Total", "Mixed/unknown", "gC m-2", "2011", , , , , , 
"US-Me6", "22139", "GRP_AG_BIOMASS_TREE", "689.7", "Trunk", "Mixed/unknown", "gC m-2", "20140430", , , "128.1", , , 
"US-Me6", "22140", "GRP_AG_BIOMASS_TREE", "326.7", "Branches", "Mixed/unknown", "gC m-2", "20140430", , , "57.6", , , 
