"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SPP_COMMENT", "SPP_O", "SPP_UNIT", "SPP_O_PERC", "SPP_APPROACH", "SPP_DATE", "SPP_O_PERC_SPATIAL_REP_NUMBER", "SPP_O_PERC_SPATIAL_VARIABILITY", "SPP_DATE_UNC", 
"US-IB2", "24761", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "APSI (NRCS plant code)", "Unknown", "10", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2003", , , , 
"US-IB2", "24762", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "APSI (NRCS plant code)", "Unknown", "3", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2008", , , , 
"US-IB2", "24893", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "HEGR4 (NRCS plant code)", "Unknown", "10", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2003", , , , 
"US-IB2", "25009", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "SOCA6 (NRCS plant code)", "Unknown", "20", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2003", , , , 
"US-IB2", "25010", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "MEAL12 (NRCS plant code)", "Unknown", "17", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2003", , , , 
"US-IB2", "25143", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "CUGR (NRCS plant code)", "Unknown", "10", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2003", , , , 
"US-IB2", "25144", "GRP_SPP_O", "Surveys was conducted by walking 8 transects resulting in 28 measurements.", "ANGE (NRCS plant code)", "Unknown", "4", "Surveys were conducted by walking 8 transects resulting in 28 measurements. Each measurement recorded number of species and area covered in a 4 m radius", "2008", , , , 
"US-KS2", "24298", "GRP_SPP_O", , "Quercus myrtifolia, Q. geminata, Q. Chapmanii, Serenoa, repens", "Unknown", , , , , , , 
"US-Los", "26723", "GRP_SPP_O", "Alnus incana rugosa; Peter Weishampel", "ALINR (NRCS plant code)", "Unknown", "65", , , , , , 
"US-Los", "27309", "GRP_SPP_O", "willow; Peter Weishampel", "SALIX (NRCS plant code)", "Unknown", "20", , , , , , 
"US-Los", "27310", "GRP_SPP_O", "Betual pumila (dwarf birch); Peter Weishampel", "BEPU4 (NRCS plant code)", "Unknown", "14", , , , , , 
"US-Los", "28532", "GRP_SPP_O", "Alder ; Jon Martin", "ALNUS (NRCS plant code)", "Unknown", "84", , "2001", , , , 
"US-Los", "28533", "GRP_SPP_O", "Willow; Jon Martin", "SALIX (NRCS plant code)", "Unknown", "13", , "2001", , , , 
"US-Los", "28534", "GRP_SPP_O", "Grass; Jon Martin", "GRAMINOID (NRCS plant code)", "Unknown", "3", , "2001", , , , 
"US-Los", "29135", "GRP_SPP_O", "Cornus sericea (red-osier dogwood); Peter Weishampel", "COSE16 (NRCS plant code)", "Unknown", "1", , , , , , 
"US-LPH", "24681", "GRP_SPP_O", , "Quercus rubra", "Unknown", , , , , , , 
"US-LWW", "24821", "GRP_SPP_O", "http://public.ornl.gov/ameriflux/Site_Info/siteInfo.cfm?KEYID=us.little_washita.01", "Little bluestem (Schizachyrium scoparium)", "Unknown", , , , , , , 
"US-Me1", "24689", "GRP_SPP_O", "ALL TREES KILLED BY FIRE;  jirvine: NOTE ALL TREES ARE DEAD, PREFIRE SPECIES", "PIPO (NRCS plant code)", "Unknown", "68", , "2003", , , , 
"US-Me1", "24829", "GRP_SPP_O", "ALL TREES KILLED BY FIRE;  jirvine: NOTE ALL TREES ARE DEAD, PREFIRE SPECIES", "CADE (NRCS plant code)", "Unknown", "30", , "2003", , , , 
"US-Me1", "24830", "GRP_SPP_O", "ALL TREES KILLED BY FIRE;  jirvine: NOTE ALL TREES ARE DEAD, PREFIRE SPECIES", "PSME (NRCS plant code)", "Unknown", "2", , "2003", , , , 
"US-Me2", "19620", "GRP_SPP_O", "Purshia tridentata is a nitrogen fixer", "Pinus ponderosa", "% Coverage", "100", , "2001", , , , 
"US-Me2", "24443", "GRP_SPP_O", , "PIPO (NRCS plant code)", "Unknown", , , , , , , 
"US-Me3", "24052", "GRP_SPP_O", "% understory is visual estimate", "PIPO (NRCS plant code)", "Unknown", "100", , "2003", , , , 
"US-Me4", "23676", "GRP_SPP_O", "N fixer", "PIPO (NRCS plant code)", "Unknown", "100", , "2001", , , , 
"US-Me4", "23808", "GRP_SPP_O", "N fixer", "PIPO (NRCS plant code)", "Unknown", "100", , "2001", , , , 
"US-Me5", "25087", "GRP_SPP_O", , "PIPO (NRCS plant code)", "Unknown", "95", , "2001", , , , 
"US-Me6", "19686", "GRP_SPP_O", , "Pinus ponderosa", "% Coverage", "100", "visual estimate", "2010", , , , 
"US-MMS", "18322", "GRP_SPP_O", , "Acer saccharum", "Unknown", , , "19600401", , , , 
"US-MMS", "18325", "GRP_SPP_O", , "Liriodendron tulipifera", "Unknown", , , "19600401", , , , 
"US-MMS", "18328", "GRP_SPP_O", , "Quercus alba", "Unknown", , , "19600401", , , , 
"US-MMS", "18330", "GRP_SPP_O", , "Quercus rubra", "Unknown", , , "19600401", , , , 
"US-MMS", "18332", "GRP_SPP_O", , "Quercus velutina", "Unknown", , , "19600401", , , , 
"US-MMS", "18334", "GRP_SPP_O", , "Sassafras albidum", "Unknown", , , "19600401", , , , 
"US-MMS", "18380", "GRP_SPP_O", , "Ulmus rubra", "Unknown", , , "19600401", , , , 
"US-MMS", "18382", "GRP_SPP_O", , "Fagus grandifolia", "Unknown", , , "19600401", , , , 
"US-MMS", "18384", "GRP_SPP_O", , "Carya glabra", "Unknown", , , "19600401", , , , 
"US-MMS", "24524", "GRP_SPP_O", , "ACSAS (NRCS plant code)", "Unknown", , "Descriptive", , , , , 
"US-MMS", "24910", "GRP_SPP_O", , "LITU (NRCS plant code)", "Unknown", , "Descriptive", , , , , 
"US-MOz", "23840", "GRP_SPP_O", "(9.16) (Quercus velutina) Comment: (1) number in parentheses for dominant overstory species (>= 9 cm diameter at breast height) is % of total basal area in that species; (2) for understory species (1.3 m in height to 9 cm dbh) relative density is listed", "QUVE (NRCS plant code)", "Unknown", "5.85", "diameter tape measurments of all trees >= 9 cm diamter breast height on 24, 0.08 ha permanent plots", "2005", , , , 
"US-MOz", "24336", "GRP_SPP_O", "(6.96) (Acer saccharum) Comment: (1) number in parentheses for dominant overstory species (>= 9 cm diameter at breast height) is % of total basal area in that species; (2) for understory species (1.3 m in height to 9 cm dbh) relative density is listed", "ACSAF (NRCS plant code)", "Unknown", "14.49", "diameter tape measurments of all trees >= 9 cm diamter breast height on 24, 0.08 ha permanent plots", "2005", , , , 
"US-MOz", "24337", "GRP_SPP_O", "(9.41) (Q. muehlenbergii) Comment: (1) number in parentheses for dominant overstory species (>= 9 cm diameter at breast height) is % of total basal area in that species; (2) for understory species (1.3 m in height to 9 cm dbh) relative density is listed", "QUMU (NRCS plant code)", "Unknown", "10.65", "diameter tape measurments of all trees >= 9 cm diamter breast height on 24, 0.08 ha permanent plots", "2005", , , , 
"US-MOz", "24607", "GRP_SPP_O", "(39.5) (Quercus alba)  Comment: (1) number in parentheses for dominant overstory species (>= 9 cm diameter at breast height) is % of total basal area in that species; (2) for understory species (1.3 m in height to 9 cm dbh) relative density is listed", "QUAL (NRCS plant code)", "Unknown", "24.87", "diameter tape measurments of all trees >= 9 cm diamter breast height on 24, 0.08 ha permanent plots", "2005", , , , 
"US-MOz", "24867", "GRP_SPP_O", "(8.97) (Juniperus virginiana) Comment: (1) number in parentheses for dominant overstory species (>= 9 cm diameter at breast height) is % of total basal area in that species; (2) for understory species (1.3 m in height to 9 cm dbh) relative density is listed", "JUVI (NRCS plant code)", "Unknown", "14.14", "diameter tape measurments of all trees >= 9 cm diamter breast height on 24, 0.08 ha permanent plots", "2005", , , , 
"US-MOz", "24868", "GRP_SPP_O", "(6.13) (Carya ovata) Comment: (1) number in parentheses for dominant overstory species (>= 9 cm diameter at breast height) is % of total basal area in that species; (2) for understory species (1.3 m in height to 9 cm dbh) relative density is listed", "CAOV2 (NRCS plant code)", "Unknown", "9.42", "diameter tape measurments of all trees >= 9 cm diamter breast height on 24, 0.08 ha permanent plots", "2005", , , , 
"US-NC1", "23930", "GRP_SPP_O", , "Herbaceous plants,", "Unknown", , , , , , , 
"US-NC2", "24297", "GRP_SPP_O", , "Pinus taeda", "Unknown", , , , , , , 
"US-Ne1", "27171", "GRP_SPP_O", , "ZEMAH (NRCS plant code)", "Unknown", "100", , "2004", , , , 
"US-Ne1", "27172", "GRP_SPP_O", , "ZEMAH (NRCS plant code)", "Unknown", "100", , "2006", , , , 
"US-Ne1", "27471", "GRP_SPP_O", , "ZEMAH (NRCS plant code)", "Unknown", "100", , "2007", , , , 
"US-Ne1", "27719", "GRP_SPP_O", , "ZEMAH (NRCS plant code)", "Unknown", "100", , "2005", , , , 
"US-Ne1", "28925", "GRP_SPP_O", , "ZEMAH (NRCS plant code)", "Unknown", "100", , "2001", , , , 
"US-Ne1", "28926", "GRP_SPP_O", , "ZEMAH (NRCS plant code)", "Unknown", "100", , "2002", , , , 
"US-Ne1", "29608", "GRP_SPP_O", , "ZEMAH (NRCS plant code)", "Unknown", "100", , "2003", , , , 
"US-Ne2", "27173", "GRP_SPP_O", , "GLYMA4 (NRCS plant code)", "Unknown", "100", , "2004", , , , 
"US-Ne2", "27472", "GRP_SPP_O", , "ZEMAH (NRCS plant code)", "Unknown", "100", , "2003", , , , 
"US-Ne2", "27473", "GRP_SPP_O", , "GLYMA4 (NRCS plant code)", "Unknown", "100", , "2002", , , , 
"US-Ne2", "28076", "GRP_SPP_O", , "ZEMAH (NRCS plant code)", "Unknown", "100", , "2005", , , , 
"US-Ne2", "28077", "GRP_SPP_O", , "ZEMAH (NRCS plant code)", "Unknown", "100", , "2007", , , , 
"US-Ne2", "29294", "GRP_SPP_O", , "ZEMAH (NRCS plant code)", "Unknown", "100", , "2001", , , , 
"US-Ne2", "29408", "GRP_SPP_O", , "GLYMA4 (NRCS plant code)", "Unknown", "100", , "2006", , , , 
"US-Ne3", "27174", "GRP_SPP_O", , "GLYMA4 (NRCS plant code)", "Unknown", "100", , "2002", , , , 
"US-Ne3", "27720", "GRP_SPP_O", , "GLYMA4 (NRCS plant code)", "Unknown", "100", , "2004", , , , 
"US-Ne3", "27805", "GRP_SPP_O", , "ZEMAH (NRCS plant code)", "Unknown", "100", , "2007", , , , 
"US-Ne3", "28421", "GRP_SPP_O", , "GLYMA4 (NRCS plant code)", "Unknown", "100", , "2006", , , , 
"US-Ne3", "28765", "GRP_SPP_O", , "ZEMAH (NRCS plant code)", "Unknown", "100", , "2003", , , , 
"US-Ne3", "28927", "GRP_SPP_O", , "ZEMAH (NRCS plant code)", "Unknown", "100", , "2001", , , , 
"US-Ne3", "28928", "GRP_SPP_O", , "ZEMAH (NRCS plant code)", "Unknown", "100", , "2005", , , , 
"US-NR1", "24231", "GRP_SPP_O", "BLA=subalpine fir, PIEN=Engelmann spruce; PICO=lodgepole pine. The overstory dominant species percentages can be found in Monson, et al. Oecologia (2005) 146: 130-147. The understory is relatively sparse, containing tree seedlings from all three species and patches of whortelberry (Vaccinium myrtillus, VAMY2) at ~25% average coverage, from Monson, et al. Global Change Biology (2002), 8 459-478. Aspens (POTR5) are found ~.5mi northeast of the tower, but not within the tower's dominant east-west footprint.", "PIEN (NRCS plant code)", "Unknown", "28", , "20000718", , , , 
"US-NR1", "24338", "GRP_SPP_O", "BLA=subalpine fir, PIEN=Engelmann spruce; PICO=lodgepole pine. The overstory dominant species percentages can be found in Monson, et al. Oecologia (2005) 146: 130-147. The understory is relatively sparse, containing tree seedlings from all three species and patches of whortelberry (Vaccinium myrtillus, VAMY2) at ~25% average coverage, from Monson, et al. Global Change Biology (2002), 8 459-478. Aspens (POTR5) are found ~.5mi northeast of the tower, but not within the tower's dominant east-west footprint.", "ABLA (NRCS plant code)", "Unknown", "46", , "20000718", , , , 
"US-NR1", "24989", "GRP_SPP_O", "BLA=subalpine fir, PIEN=Engelmann spruce; PICO=lodgepole pine. The overstory dominant species percentages can be found in Monson, et al. Oecologia (2005) 146: 130-147. The understory is relatively sparse, containing tree seedlings from all three species and patches of whortelberry (Vaccinium myrtillus, VAMY2) at ~25% average coverage, from Monson, et al. Global Change Biology (2002), 8 459-478. Aspens (POTR5) are found ~.5mi northeast of the tower, but not within the tower's dominant east-west footprint.", "PICO (NRCS plant code)", "Unknown", "26", , "20000718", , , , 
"US-Oho", "24682", "GRP_SPP_O", "Q. rubra (red oak; 32%), Q. alba (white oak; 27%), Q. velutina (black oak; 14%), Acer rubra (red maple; 20%) in the understory with the remaining 7% Prunus serotina (black cherry) and Sassafras albidum (sassafras)          DeForest et al 2006. Phenophases in an oak-dominated forest alter the soil respiration-temperature relationship. International Journal of Biometeorology. 51:135-144.", "Quercus rubra, Q. alba, Acer rubrum", "Unknown", , , , , , , 
"US-PFa", "26738", "GRP_SPP_O", "River Birch, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "BENI (NRCS plant code)", "Unknown", "0.3", , , , , , 
"US-PFa", "26739", "GRP_SPP_O", "American elm, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "ULAM (NRCS plant code)", "Unknown", "0.114", , , , , , 
"US-PFa", "26741", "GRP_SPP_O", "Mountain Maple, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "ACSP2 (NRCS plant code)", "Unknown", "0.028", , , , , , 
"US-PFa", "26875", "GRP_SPP_O", "Sugar Maple, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "ACSA3 (NRCS plant code)", "Unknown", "20.06", , , , , , 
"US-PFa", "26876", "GRP_SPP_O", "White Spruce, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "PIGL (NRCS plant code)", "Unknown", "1.676", , , , , , 
"US-PFa", "26878", "GRP_SPP_O", "Green Ash, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "FRPE (NRCS plant code)", "Unknown", "0.343", , , , , , 
"US-PFa", "26879", "GRP_SPP_O", "Black Spruce, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "PIMA (NRCS plant code)", "Unknown", "8.955", , , , , , 
"US-PFa", "26880", "GRP_SPP_O", "Balsam Fir, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "ABBA (NRCS plant code)", "Unknown", "8.911", , , , , , 
"US-PFa", "26881", "GRP_SPP_O", "Quaking Aspen, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "POTR5 (NRCS plant code)", "Unknown", "4.968", , , , , , 
"US-PFa", "26883", "GRP_SPP_O", "Unknown, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "(see comment)", "Unknown", "0.426", , , , , , 
"US-PFa", "26884", "GRP_SPP_O", "Black Cherry, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "PRSES (NRCS plant code)", "Unknown", "0.301", , , , , , 
"US-PFa", "26886", "GRP_SPP_O", "Serviceberry, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "AMELA (NRCS plant code)", "Unknown", "0.021", , , , , , 
"US-PFa", "26887", "GRP_SPP_O", "Ironwood, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "EUSID (NRCS plant code)", "Unknown", "0.017", , , , , , 
"US-PFa", "27024", "GRP_SPP_O", "N. White Cedar, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "(see comment)", "Unknown", "3.887", , , , , , 
"US-PFa", "27025", "GRP_SPP_O", "Black Spruce, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "PIMA (NRCS plant code)", "Unknown", "2.628", , , , , , 
"US-PFa", "27026", "GRP_SPP_O", "Yellow Birch, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "BEAL2 (NRCS plant code)", "Unknown", "1.425", , , , , , 
"US-PFa", "27027", "GRP_SPP_O", "Ironwood, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "EUSID (NRCS plant code)", "Unknown", "0.371", , , , , , 
"US-PFa", "27028", "GRP_SPP_O", "Willow, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "SALIX (NRCS plant code)", "Unknown", "0.005", , , , , , 
"US-PFa", "27030", "GRP_SPP_O", "River Birch, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "BENI (NRCS plant code)", "Unknown", "0.205", , , , , , 
"US-PFa", "27031", "GRP_SPP_O", "Dogwood, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "COSES (NRCS plant code)", "Unknown", "0.105", , , , , , 
"US-PFa", "27032", "GRP_SPP_O", "Basswood, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "TIAM (NRCS plant code)", "Unknown", "0.013", , , , , , 
"US-PFa", "27327", "GRP_SPP_O", "Basswood, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "TIAM (NRCS plant code)", "Unknown", "6.232", , , , , , 
"US-PFa", "27328", "GRP_SPP_O", "Paper Birch, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "BEPA (NRCS plant code)", "Unknown", "4.739", , , , , , 
"US-PFa", "27329", "GRP_SPP_O", "Bigooth Aspen, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "POGR4 (NRCS plant code)", "Unknown", "0.813", , , , , , 
"US-PFa", "27331", "GRP_SPP_O", "Rock Elm, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "ULTH (NRCS plant code)", "Unknown", "0.001", , , , , , 
"US-PFa", "27333", "GRP_SPP_O", "Rock Elm, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "ULTH (NRCS plant code)", "Unknown", "0.077", , , , , , 
"US-PFa", "27581", "GRP_SPP_O", "Quaking aspen, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "POTR5 (NRCS plant code)", "Unknown", "17.377", , , , , , 
"US-PFa", "27582", "GRP_SPP_O", "Black Ash, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "FRNI (NRCS plant code)", "Unknown", "2.887", , , , , , 
"US-PFa", "27583", "GRP_SPP_O", "Unknown, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "(see comment)", "Unknown", "1.089", , , , , , 
"US-PFa", "27584", "GRP_SPP_O", "Silver Maple, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "ACSA3 (NRCS plant code)", "Unknown", "0.098", , , , , , 
"US-PFa", "27585", "GRP_SPP_O", "Mountain Ash, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "SOAM3 (NRCS plant code)", "Unknown", "0.004", , , , , , 
"US-PFa", "27948", "GRP_SPP_O", "Alder, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "ALNUS (NRCS plant code)", "Unknown", "0.853", , , , , , 
"US-PFa", "27950", "GRP_SPP_O", "Northern White Cedar, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "(see comment)", "Unknown", "41.523", , , , , , 
"US-PFa", "27951", "GRP_SPP_O", "Black Ash, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "FRNI (NRCS plant code)", "Unknown", "10.251", , , , , , 
"US-PFa", "27952", "GRP_SPP_O", "Red Maple, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "ACRU (NRCS plant code)", "Unknown", "1.553", , , , , , 
"US-PFa", "27953", "GRP_SPP_O", "Eastern Hemlock, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "TSCA (NRCS plant code)", "Unknown", "0.779", , , , , , 
"US-PFa", "28217", "GRP_SPP_O", "Green Ash, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "FRPE (NRCS plant code)", "Unknown", "1.028", , , , , , 
"US-PFa", "28307", "GRP_SPP_O", "Red Pine, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "PIRE (NRCS plant code)", "Unknown", "12.987", , , , , , 
"US-PFa", "28308", "GRP_SPP_O", "Balsam Fir, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "ABBA (NRCS plant code)", "Unknown", "7.638", , , , , , 
"US-PFa", "28309", "GRP_SPP_O", "Pin Cherry, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "PRPEP (NRCS plant code)", "Unknown", "0.054", , , , , , 
"US-PFa", "28311", "GRP_SPP_O", "Jack Pine, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "PIBA2 (NRCS plant code)", "Unknown", "0.662", , , , , , 
"US-PFa", "28550", "GRP_SPP_O", "White Pine, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "PIST (NRCS plant code)", "Unknown", "2.181", , , , , , 
"US-PFa", "28551", "GRP_SPP_O", "Jack Pine, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "PIBA2 (NRCS plant code)", "Unknown", "1.79", , , , , , 
"US-PFa", "28553", "GRP_SPP_O", "Tamarack, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "LALA (NRCS plant code)", "Unknown", "6.531", , , , , , 
"US-PFa", "28565", "GRP_SPP_O", "Bigtooth Aspen, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "POGR4 (NRCS plant code)", "Unknown", "0.943", , , , , , 
"US-PFa", "28568", "GRP_SPP_O", "Hazelnut, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "COAM3 (NRCS plant code)", "Unknown", "0.064", , , , , , 
"US-PFa", "28569", "GRP_SPP_O", "Winterberry, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "ILVE (NRCS plant code)", "Unknown", "0.062", , , , , , 
"US-PFa", "28570", "GRP_SPP_O", "White Pine, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "PIST (NRCS plant code)", "Unknown", "0.059", , , , , , 
"US-PFa", "29038", "GRP_SPP_O", "Black Cherry, upland ;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "PRSE2 (NRCS plant code)", "Unknown", "1.054", , , , , , 
"US-PFa", "29039", "GRP_SPP_O", "Paper Birch, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "BEPA (NRCS plant code)", "Unknown", "3.63", , , , , , 
"US-PFa", "29040", "GRP_SPP_O", "Red Pine, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "PIRE (NRCS plant code)", "Unknown", "1.587", , , , , , 
"US-PFa", "29147", "GRP_SPP_O", "Eastern Hemlock, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "TSCA (NRCS plant code)", "Unknown", "1.047", , , , , , 
"US-PFa", "29148", "GRP_SPP_O", "Tamarack, upland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "LALA (NRCS plant code)", "Unknown", "0.619", , , , , , 
"US-PFa", "29151", "GRP_SPP_O", "Sugar Maple, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "ACSA3 (NRCS plant code)", "Unknown", "0.194", , , , , , 
"US-PFa", "29152", "GRP_SPP_O", "Pin Cherry, wetland;  Ryan Anderson,  % based upon amount of measured biomass for each species. The WLEF tower reprsents multiple stand types (upland & wetland).   Each stand has different species distribution", "PRPEP (NRCS plant code)", "Unknown", "0.078", , , , , , 
