"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "LAND_OWNERSHIP", "LAND_OWNER", 
"US-Tx8", "86689", "GRP_LAND_OWNERSHIP", "Public", "San Bernard National Wildife Refuge, US Fish and Wildlife Service", 
"US-Tx9", "79679", "GRP_LAND_OWNERSHIP", "public", "San Bernard National Wildlife Refuge, U.S. Fish Wildlife Service", 
"US-Uaf", "81372", "GRP_LAND_OWNERSHIP", "public", "University of Alaska, Fairbanks", 
"US-UiA", "87887", "GRP_LAND_OWNERSHIP", "public", "University of Illinois", 
"US-UiB", "87915", "GRP_LAND_OWNERSHIP", "public", "University of Illinois", 
"US-UiC", "87942", "GRP_LAND_OWNERSHIP", "public", "University of Illinois", 
"US-ULM", "5913", "GRP_LAND_OWNERSHIP", "public", "Louisiana, Dept. of Wildlife and Fisheries", 
"US-UM3", "14775", "GRP_LAND_OWNERSHIP", "public", "University of Michigan", 
"US-UMB", "12332", "GRP_LAND_OWNERSHIP", "private", "University of Michigan", 
"US-UMd", "12365", "GRP_LAND_OWNERSHIP", "private", "University of Michigan", 
"US-Var", "11326", "GRP_LAND_OWNERSHIP", "private", "Vaira Family", 
"US-Vcm", "15489", "GRP_LAND_OWNERSHIP", "public", "Department of Interior", 
"US-Vcp", "15508", "GRP_LAND_OWNERSHIP", "public", "Department of Interior", 
"US-Vcs", "30488", "GRP_LAND_OWNERSHIP", "public", "Department of Interior", 
"US-VFP", "84973", "GRP_LAND_OWNERSHIP", "private", "The Nature Conservancy", 
"US-WCr", "14451", "GRP_LAND_OWNERSHIP", "public", "USDA-Forest Service.  Chequamegon-Nicollet National Forest.", 
"US-Wdn", "12513", "GRP_LAND_OWNERSHIP", "public", "BLM", 
"US-Wgr", "16063", "GRP_LAND_OWNERSHIP", "Private", "Triangle Farms", 
"US-Whs", "11862", "GRP_LAND_OWNERSHIP", "Public", "Leased AZ State Public land", 
"US-Wjs", "15526", "GRP_LAND_OWNERSHIP", "private", "Leroy Humphries 7 up 7 down Ranch", 
"US-Wpp", "16107", "GRP_LAND_OWNERSHIP", "Public", "Cities of Eugene and Springfield, OR", 
"US-WPT", "12743", "GRP_LAND_OWNERSHIP", "Private", "Winous Point Marsh Conservancy", 
"US-Wwt", "16041", "GRP_LAND_OWNERSHIP", "Private", "Triangle Farms", 
"US-xAB", "85342", "GRP_LAND_OWNERSHIP", "public", "Washington Department of Natural Resources", 
"US-xAE", "86246", "GRP_LAND_OWNERSHIP", "private", "Oklahoma State University, Oklahoma Agricultural Experimental Station", 
"US-xBA", "85230", "GRP_LAND_OWNERSHIP", "private", "Barrow Environmental Observatory", 
"US-xBL", "85322", "GRP_LAND_OWNERSHIP", "private", "University of Virginia", 
"US-xBN", "85532", "GRP_LAND_OWNERSHIP", "private", "University of Alaska", 
"US-xBR", "79818", "GRP_LAND_OWNERSHIP", "public", "U.S. Forest Service", 
"US-xCL", "79501", "GRP_LAND_OWNERSHIP", "Public", "U. S. Forest Service", 
"US-xCP", "30464", "GRP_LAND_OWNERSHIP", "Public", "United States Department of Agriculture (USDA)", 
"US-xDC", "85573", "GRP_LAND_OWNERSHIP", "public", "State of North Dakota Land Trust", 
"US-xDJ", "85556", "GRP_LAND_OWNERSHIP", "public", "Bureau of Land Management", 
"US-xDL", "85521", "GRP_LAND_OWNERSHIP", "public", "U.S. Army Corps of Engineers", 
"US-xDS", "85501", "GRP_LAND_OWNERSHIP", "public", "The Nature Conservancy", 
"US-xGR", "85485", "GRP_LAND_OWNERSHIP", "public", "National Park Service", 
"US-xHA", "79784", "GRP_LAND_OWNERSHIP", "private", "Harvard University", 
"US-xHE", "85461", "GRP_LAND_OWNERSHIP", "public", "Alaska Department of Natural Resources", 
"US-xJE", "81966", "GRP_LAND_OWNERSHIP", "Private", "Private Owner", 
"US-xJR", "85428", "GRP_LAND_OWNERSHIP", "public", "U.S. Department of Agriculture, Agricultural Research Service", 
"US-xKA", "85404", "GRP_LAND_OWNERSHIP", "public", "The Nature Conservancy, Kansas State University", 
"US-xKZ", "79318", "GRP_LAND_OWNERSHIP", "public", "The Nature Conservancy, Kansas State University, LTER", 
"US-xLE", "85391", "GRP_LAND_OWNERSHIP", "public", "U.S. Army Corps of Engineers", 
"US-xMB", "86061", "GRP_LAND_OWNERSHIP", "public", "Bureau of Land Management", 
"US-xML", "85379", "GRP_LAND_OWNERSHIP", "private", "Private Owner - University of Virginia", 
"US-xNG", "81939", "GRP_LAND_OWNERSHIP", "public", "U.S. Department of Agriculture, Agricultural Research Service", 
"US-xNQ", "81907", "GRP_LAND_OWNERSHIP", "public", "Bureau of Land Management, U.S. Forest Service", 
"US-xNW", "83364", "GRP_LAND_OWNERSHIP", "public", "University of Colorado at Boulder, U.S. Forest Service, LTER", 
"US-xPU", "86066", "GRP_LAND_OWNERSHIP", "public", "Hawaii State Forest Reserve System Department of Land and Natural Resources, Division of Forestry and Wildlife", 
"US-xRM", "86152", "GRP_LAND_OWNERSHIP", "public", "National Park Service", 
"US-xRN", "86177", "GRP_LAND_OWNERSHIP", "private", "U.S. Department of Energy", 
"US-xSB", "79723", "GRP_LAND_OWNERSHIP", "public", "University of Florida Foundation", 
"US-xSC", "86199", "GRP_LAND_OWNERSHIP", "private", "Smithsonian Institution", 
"US-xSE", "81884", "GRP_LAND_OWNERSHIP", "private", "Smithsonian Institution", 
"US-xSJ", "86323", "GRP_LAND_OWNERSHIP", "public", "U.S. Forest Service", 
"US-xSL", "87102", "GRP_LAND_OWNERSHIP", "private", "Private Owner", 
"US-xSP", "86381", "GRP_LAND_OWNERSHIP", "public", "U.S. Forest Service", 
"US-xSR", "86471", "GRP_LAND_OWNERSHIP", "public", "University of Arizona", 
"US-xST", "86351", "GRP_LAND_OWNERSHIP", "private", "Steigerwaldt Land Services", 
"US-xTA", "86356", "GRP_LAND_OWNERSHIP", "public", "U.S. Forest Service", 
"US-xTE", "86311", "GRP_LAND_OWNERSHIP", "public", "U.S. Forest Service", 
"US-xTL", "86212", "GRP_LAND_OWNERSHIP", "public", "Bureau of Land Management", 
"US-xTR", "86437", "GRP_LAND_OWNERSHIP", "private", "University of Wisconsin, Stevens Point", 
"US-xUK", "86125", "GRP_LAND_OWNERSHIP", "private", "University of Kansas", 
"US-xUN", "79749", "GRP_LAND_OWNERSHIP", "private", "University of Notre Dame Environmental Research Center", 
"US-xWD", "79295", "GRP_LAND_OWNERSHIP", "public", "U.S. Geological Survey, U.S. Fish and Wildlife Service", 
"US-xWR", "86097", "GRP_LAND_OWNERSHIP", "public", "U.S. Forest Service", 
"US-xYE", "86109", "GRP_LAND_OWNERSHIP", "public", "National Park Service", 
"US-Ylw", "10166", "GRP_LAND_OWNERSHIP", "private", "Greater Houston Transportation Co.", 
