"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "UTC_OFFSET", "UTC_OFFSET_COMMENT", "UTC_OFFSET_DATE_START", 
"US-Ses", "11650", "GRP_UTC_OFFSET", "-7", , , 
"US-Ses", "15479", "GRP_UTC_OFFSET", "-7", , "200701010000", 
"US-SFP", "33653", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-SHC", "33679", "GRP_UTC_OFFSET", "-8", , "20170620", 
"US-Shd", "33654", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-SHS", "30518", "GRP_UTC_OFFSET", "5", "offset never changed", , 
"US-SJ1", "33576", "GRP_UTC_OFFSET", "-8", , , 
"US-SJ2", "33577", "GRP_UTC_OFFSET", "-8", , , 
"US-Skr", "11918", "GRP_UTC_OFFSET", "-5", , , 
"US-Slt", "13047", "GRP_UTC_OFFSET", "5", , , 
"US-Snd", "11248", "GRP_UTC_OFFSET", "-8", , , 
"US-Sne", "30021", "GRP_UTC_OFFSET", "-8", , "20160524", 
"US-Snf", "84770", "GRP_UTC_OFFSET", "-8", , "201807190000", 
"US-SO2", "15932", "GRP_UTC_OFFSET", "-8.00", , , 
"US-SO3", "15950", "GRP_UTC_OFFSET", "-8.00", , , 
"US-SO4", "15916", "GRP_UTC_OFFSET", "-8.00", , , 
"US-SP1", "9601", "GRP_UTC_OFFSET", "-5", , , 
"US-SP2", "1935", "GRP_UTC_OFFSET", "-5", , , 
"US-SP3", "251", "GRP_UTC_OFFSET", "-5", , , 
"US-SP4", "4462", "GRP_UTC_OFFSET", "-5", , , 
"US-SRC", "33655", "GRP_UTC_OFFSET", "-7", "Added by AMF data processing team for data QAQC checks.", , 
"US-SRG", "11857", "GRP_UTC_OFFSET", "-7", , , 
"US-SRM", "11188", "GRP_UTC_OFFSET", "-7", , , 
"US-Srr", "30968", "GRP_UTC_OFFSET", "-8", , , 
"US-SSH", "30700", "GRP_UTC_OFFSET", "-5", , , 
"US-Sta", "33656", "GRP_UTC_OFFSET", "-7", "Added by AMF data processing team for data QAQC checks.", , 
"US-StJ", "13300", "GRP_UTC_OFFSET", "-5", , , 
"US-StS", "30120", "GRP_UTC_OFFSET", "-5", , "201505211930", 
"US-SuM", "13074", "GRP_UTC_OFFSET", "-10", "Data are reported in Hawaiian Standard Time, which is always GMT-10 hours", , 
"US-SuS", "13093", "GRP_UTC_OFFSET", "-10", "Data are reported in Hawaiian Standard Time, which is always GMT-10 hours", "20110721", 
"US-SuW", "13114", "GRP_UTC_OFFSET", "-10", "Data are reported in Hawaiian Standard Time, which is always GMT-10 hours", , 
"US-Syv", "15328", "GRP_UTC_OFFSET", "-6", , , 
"US-SZ1", "85805", "GRP_UTC_OFFSET", "-8", , , 
"US-SZ2", "85828", "GRP_UTC_OFFSET", "-8", , , 
"US-SZ3", "85862", "GRP_UTC_OFFSET", "-8", , , 
"US-Ton", "4160", "GRP_UTC_OFFSET", "-8", , , 
"US-Tur", "85303", "GRP_UTC_OFFSET", "-7", "Mountain Standard Time", , 
"US-Tw1", "12575", "GRP_UTC_OFFSET", "-8", , , 
"US-Tw2", "11278", "GRP_UTC_OFFSET", "-8", , , 
"US-Tw3", "11297", "GRP_UTC_OFFSET", "-8", , , 
"US-Tw4", "11316", "GRP_UTC_OFFSET", "-8", , , 
"US-Tw5", "84617", "GRP_UTC_OFFSET", "-8", , "201804250000", 
"US-Twt", "11947", "GRP_UTC_OFFSET", "-8", , , 
"US-Tx1", "86546", "GRP_UTC_OFFSET", "-6", , , 
"US-Tx2", "79574", "GRP_UTC_OFFSET", "-6", , , 
"US-Tx3", "79556", "GRP_UTC_OFFSET", "-6", , , 
"US-Tx4", "79614", "GRP_UTC_OFFSET", "-6", , , 
"US-Tx5", "79640", "GRP_UTC_OFFSET", "-6", , , 
"US-Tx6", "79652", "GRP_UTC_OFFSET", "-6", , , 
"US-Tx7", "79713", "GRP_UTC_OFFSET", "-6", , , 
"US-Tx8", "86685", "GRP_UTC_OFFSET", "-6", , , 
"US-Tx9", "79689", "GRP_UTC_OFFSET", "-6", , , 
"US-Uaf", "81370", "GRP_UTC_OFFSET", "-9", , , 
"US-UiA", "87902", "GRP_UTC_OFFSET", "-6", , , 
"US-UiB", "87908", "GRP_UTC_OFFSET", "-6", , , 
"US-UiC", "87935", "GRP_UTC_OFFSET", "-6", , , 
"US-ULM", "6750", "GRP_UTC_OFFSET", "-6", , , 
"US-UM3", "81427", "GRP_UTC_OFFSET", "-5", , , 
"US-UMB", "12344", "GRP_UTC_OFFSET", "-5", , , 
"US-UMd", "12377", "GRP_UTC_OFFSET", "-5", , , 
"US-Upa", "33658", "GRP_UTC_OFFSET", "-9", "Added by AMF data processing team for data QAQC checks.", , 
"US-Var", "11337", "GRP_UTC_OFFSET", "-8", , , 
"US-Vcm", "11690", "GRP_UTC_OFFSET", "-7", , , 
"US-Vcm", "15496", "GRP_UTC_OFFSET", "-7", , "200701010000", 
"US-Vcp", "12415", "GRP_UTC_OFFSET", "-7", , , 
"US-Vcp", "15515", "GRP_UTC_OFFSET", "-7", , "200701010000", 
"US-Vcs", "30499", "GRP_UTC_OFFSET", "-7", , "201601010000", 
"US-VFP", "84988", "GRP_UTC_OFFSET", "-5", , , 
"US-WBW", "1936", "GRP_UTC_OFFSET", "-5", , , 
"US-WCr", "14463", "GRP_UTC_OFFSET", "-6", , , 
"US-Wdn", "33659", "GRP_UTC_OFFSET", "-7", "Added by AMF data processing team for data QAQC checks.", , 
"US-Wgr", "85197", "GRP_UTC_OFFSET", "-8", , , 
"US-Whs", "11873", "GRP_UTC_OFFSET", "-7", , , 
"US-Wi0", "7881", "GRP_UTC_OFFSET", "-6", , , 
"US-Wi1", "245", "GRP_UTC_OFFSET", "-6", , , 
"US-Wi2", "1938", "GRP_UTC_OFFSET", "-6", , , 
"US-Wi3", "33579", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-Wi4", "1084", "GRP_UTC_OFFSET", "-6", , , 
"US-Wi5", "8726", "GRP_UTC_OFFSET", "-6", , , 
"US-Wi6", "1939", "GRP_UTC_OFFSET", "-6", , , 
"US-Wi7", "6182", "GRP_UTC_OFFSET", "-6", , , 
"US-Wi8", "6183", "GRP_UTC_OFFSET", "-6", , , 
"US-Wi9", "8727", "GRP_UTC_OFFSET", "-6", , , 
"US-Wjs", "15533", "GRP_UTC_OFFSET", "-7", , "200705041330", 
"US-Wkg", "11810", "GRP_UTC_OFFSET", "-7", , , 
"US-Wlr", "33660", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"US-Wpp", "16118", "GRP_UTC_OFFSET", "0", , , 
"US-WPT", "12754", "GRP_UTC_OFFSET", "-5", , , 
"US-Wrc", "12457", "GRP_UTC_OFFSET", "-8", , , 
"US-Wwt", "16052", "GRP_UTC_OFFSET", "0", , , 
"US-xAB", "85349", "GRP_UTC_OFFSET", "-8", "Pacific Standard Time (PST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xAE", "86244", "GRP_UTC_OFFSET", "-6", "Central Standard Time (CST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xBA", "85232", "GRP_UTC_OFFSET", "-9", "Alaska Standard Time (AKST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xBL", "85333", "GRP_UTC_OFFSET", "-5", "Eastern Standard Time (EST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xBN", "85538", "GRP_UTC_OFFSET", "-9", "Alaska Standard Time (AKST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xBR", "79811", "GRP_UTC_OFFSET", "-5", "Eastern Standard Time (EST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xCL", "79492", "GRP_UTC_OFFSET", "-6", "Central Standard Time (CST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xCP", "79379", "GRP_UTC_OFFSET", "-7", "Mountain Standard Time (MST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xDC", "85574", "GRP_UTC_OFFSET", "-6", "Central Standard Time (CST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xDJ", "85571", "GRP_UTC_OFFSET", "-9", "Alaska Standard Time (AKST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xDL", "85511", "GRP_UTC_OFFSET", "-5", "Eastern Standard Time (EST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xDS", "85490", "GRP_UTC_OFFSET", "-5", "Eastern Standard Time (EST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xGR", "85482", "GRP_UTC_OFFSET", "-5", "Eastern Standard Time (EST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xHA", "79793", "GRP_UTC_OFFSET", "-5", "Eastern Standard Time (EST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xHE", "85457", "GRP_UTC_OFFSET", "-9", "Alaska Standard Time (AKST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xJE", "81948", "GRP_UTC_OFFSET", "-5", "Eastern Standard Time (EST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xJR", "85446", "GRP_UTC_OFFSET", "-7", "Mountain Standard Time (MST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xKA", "85423", "GRP_UTC_OFFSET", "-6", "Central Standard Time (CST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xKZ", "79382", "GRP_UTC_OFFSET", "-6", "Central Standard Time (CST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xLE", "85389", "GRP_UTC_OFFSET", "-5", "Eastern Standard Time (EST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xMB", "86048", "GRP_UTC_OFFSET", "-7", "Mountain Standard Time (MST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xML", "85368", "GRP_UTC_OFFSET", "-5", "Eastern Standard Time (EST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xNG", "81938", "GRP_UTC_OFFSET", "-6", "Central Standard Time (CST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xNQ", "81908", "GRP_UTC_OFFSET", "-7", "Mountain Standard Time (MST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xNW", "83359", "GRP_UTC_OFFSET", "-7", "Mountain Standard Time (MST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xPU", "86073", "GRP_UTC_OFFSET", "-10", "Hawaii Standard Time (HST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xRM", "86166", "GRP_UTC_OFFSET", "-7", "Mountain Standard Time (MST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xRN", "86175", "GRP_UTC_OFFSET", "-5", "Eastern Standard Time (EST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xSB", "79735", "GRP_UTC_OFFSET", "-5", "Eastern Standard Time (EST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xSC", "86192", "GRP_UTC_OFFSET", "-5", "Eastern Standard Time (EST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xSE", "81895", "GRP_UTC_OFFSET", "-5", "Eastern Standard Time (EST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xSJ", "86324", "GRP_UTC_OFFSET", "-8", "Pacific Standard Time (PST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xSL", "87105", "GRP_UTC_OFFSET", "-7", "Mountain Standard Time (MST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xSP", "86387", "GRP_UTC_OFFSET", "-8", "Pacific Standard Time (PST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xSR", "79763", "GRP_UTC_OFFSET", "-7", "Mountain Standard Time (MST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xST", "86343", "GRP_UTC_OFFSET", "-6", "Central Standard Time (CST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xTA", "86359", "GRP_UTC_OFFSET", "-6", "Central Standard Time (CST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xTE", "86302", "GRP_UTC_OFFSET", "-8", "Pacific Standard Time (PST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xTL", "86229", "GRP_UTC_OFFSET", "-9", "Alaska Standard Time (AKST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xTR", "86446", "GRP_UTC_OFFSET", "-6", "Central Standard Time (CST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xUK", "86144", "GRP_UTC_OFFSET", "-6", "Central Standard Time (CST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xUN", "79757", "GRP_UTC_OFFSET", "-6", "Central Standard Time (CST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xWD", "79401", "GRP_UTC_OFFSET", "-6", "Central Standard Time (CST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xWR", "86103", "GRP_UTC_OFFSET", "-8", "Pacific Standard Time (PST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-xYE", "86106", "GRP_UTC_OFFSET", "-7", "Mountain Standard Time (MST), please note that timestamps are converted to local standard time upon submission to AmeriFlux. Data retrieved from the NEON Data Portal will be in UTC time.", , 
"US-Ylw", "5050", "GRP_UTC_OFFSET", "6", , , 
