"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "MAT", "MAP", "CLIMATE_KOEPPEN", 
"US-SRC", "86654", "GRP_CLIM_AVG", "22", "330", "Bwh", 
"US-SRG", "11844", "GRP_CLIM_AVG", "17", "420", "Bsk", 
"US-SRM", "11656", "GRP_CLIM_AVG", "17.92", "380", "Bsk", 
"US-Srr", "30945", "GRP_CLIM_AVG", "15.1", "326", "Csa", 
"US-SSH", "30679", "GRP_CLIM_AVG", "9.5", "1050", "Dfb", 
"US-Sta", "12491", "GRP_CLIM_AVG", "5.1", , "Bsh", 
"US-StJ", "83408", "GRP_CLIM_AVG", "13.5", "1121", "Cfa", 
"US-StS", "30094", "GRP_CLIM_AVG", "18.1", "1300", "Cfa", 
"US-SuM", "13059", "GRP_CLIM_AVG", "24.1", "287", "Aw", 
"US-SuS", "13078", "GRP_CLIM_AVG", "24.4", "334", "Aw", 
"US-SuW", "13099", "GRP_CLIM_AVG", "24.4", "366", "Aw", 
"US-Syv", "15313", "GRP_CLIM_AVG", "3.81", "826", "Dfb", 
"US-SZ1", "85797", "GRP_CLIM_AVG", "9.5", "437.4", "Csb", 
"US-SZ2", "85846", "GRP_CLIM_AVG", "9.5", "437.4", "Csb", 
"US-SZ3", "85865", "GRP_CLIM_AVG", "9.5", "437.4", "Csb", 
"US-Ton", "786", "GRP_CLIM_AVG", "15.8", "559", "Csa", 
"US-Tur", "85307", "GRP_CLIM_AVG", "6.67", "670", "Dfb", 
"US-Tw1", "12561", "GRP_CLIM_AVG", "15.5", "421", "Csa", 
"US-Tw2", "11265", "GRP_CLIM_AVG", "15.5", "421", "Csa", 
"US-Tw3", "11284", "GRP_CLIM_AVG", "15.6", "421", "Csa", 
"US-Tw4", "11304", "GRP_CLIM_AVG", "15.6", "421", "Csa", 
"US-Tw5", "84626", "GRP_CLIM_AVG", "15.5", "421", "Csa", 
"US-Twt", "11933", "GRP_CLIM_AVG", "15.6", "421", "Csa", 
"US-Tx1", "86548", "GRP_CLIM_AVG", "25.6", "889", "Cfa", 
"US-Tx2", "79563", "GRP_CLIM_AVG", "18.95", "914", "Cfa", 
"US-Tx3", "79537", "GRP_CLIM_AVG", "18.95", "914", "Cfa", 
"US-Tx4", "79588", "GRP_CLIM_AVG", "18.95", "914", "Cfa", 
"US-Tx5", "79616", "GRP_CLIM_AVG", "19.95", "991", "Cfa", 
"US-Tx6", "79653", "GRP_CLIM_AVG", "22.2", "716", "Cfa", 
"US-Tx7", "79698", "GRP_CLIM_AVG", "22.2", "716", "Cfa", 
"US-Tx8", "86674", "GRP_CLIM_AVG", "20.6", "1143", "Cfa", 
"US-Tx9", "79684", "GRP_CLIM_AVG", "21.15", "1245", "Cfa", 
"US-Uaf", "81349", "GRP_CLIM_AVG", "-2.9", "263", "Dwc", 
"US-UiA", "87906", "GRP_CLIM_AVG", "10.9", "1051", "Dfa", 
"US-UiB", "87924", "GRP_CLIM_AVG", "10.9", "1051", "Dfa", 
"US-UiC", "87938", "GRP_CLIM_AVG", "10.9", "1051", "Dfa", 
"US-ULM", "1652", "GRP_CLIM_AVG", "18.77", "1356.36", "Cfa", 
"US-UM3", "14772", "GRP_CLIM_AVG", "5.83", "803", "Dfb", 
"US-UMB", "12328", "GRP_CLIM_AVG", "5.83", "803", "Dfb", 
"US-UMd", "12361", "GRP_CLIM_AVG", "5.83", "803", "Dfb", 
"US-Upa", "3420", "GRP_CLIM_AVG", "-13.57", "123.68", "Dsc", 
"US-Var", "11323", "GRP_CLIM_AVG", "15.8", "559", "Csa", 
"US-Vcm", "11678", "GRP_CLIM_AVG", "6.4", "646", "Dfb", 
"US-Vcp", "12402", "GRP_CLIM_AVG", "9.8", "550", "Dfb", 
"US-Vcs", "30479", "GRP_CLIM_AVG", "4.6", "550.93", "Dfb", 
"US-VFP", "84968", "GRP_CLIM_AVG", "14.05", "1023.3", "Cfa", 
"US-WBW", "6802", "GRP_CLIM_AVG", "13.71", "1372.05", "Cfa", 
"US-WCr", "14447", "GRP_CLIM_AVG", "4.02", "787", "Dfb", 
"US-Wdn", "12509", "GRP_CLIM_AVG", "3.3", , "Bsh", 
"US-Wgr", "16060", "GRP_CLIM_AVG", "11.58", "1194", "Csb", 
"US-Whs", "11859", "GRP_CLIM_AVG", "17.6", "320", "Bsk", 
"US-Wi0", "927", "GRP_CLIM_AVG", , , "Dfb", 
"US-Wi1", "3487", "GRP_CLIM_AVG", , , "Dfb", 
"US-Wi2", "9458", "GRP_CLIM_AVG", , , "Dfb", 
"US-Wi3", "5194", "GRP_CLIM_AVG", , , "Dfb", 
"US-Wi4", "9459", "GRP_CLIM_AVG", , , "Dfb", 
"US-Wi5", "1779", "GRP_CLIM_AVG", , , "Dfb", 
"US-Wi6", "5195", "GRP_CLIM_AVG", , , "Dfb", 
"US-Wi7", "928", "GRP_CLIM_AVG", , , "Dfb", 
"US-Wi8", "101", "GRP_CLIM_AVG", , , "Dfb", 
"US-Wi9", "8570", "GRP_CLIM_AVG", , , "Dfb", 
"US-Wjs", "12422", "GRP_CLIM_AVG", "15.2", "361", "Bsk", 
"US-Wkg", "11797", "GRP_CLIM_AVG", "15.64", "407", "Bsk", 
"US-Wlr", "12463", "GRP_CLIM_AVG", "13.52", "881", "Cfa", 
"US-Wpp", "16104", "GRP_CLIM_AVG", "11.39", "1293", "Csb", 
"US-WPT", "12739", "GRP_CLIM_AVG", "10.1", "849", "Dfa", 
"US-Wrc", "30456", "GRP_CLIM_AVG", "8.8", "2452", "Csb", 
"US-Wwt", "16038", "GRP_CLIM_AVG", "11.58", "1194", "Csb", 
"US-xAB", "85355", "GRP_CLIM_AVG", "10", "2450.59", "Csb", 
"US-xAE", "86247", "GRP_CLIM_AVG", "15.5", "778.85", "Cfa", 
"US-xBA", "85228", "GRP_CLIM_AVG", "-12", "110", "ET", 
"US-xBL", "85326", "GRP_CLIM_AVG", "12.1", "982.55", "Cfa", 
"US-xBN", "85549", "GRP_CLIM_AVG", "-2", "275", "Dwc", 
"US-xBR", "79804", "GRP_CLIM_AVG", "5.6", "1246", "Dfb", 
"US-xCL", "79495", "GRP_CLIM_AVG", "17.5", "925.61", "Cfa", 
"US-xCP", "30458", "GRP_CLIM_AVG", "8.6", "320", "Bsk", 
"US-xDC", "85575", "GRP_CLIM_AVG", "4.9", "489.74", "Dfb", 
"US-xDJ", "85570", "GRP_CLIM_AVG", "-2", "300", "Dfc", 
"US-xDL", "85514", "GRP_CLIM_AVG", "17.6", "1372", "Cfa", 
"US-xDS", "85508", "GRP_CLIM_AVG", "22.5", "1216.09", "Cfa", 
"US-xGR", "85467", "GRP_CLIM_AVG", "13.1", "1375", "Cfa", 
"US-xHA", "79802", "GRP_CLIM_AVG", "6.62", "1071", "Dfb", 
"US-xHE", "85448", "GRP_CLIM_AVG", "-4", "320", "ET", 
"US-xJE", "81961", "GRP_CLIM_AVG", "19.2", "1307.97", "Cfa", 
"US-xJR", "85900", "GRP_CLIM_AVG", "15.7", "271.33", "Bsk", 
"US-xKA", "85418", "GRP_CLIM_AVG", "12.7", "850.63", "Cfa", 
"US-xKZ", "79311", "GRP_CLIM_AVG", "12.4", "870.38", "Cfa", 
"US-xLE", "85388", "GRP_CLIM_AVG", "18.1", "1386.24", "Cfa", 
"US-xMB", "86059", "GRP_CLIM_AVG", "10.1", "319.46", "Bsk", 
"US-xML", "85371", "GRP_CLIM_AVG", "8.8", "1227.82", "Dfb", 
"US-xNG", "81932", "GRP_CLIM_AVG", "5.9", "456.51", "Dfb", 
"US-xNQ", "81912", "GRP_CLIM_AVG", "9", "288.31", "Dfb", 
"US-xNW", "83376", "GRP_CLIM_AVG", "0.3", "1004.54", "Dfc", 
"US-xPU", "86079", "GRP_CLIM_AVG", "13", "2685", "Cfb", 
"US-xRM", "86153", "GRP_CLIM_AVG", "2.9", "730.59", "Dfc", 
"US-xRN", "86171", "GRP_CLIM_AVG", "14.4", "1340.32", "Cfa", 
"US-xSB", "79724", "GRP_CLIM_AVG", "20.9", "1302.09", "Cfa", 
"US-xSC", "86202", "GRP_CLIM_AVG", "11.6", "1125.5", "Cfa", 
"US-xSE", "81883", "GRP_CLIM_AVG", "13.6", "1074.65", "Cfa", 
"US-xSJ", "86319", "GRP_CLIM_AVG", "16.4", "539.62", "Csa", 
"US-xSL", "87106", "GRP_CLIM_AVG", "9.7", "432.67", "Bsk", 
"US-xSP", "86395", "GRP_CLIM_AVG", "13.4", "900.35", "Csa", 
"US-xSR", "86474", "GRP_CLIM_AVG", "19.3", "346", "Bsk", 
"US-xST", "86342", "GRP_CLIM_AVG", "4.8", "797.56", "Dfb", 
"US-xTA", "86373", "GRP_CLIM_AVG", "17.2", "1382.68", "Cfa", 
"US-xTE", "86292", "GRP_CLIM_AVG", "8", "1222.5", "Csa", 
"US-xTL", "86225", "GRP_CLIM_AVG", "-4", "331", "ET", 
"US-xTR", "86447", "GRP_CLIM_AVG", "4.8", "797.56", "Dfb", 
"US-xUK", "86141", "GRP_CLIM_AVG", "12.7", "990.63", "Cfa", 
"US-xUN", "79751", "GRP_CLIM_AVG", "4.3", "802.3", "Dfb", 
"US-xWD", "79289", "GRP_CLIM_AVG", "4.9", "493.76", "Dfb", 
"US-xWR", "86101", "GRP_CLIM_AVG", "9.2", "2225.01", "Csb", 
"US-xYE", "86110", "GRP_CLIM_AVG", "3.4", "493.44", "Dfc", 
"US-Ylw", "7583", "GRP_CLIM_AVG", "20", "1260", "Cfa", 
