"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SITE_NAME", 
"US-SCc", "23000461", "GRP_HEADER", "Southern California Climate Gradient - Desert Chaparral", 
"US-SCd", "23000465", "GRP_HEADER", "Southern California Climate Gradient - Sonoran Desert", 
"US-SCf", "23000463", "GRP_HEADER", "Southern California Climate Gradient - Oak/Pine Forest", 
"US-SCg", "23000462", "GRP_HEADER", "Southern California Climate Gradient - Grassland", 
"US-SCs", "23000460", "GRP_HEADER", "Southern California Climate Gradient - Coastal Sage", 
"US-SCw", "23000464", "GRP_HEADER", "Southern California Climate Gradient - Pinyon/Juniper Woodland", 
"US-SdH", "23000502", "GRP_HEADER", "Nebraska SandHills Dry Valley", 
"US-SDU", "23000423", "GRP_HEADER", "South Denver Urban Tower", 
"US-Seg", "23000476", "GRP_HEADER", "Sevilleta grassland", 
"US-Ses", "23000477", "GRP_HEADER", "Sevilleta shrubland", 
"US-SFP", "23000478", "GRP_HEADER", "Sioux Falls Portable", 
"US-SHC", "23000939", "GRP_HEADER", "Sagehen Creek Field Station", 
"US-Shd", "23000425", "GRP_HEADER", "Shidler- Oklahoma", 
"US-SHS", "23000694", "GRP_HEADER", "Secaucus High School Site", 
"US-SJ1", "23000474", "GRP_HEADER", "San Joaquin (Freshwater Marsh Tower 1)", 
"US-SJ2", "23000475", "GRP_HEADER", "San Joaquin (Freshwater Marsh Tower 2)", 
"US-Skr", "23000436", "GRP_HEADER", "Shark River Slough (Tower SRS-6)  Everglades", 
"US-Slt", "23000426", "GRP_HEADER", "Silas Little- New Jersey", 
"US-Snd", "23000424", "GRP_HEADER", "Sherman Island", 
"US-Sne", "23000675", "GRP_HEADER", "Sherman Island Restored Wetland", 
"US-Snf", "23000994", "GRP_HEADER", "Sherman Barn", 
"US-SO2", "23000427", "GRP_HEADER", "Sky Oaks- Old Stand", 
"US-SO3", "23000428", "GRP_HEADER", "Sky Oaks- Young Stand", 
"US-SO4", "23000429", "GRP_HEADER", "Sky Oaks- New Stand", 
"US-SP1", "23000430", "GRP_HEADER", "Slashpine-Austin Cary- 65yrs nat regen", 
"US-SP2", "23000431", "GRP_HEADER", "Slashpine-Mize-clearcut-3yr,regen", 
"US-SP3", "23000432", "GRP_HEADER", "Slashpine-Donaldson-mid-rot- 12yrs", 
"US-SP4", "23000433", "GRP_HEADER", "Slashpine-Rayonier-mid-rot- 12yrs", 
"US-SRC", "23000487", "GRP_HEADER", "Santa Rita Creosote", 
"US-SRG", "23000528", "GRP_HEADER", "Santa Rita Grassland", 
"US-SRM", "23000435", "GRP_HEADER", "Santa Rita Mesquite", 
"US-Srr", "23000712", "GRP_HEADER", "Suisun marsh - Rush Ranch", 
"US-SSH", "23000701", "GRP_HEADER", "Susquehanna Shale Hills Critical Zone Observatory", 
"US-Sta", "23000531", "GRP_HEADER", "Saratoga", 
"US-StJ", "23000551", "GRP_HEADER", "St Jones Reserve", 
"US-StS", "23000685", "GRP_HEADER", "Strawberry Swamp", 
"US-SuM", "23000544", "GRP_HEADER", "Maui Sugarcane Middle", 
"US-SuS", "23000545", "GRP_HEADER", "Maui Sugarcane Lee/Sheltered", 
"US-SuW", "23000543", "GRP_HEADER", "Maui Sugarcane Windy", 
"US-Syv", "23000437", "GRP_HEADER", "Sylvania Wilderness Area", 
"US-SZ1", "23001037", "GRP_HEADER", "St. John, WA On-farm site Zone 1", 
"US-SZ2", "23001038", "GRP_HEADER", "St. John, WA On-farm site Zone 2", 
"US-SZ3", "23001039", "GRP_HEADER", "St. John, WA On-farm site Zone 3", 
"US-Ton", "23000438", "GRP_HEADER", "Tonzi Ranch", 
"US-Tur", "23001017", "GRP_HEADER", "Turner Ranch", 
"US-Tw1", "23000518", "GRP_HEADER", "Twitchell Wetland West Pond", 
"US-Tw2", "23000519", "GRP_HEADER", "Twitchell Corn", 
"US-Tw3", "23000520", "GRP_HEADER", "Twitchell Alfalfa", 
"US-Tw4", "23000523", "GRP_HEADER", "Twitchell East End Wetland", 
"US-Tw5", "23000988", "GRP_HEADER", "East Pond Wetland", 
"US-Twt", "23000506", "GRP_HEADER", "Twitchell Island", 
"US-Tx1", "23000949", "GRP_HEADER", "Stiles Farm Prairie", 
"US-Tx2", "23000950", "GRP_HEADER", "Riesel Farm Native Prairie", 
"US-Tx3", "23000951", "GRP_HEADER", "Riesel Farm Aspirational Agriculture", 
"US-Tx4", "23000952", "GRP_HEADER", "Riesel Farm Traditional Agriculture", 
"US-Tx5", "23000953", "GRP_HEADER", "Texas A&M University Farm", 
"US-Tx6", "23000954", "GRP_HEADER", "La Copita Grassland - Savanna", 
"US-Tx7", "23000955", "GRP_HEADER", "La Copita Shrubland - Savanna", 
"US-Tx8", "23001066", "GRP_HEADER", "Danciger Lowland Hardwood Forest", 
"US-Tx9", "23000956", "GRP_HEADER", "Sargent Unit Salt Marsh", 
"US-Uaf", "23000967", "GRP_HEADER", "University of Alaska, Fairbanks", 
"US-UiA", "23001107", "GRP_HEADER", "University of Illinois Switchgrass", 
"US-UiB", "23001108", "GRP_HEADER", "University of Illinois Miscanthus", 
"US-UiC", "23001109", "GRP_HEADER", "University of Illinois Maize-Soy", 
"US-ULM", "23000517", "GRP_HEADER", "ULM Flux Tower", 
"US-UM3", "23000548", "GRP_HEADER", "Douglas Lake", 
"US-UMB", "23000439", "GRP_HEADER", "Univ. of Mich. Biological Station", 
"US-UMd", "23000500", "GRP_HEADER", "UMBS Disturbance", 
"US-Upa", "23000440", "GRP_HEADER", "Upad", 
"US-Var", "23000441", "GRP_HEADER", "Vaira Ranch- Ione", 
"US-Vcm", "23000471", "GRP_HEADER", "Valles Caldera Mixed Conifer", 
"US-Vcp", "23000472", "GRP_HEADER", "Valles Caldera Ponderosa Pine", 
"US-Vcs", "23000693", "GRP_HEADER", "Valles Caldera Sulphur Springs Mixed Conifer", 
"US-VFP", "23001004", "GRP_HEADER", "Virginia Coast Reserve Fowling Point", 
"US-WBW", "23000443", "GRP_HEADER", "Walker Branch Watershed", 
"US-WCr", "23000444", "GRP_HEADER", "Willow Creek", 
"US-Wdn", "23000532", "GRP_HEADER", "Walden", 
"US-Wgr", "23000668", "GRP_HEADER", "Willamette Grass", 
"US-Whs", "23000446", "GRP_HEADER", "Walnut Gulch Lucky Hills Shrub", 
"US-Wi0", "23000319", "GRP_HEADER", "Young red pine (YRP)", 
"US-Wi1", "23000318", "GRP_HEADER", "Intermediate hardwood (IHW)", 
"US-Wi2", "23000320", "GRP_HEADER", "Intermediate red pine (IRP)", 
"US-Wi3", "23000321", "GRP_HEADER", "Mature hardwood (MHW)", 
"US-Wi4", "23000322", "GRP_HEADER", "Mature red pine (MRP)", 
"US-Wi5", "23000323", "GRP_HEADER", "Mixed young jack pine (MYJP)", 
"US-Wi6", "23000324", "GRP_HEADER", "Pine barrens #1 (PB1)", 
"US-Wi7", "23000325", "GRP_HEADER", "Red pine clearcut (RPCC)", 
"US-Wi8", "23000326", "GRP_HEADER", "Young hardwood clearcut (YHW)", 
"US-Wi9", "23000327", "GRP_HEADER", "Young Jack pine (YJP)", 
"US-Wjs", "23000469", "GRP_HEADER", "Willard Juniper Savannah", 
"US-Wkg", "23000445", "GRP_HEADER", "Walnut Gulch Kendall Grasslands", 
"US-Wlr", "23000448", "GRP_HEADER", "Walnut River Watershed (Smileyburg)", 
"US-Wpp", "23000670", "GRP_HEADER", "Willamette Poplar", 
"US-WPT", "23000536", "GRP_HEADER", "Winous Point North Marsh", 
"US-Wrc", "23000447", "GRP_HEADER", "Wind River Crane Site", 
"US-Wwt", "23000667", "GRP_HEADER", "Willamette Wheat", 
"US-xAB", "23001013", "GRP_HEADER", "NEON Abby Road (ABBY)", 
"US-xAE", "23001054", "GRP_HEADER", "NEON Klemme Range Research Station (OAES)", 
"US-xBA", "23001012", "GRP_HEADER", "NEON Barrow Environmental Observatory (BARR)", 
"US-xBL", "23001014", "GRP_HEADER", "NEON Blandy Experimental Farm (BLAN)", 
"US-xBN", "23001028", "GRP_HEADER", "NEON Caribou Creek - Poker Flats Watershed (BONA)", 
"US-xBR", "23000961", "GRP_HEADER", "NEON Bartlett Experimental Forest (BART)", 
"US-xCL", "23000947", "GRP_HEADER", "NEON LBJ National Grassland (CLBJ)", 
"US-xCP", "23000691", "GRP_HEADER", "NEON Central Plains Experimental Range (CPER)", 
"US-xDC", "23001027", "GRP_HEADER", "NEON Dakota Coteau Field School (DCFS)", 
"US-xDJ", "23001026", "GRP_HEADER", "NEON Delta Junction (DEJU)", 
"US-xDL", "23001025", "GRP_HEADER", "NEON Dead Lake (DELA)", 
"US-xDS", "23001024", "GRP_HEADER", "NEON Disney Wilderness Preserve (DSNY)", 
"US-xGR", "23001023", "GRP_HEADER", "NEON Great Smoky Mountains National Park, Twin Creeks (GRSM)", 
"US-xHA", "23000960", "GRP_HEADER", "NEON Harvard Forest (HARV)", 
"US-xHE", "23001022", "GRP_HEADER", "NEON Healy (HEAL)", 
"US-xJE", "23000975", "GRP_HEADER", "NEON Jones Ecological Research Center (JERC)", 
"US-xJR", "23001021", "GRP_HEADER", "NEON Jornada LTER (JORN)", 
"US-xKA", "23001020", "GRP_HEADER", "NEON Konza Prairie Biological Station - Relocatable (KONA)", 
"US-xKZ", "23000944", "GRP_HEADER", "NEON Konza Prairie Biological Station (KONZ)", 
"US-xLE", "23001019", "GRP_HEADER", "NEON Lenoir Landing (LENO)", 
"US-xMB", "23001044", "GRP_HEADER", "NEON Moab (MOAB)", 
"US-xML", "23001018", "GRP_HEADER", "NEON Mountain Lake Biological Station (MLBS)", 
"US-xNG", "23000977", "GRP_HEADER", "NEON Northern Great Plains Research Laboratory (NOGP)", 
"US-xNQ", "23000976", "GRP_HEADER", "NEON Onaqui-Ault (ONAQ)", 
"US-xNW", "23000978", "GRP_HEADER", "NEON Niwot Ridge Mountain Research Station (NIWO)", 
"US-xPU", "23001045", "GRP_HEADER", "NEON Pu'u Maka'ala Natural Area Reserve (PUUM)", 
"US-xRM", "23001050", "GRP_HEADER", "NEON Rocky Mountain National Park, CASTNET (RMNP)", 
"US-xRN", "23001051", "GRP_HEADER", "NEON Oak Ridge National Lab (ORNL)", 
"US-xSB", "23000957", "GRP_HEADER", "NEON Ordway-Swisher Biological Station (OSBS)", 
"US-xSC", "23001052", "GRP_HEADER", "NEON Smithsonian Conservation Biology Institute (SCBI)", 
"US-xSE", "23000974", "GRP_HEADER", "NEON Smithsonian Environmental Research Center (SERC)", 
"US-xSJ", "23001061", "GRP_HEADER", "NEON San Joaquin Experimental Range (SJER)", 
"US-xSL", "23001075", "GRP_HEADER", "NEON North Sterling, CO (STER)", 
"US-xSP", "23001060", "GRP_HEADER", "NEON Soaproot Saddle (SOAP)", 
"US-xSR", "23000958", "GRP_HEADER", "NEON Santa Rita Experimental Range (SRER)", 
"US-xST", "23001059", "GRP_HEADER", "NEON Steigerwaldt Land Services (STEI)", 
"US-xTA", "23001058", "GRP_HEADER", "NEON Talladega National Forest (TALL)", 
"US-xTE", "23001057", "GRP_HEADER", "NEON Lower Teakettle (TEAK)", 
"US-xTL", "23001053", "GRP_HEADER", "NEON Toolik (TOOL)", 
"US-xTR", "23001048", "GRP_HEADER", "NEON Treehaven (TREE)", 
"US-xUK", "23001047", "GRP_HEADER", "NEON The University of Kansas Field Station (UKFS)", 
"US-xUN", "23000959", "GRP_HEADER", "NEON University of Notre Dame Environmental Research Center (UNDE)", 
"US-xWD", "23000943", "GRP_HEADER", "NEON Woodworth (WOOD)", 
"US-xWR", "23001046", "GRP_HEADER", "NEON Wind River Experimental Forest (WREF)", 
"US-xYE", "23001049", "GRP_HEADER", "NEON Yellowstone Northern Range (Frog Rock) (YELL)", 
"US-Ylw", "23000515", "GRP_HEADER", "Yellow Cab urban", 
