"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "ACKNOWLEDGEMENT", "ACKNOWLEDGEMENT_COMMENT", 
"US-Snd", "11233", "GRP_ACKNOWLEDGEMENT", "Biometeorology Lab, University of California, Berkeley, PI:  Dennis Baldocchi", "This work was funded by NSF-ATM grant number AGS-0628720 and the California Department of Water Resources grant #006550", 
"US-Snf", "84761", "GRP_ACKNOWLEDGEMENT", "Biometeorology Lab, University of California, Berkeley, PI:  Dennis Baldocchi", , 
"US-Srr", "30944", "GRP_ACKNOWLEDGEMENT", "USGS Land Carbon Program", , 
"US-SSH", "30678", "GRP_ACKNOWLEDGEMENT", "Logistical support and/or data were provided by the NSF-supported Shale Hills Susquehanna Critical Zone Observatory", "The user of Susquehanna Shale Hills CZO data agrees to provide proper acknowledgment with each usage of the data.  Citation of the name(s) of the investigator(s) responsible for the data set, in addition to the generic statement above, constitutes proper acknowledgment.  Author(s) (including Susquehanna Shale Hills CZO investigators) of published material that makes use of previously unpublished Susquehanna Shale Hills CZO data agree to provide the Susquehanna Shale Hills CZO data manager with four (4) copies (preferably reprints) of that material for binding as soon as it becomes available.   The user of Susquehanna Shale Hills CZO data agrees not to resell or redistribute shared data.  The user of these data should be aware that, while efforts have been taken to ensure that these data are of the highest quality, there is no guarantee of perfection for the data contained herein and the possibility of errors exists.", 
"US-StS", "30093", "GRP_ACKNOWLEDGEMENT", "Site access to the Hobcaw Barony was provided by The Bell Baruch Foundation.", , 
"US-SZ1", "85786", "GRP_ACKNOWLEDGEMENT", "Funded through award #2017-68002-26819 from the National Institute of Food and Agriculture", , 
"US-SZ2", "85839", "GRP_ACKNOWLEDGEMENT", "Funded through award #2017-68002-26819 from the National Institute of Food and Agriculture", , 
"US-SZ3", "85868", "GRP_ACKNOWLEDGEMENT", "Funded through award #2017-68002-26819 from the National Institute of Food and Agriculture", , 
"US-Ton", "553", "GRP_ACKNOWLEDGEMENT", "This research was supported in part by the Office of Science (BER), U.S. Department of Energy, Grant No. DE-FG02-03ER63638", , 
"US-Ton", "9339", "GRP_ACKNOWLEDGEMENT", "This research was supported by the US Department of Energy Terrestrial Carbon Program, grant No. DE-FG03-00ER63013 and DE-SC0005130", "multi-site synthesis or exclusive use of data", 
"US-Tur", "85309", "GRP_ACKNOWLEDGEMENT", "Support comes from NSF OIA-1632810, DEB-1552976, USDA-NIFA 228396, USDA-Multistate W3188, and the Graduate School at Montana State University.", , 
"US-Tw1", "12560", "GRP_ACKNOWLEDGEMENT", "Biometeorology Lab, University of California, Berkeley, PI:  Dennis Baldocchi", , 
"US-Tw2", "11264", "GRP_ACKNOWLEDGEMENT", "Biometeorology Lab, University of California, Berkeley, PI:  Dennis Baldocchi", , 
"US-Tw3", "11283", "GRP_ACKNOWLEDGEMENT", "Biometeorology Lab, University of California, Berkeley, PI:  Dennis Baldocchi", , 
"US-Tw3", "15352", "GRP_ACKNOWLEDGEMENT", "California Department of Water Resources, DOE AmeriFlux; Biometeorology Lab, University of California, Berkeley, PI:  Dennis Baldocchi", , 
"US-Tw4", "11303", "GRP_ACKNOWLEDGEMENT", "Biometeorology Lab, University of California, Berkeley, PI:  Dennis Baldocchi", , 
"US-Tw5", "84618", "GRP_ACKNOWLEDGEMENT", "Biometeorology Lab, University of California, Berkeley, PI:  Dennis Baldocchi", , 
"US-Twt", "11932", "GRP_ACKNOWLEDGEMENT", "California Department of Water Resources; USDA/AFRI", , 
"US-Tx1", "86569", "GRP_ACKNOWLEDGEMENT", "This research was supported by a grant to the Texas Water Observatory from the Texas A&M University Research and Development Fund.", , 
"US-Tx2", "86571", "GRP_ACKNOWLEDGEMENT", "This research was supported by grants to the Texas Water Observatory from the US Department of Agriculture - Agricultural Research Service (USDA-ARS) and the Texas A&M University Research and Development Fund.", "Texas Water Observatory Project", 
"US-Tx3", "86576", "GRP_ACKNOWLEDGEMENT", "This research was supported by grants to the Texas Water Observatory from the US Department of Agriculture - Agricultural Research Service (USDA-ARS) and the Texas A&M University Research and Development Fund.", , 
"US-Tx4", "86586", "GRP_ACKNOWLEDGEMENT", "This research was supported by grants to the Texas Water Observatory from the US Department of Agriculture - Agricultural Research Service (USDA-ARS) and the Texas A&M University Research and Development Fund.", "Texas Water Observatory Project", 
"US-Tx5", "86591", "GRP_ACKNOWLEDGEMENT", "This research was supported by a grant to the Texas Water Observatory from the Texas A&M University Research and Development Fund.", , 
"US-Tx6", "86595", "GRP_ACKNOWLEDGEMENT", "This research was supported by a grant to the Texas Water Observatory from the Texas A&M University Research and Development Fund and by the Texas A&M Department of Ecosystem Science and Management.", , 
"US-Tx7", "86600", "GRP_ACKNOWLEDGEMENT", "This research was supported by a grant to the Texas Water Observatory from the Texas A&M University Research and Development Fund and by the Texas A&M Department of Ecosystem Science and Management.", , 
"US-Tx8", "86694", "GRP_ACKNOWLEDGEMENT", "This research was supported in part by a grant to the Texas Water Observatory from the Texas A&M University Research and Development Fund.", , 
"US-Tx9", "86610", "GRP_ACKNOWLEDGEMENT", "This research was supported by a grant to the Texas Water Observatory from the Texas A&M University Research and Development Fund.", "Texas Water Observatory Project", 
"US-Uaf", "81368", "GRP_ACKNOWLEDGEMENT", "Supported by Arctic Challenge for Sustainability (ArCS) project by the Ministry of Education, Culture, Sports, Science and Technology, Japan.", "Acknowledge the ArCS Project", 
"US-UiA", "87892", "GRP_ACKNOWLEDGEMENT", "This work was funded by the DOE Center for Advanced Bioenergy and Bioproducts Innovation (U.S. Department of Energy, Office of Science, Office of Biological and Environmental Research under Award Number DE-SC0018420), the Energy Biosciences Institute at the University of Illinois Urbana-Champaign & the Global Change and Photosynthesis Research Unit of the United States Department of Agriculture/Agricultural Research Service.", , 
"US-UiB", "87918", "GRP_ACKNOWLEDGEMENT", "This work was funded by the DOE Center for Advanced Bioenergy and Bioproducts Innovation (U.S. Department of Energy, Office of Science, Office of Biological and Environmental Research under Award Number DE-SC0018420), the Energy Biosciences Institute at the University of Illinois Urbana-Champaign & the Global Change and Photosynthesis Research Unit of the United States Department of Agriculture/Agricultural Research Service.", , 
"US-UiC", "87949", "GRP_ACKNOWLEDGEMENT", "This work was funded by the DOE Center for Advanced Bioenergy and Bioproducts Innovation (U.S. Department of Energy, Office of Science, Office of Biological and Environmental Research under Award Number DE-SC0018420), the Energy Biosciences Institute at the University of Illinois Urbana-Champaign & the Global Change and Photosynthesis Research Unit of the United States Department of Agriculture/Agricultural Research Service.", , 
"US-ULM", "5060", "GRP_ACKNOWLEDGEMENT", "This work was supported by the Louisiana Board of Regents, under Contract No.  LEQSF(2012‐13)‐ENH‐TR‐33 , to the University of Louisiana, Monroe.", , 
"US-Var", "11322", "GRP_ACKNOWLEDGEMENT", "This research was supported in part by the Office of Science (BER), U.S. Department of Energy, Grant No. DE-FG02-03ER63638", , 
"US-VFP", "84967", "GRP_ACKNOWLEDGEMENT", "This site is a member of the LTER Network. This material is based upon work supported by the National Science Foundation under Grant No. 1237733.", "The VCR/LTER is supported by National Science Foundation grants BSR-8702333-06, DEB-9211772, DEB-9411974, DEB-0080381, DEB-0621014 and DEB-1237733 and is part of the U.S. Long-term Ecological Research Network.", 
"US-Wgr", "16059", "GRP_ACKNOWLEDGEMENT", "Supported by U.S. DOE BER and USDA-NIFA Carbon Cycle Science program", , 
"US-Wpp", "16103", "GRP_ACKNOWLEDGEMENT", "Supported by U.S. DOE BER and USDA-NIFA Carbon Cycle Science program", , 
"US-WPT", "12738", "GRP_ACKNOWLEDGEMENT", "Supported by NOAA (NA10OAR4170224) & NSF (NSF1034791)", "Acknowledgement John Simpson and Winous Point Marsh Conservancy for fully support", 
"US-Wwt", "16037", "GRP_ACKNOWLEDGEMENT", "Supported by U.S. DOE BER and USDA-NIFA Carbon Cycle Science program", , 
"US-xAB", "85351", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xAE", "86252", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xBA", "85239", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xBL", "85339", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xBN", "85535", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xBR", "79803", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xCL", "79485", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xCP", "30457", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xDC", "85579", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xDJ", "85568", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xDL", "85526", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xDS", "85507", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xGR", "85469", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xHA", "79785", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xHE", "85463", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xJE", "81964", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xJR", "85437", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xKA", "85421", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xKZ", "79310", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xLE", "85383", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xMB", "86043", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xML", "85372", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xNG", "81930", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xNQ", "81905", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xNW", "83362", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xPU", "86080", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xRM", "86150", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xRN", "86167", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xSB", "79727", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xSC", "86201", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xSE", "81886", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xSJ", "86318", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xSL", "87104", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xSP", "86379", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xSR", "79771", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xST", "86353", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xTA", "86374", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xTE", "86300", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xTL", "86216", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xTR", "86440", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xUK", "86140", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xUN", "79756", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xWD", "79288", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xWR", "86093", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-xYE", "86112", "GRP_ACKNOWLEDGEMENT", "The National Ecological Observatory Network is a project solely funded by the National Science Foundation and managed under cooperative agreement by Battelle.", , 
"US-Ylw", "6728", "GRP_ACKNOWLEDGEMENT", "funding for the site initially came from the Texas Air Research Center (2007-2009), then from EPA and NOAA-GCC (2010-2013)", "always when data is used", 
