"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "RESEARCH_TOPIC", 
"US-Fmf", "12003", "GRP_RESEARCH_TOPIC", "The overall goal of our research is to characterize the effect of disturbances by forest management and wildfire on fluxes of carbon dioxide (CO2) and methane (CH4) between the atmosphere and land in ponderosa pine-dominated forests of northern Arizona.", 
"US-Fuf", "12023", "GRP_RESEARCH_TOPIC", "The overall goal of our research is to characterize the effect of disturbances by forest management and wildfire on fluxes of carbon dioxide (CO2) and methane (CH4) between the atmosphere and land in ponderosa pine-dominated forests of northern Arizona.", 
"US-Fwf", "12048", "GRP_RESEARCH_TOPIC", "The overall goal of our research is to characterize the effect of disturbances by forest management and wildfire on fluxes of carbon dioxide (CO2) and methane (CH4) between the atmosphere and land in ponderosa pine-dominated forests of northern Arizona.", 
"US-GBT", "16024", "GRP_RESEARCH_TOPIC", "The main analytical objectives of the GLEES AmeriFlux site include the flux measurements of momentum, sensible heat, water vapor, latent heat, and CO2 exchange between a sub-alpine forest and the atmosphere. Additional research topics include: 1) examination of the relationship of energy and mass exhanges between the atmosphere and underlying forest ecosystem; 2) ozone depletion; 3) snow hydrology; 4) snow chemistry; 5) nitrogen cycling in sub-alpine forest ecosystems; 6) sub-alpine plant physiology, and 7) the ecosystem response to a spruce beetle outbreak. Recently, significant efforts are being made to quantify the effect of the widespread overstory mortality caused by the spruce beetle (Dendroctonus rufipennis) and the western balsam bark beetle (Dryocoetes confusus).", 
"US-GCE", "86860", "GRP_RESEARCH_TOPIC", "Coastal marsh and estuarine ecology", 
"US-GLE", "15342", "GRP_RESEARCH_TOPIC", "The main analytical objectives of the GLEES AmeriFlux site include the flux measurements of momentum, sensible heat, water vapor, latent heat, and CO2 exchange between a sub-alpine forest and the atmosphere. Additional research topics include: 1) examination of the relationship of energy and mass exhanges between the atmosphere and underlying forest ecosystem; 2) ozone depletion; 3) snow hydrology; 4) snow chemistry; 5) nitrogen cycling in sub-alpine forest ecosystems; 6) sub-alpine plant physiology, and 7) the ecosystem response to a spruce beetle outbreak. Recently, significant efforts are being made to quantify the effect of the widespread overstory mortality caused by the spruce beetle (Dendroctonus rufipennis) and the western balsam bark beetle (Dryocoetes confusus).", 
"US-GMF", "9276", "GRP_RESEARCH_TOPIC", "1) Ecosystem-atmosphere oxygen isotopic fluxes and discrimination mechanisms. 2) CO2 emissions from forest soils during rainstorms.", 
"US-GZ1", "85765", "GRP_RESEARCH_TOPIC", "Pacific northwest landscapes in transition", 
"US-GZ2", "85811", "GRP_RESEARCH_TOPIC", "Pacific northwest landscapes in transition", 
"US-GZ3", "85882", "GRP_RESEARCH_TOPIC", "Pacific northwest landscapes in transition", 
"US-Ha1", "11965", "GRP_RESEARCH_TOPIC", "Quantification of net carbon exchange in a temperate deciduous forest and elucidation of physical and biological controls on carbon exchange in the forest.", 
"US-HB1", "81385", "GRP_RESEARCH_TOPIC", "The influence of tidal inundation, salinity and other abiotic drivers of net ecosystem exchange in a coastal wetland", 
"US-HB2", "79884", "GRP_RESEARCH_TOPIC", "Role of fire in affecting longleaf pine carbon and water cycling", 
"US-HB3", "86461", "GRP_RESEARCH_TOPIC", "Carbon and water balance during longleaf pine restoration", 
"US-HBK", "81446", "GRP_RESEARCH_TOPIC", "closure of local water and energy budgets, adapabiltiy of eddy covariance methods in sub-optimal environments, adiabatic and kadabatic winds,", 
"US-Hn1", "83529", "GRP_RESEARCH_TOPIC", "Semi-arid ecosystem fluxes", 
"US-Hn2", "83499", "GRP_RESEARCH_TOPIC", "Semi-arid ecosystem fluxes, groundwater-ecosystem interactions", 
"US-Hn3", "83507", "GRP_RESEARCH_TOPIC", "Semi-arid ecosystem fluxes, groundwater-ecosystem interactions", 
"US-Ho1", "11457", "GRP_RESEARCH_TOPIC", "Carbon balance * Influence of environmental variables on C-exchange * Soil processes * Isotopic fractionation * Scaling to the region CO2, H2O, sensible heat, and momentum fluxes at 25 and 3 m above the ground *", 
"US-Ho2", "11489", "GRP_RESEARCH_TOPIC", "Carbon sequestration", 
"US-Ho3", "11785", "GRP_RESEARCH_TOPIC", "Carbon sequestration", 
"US-HPY", "30550", "GRP_RESEARCH_TOPIC", "net ecosystem exchange, methane", 
"US-HRA", "12931", "GRP_RESEARCH_TOPIC", "Agriculture, carbon balance, water balance", 
"US-HRC", "12949", "GRP_RESEARCH_TOPIC", "Agriculture, carbon balance, water balance", 
"US-HRN", "87845", "GRP_RESEARCH_TOPIC", "Rice evapotranspiration", 
"US-HRP", "31141", "GRP_RESEARCH_TOPIC", "Studying carbon and water fluxes in a brackish wetland.", 
"US-HRS", "33523", "GRP_RESEARCH_TOPIC", "Rice evapotranspiration", 
"US-HVa", "15783", "GRP_RESEARCH_TOPIC", "NSF, Arctic System Science (ARCSS), Land Atmosphere Ice Interactions (LAII), Flux Study "Large Area Estimates of Carbon Fluxes in Arctic Landscapes"", 
"US-HVs", "84656", "GRP_RESEARCH_TOPIC", "Energy & greenhouse gas fluxes between tundra ecosystem and the atmosphere.", 
"US-IB1", "1628", "GRP_RESEARCH_TOPIC", "The primary objectives of the proposed study are to (1) compare net ecosystem production derived by integrating eddy covariance estimates of net ecosystem exchange over time with independent biometric measurements of ecosystem carbon stocks, and (2) compare carbon dynamics and stocks for the two management practices. The study contributes to the North American Carbon Program by providing information on the magnitude and distribution of carbon stocks and the processes that control carbon dynamics in cultivated and CRP-restored land in the U.S. Midwest.", 
"US-ICh", "12073", "GRP_RESEARCH_TOPIC", "The research approach of the US Study of Environmental Arctic Change (SEARCH) program, created by Arctic Observatory Networks (AON), is to seek development and deployment of a pan-arctic observing system that will measure the full range of continuing changes now underway in the Arctic. This project focuses on simultaneous measurements of carbon, water, and energy fluxes of the terrestrial landscape at hourly, daily, seasonal, and multi-year time scales. These are major regulatory drivers of the Arctic system and form key linkages and feedbacks between the land surface, the atmosphere, and the oceans.  There are three automated weather stations deployed at Imnavait Creek in support of the AON objectives: The Ridge Station, the Biocomplexity Station, and the Fen Station. These stations will provide a comprehensive description of the state of the regional Arctic system with respect to these variables, its overall regulation and controlling features, and its interaction with the global system.  In the longer-term, this project will provide a legacy of data, a network of observing platforms, and a set of clear protocols for long-term observation and further analysis.", 
"US-ICs", "12093", "GRP_RESEARCH_TOPIC", "The research approach of the US Study of Environmental Arctic Change (SEARCH) program, created by Arctic Observatory Networks (AON), is to seek development and deployment of a pan-arctic observing system that will measure the full range of continuing changes now underway in the Arctic. This project focuses on simultaneous measurements of carbon, water, and energy fluxes of the terrestrial landscape at hourly, daily, seasonal, and multi-year time scales. These are major regulatory drivers of the Arctic system and form key linkages and feedbacks between the land surface, the atmosphere, and the oceans.  There are three automated weather stations deployed at Imnavait Creek in support of the AON objectives: The Ridge Station, the Biocomplexity Station, and the Fen Station. These stations will provide a comprehensive description of the state of the regional Arctic system with respect to these variables, its overall regulation and controlling features, and its interaction with the global system.  In the longer-term, this project will provide a legacy of data, a network of observing platforms, and a set of clear protocols for long-term observation and further analysis.", 
"US-ICt", "12113", "GRP_RESEARCH_TOPIC", "The research approach of the US Study of Environmental Arctic Change (SEARCH) program, created by Arctic Observatory Networks (AON), is to seek development and deployment of a pan-arctic observing system that will measure the full range of continuing changes now underway in the Arctic. This project focuses on simultaneous measurements of carbon, water, and energy fluxes of the terrestrial landscape at hourly, daily, seasonal, and multi-year time scales. These are major regulatory drivers of the Arctic system and form key linkages and feedbacks between the land surface, the atmosphere, and the oceans.  There are three automated weather stations deployed at Imnavait Creek in support of the AON objectives: The Ridge Station, the Biocomplexity Station, and the Fen Station. These stations will provide a comprehensive description of the state of the regional Arctic system with respect to these variables, its overall regulation and controlling features, and its interaction with the global system.  In the longer-term, this project will provide a legacy of data, a network of observing platforms, and a set of clear protocols for long-term observation and further analysis.", 
"US-Ivo", "14908", "GRP_RESEARCH_TOPIC", "1) Seasonal variation of CO2, H2O and CH4 fluxes and the inter-annual differences in arctic landscapes; 2) Climatic effect on the arctic CO2, CH4 budget.", 
"US-JLN", "85688", "GRP_RESEARCH_TOPIC", "Comparisons of CH4 and CO2 fluxes from natural wetland, restored wetland and agricultural sites", 
"US-JLR", "85706", "GRP_RESEARCH_TOPIC", "Comparisons of CH4 and CO2 fluxes from natural wetland, restored wetland and agricultural sites", 
"US-JRn", "87871", "GRP_RESEARCH_TOPIC", "Methane emissions from hydrofracking operations", 
"US-KCM", "33563", "GRP_RESEARCH_TOPIC", "Current research topics include:
1. Quantifying the regional CO2 budget and relating tall tower estimates of GPP to solar induced fluorescence;
2. Bayesian inverse analyses of CO2 and CH4 budgets
3. Investigation of regional reactive nitrogen (nitrous oxide and ammonia) budgets", 
"US-KL1", "14596", "GRP_RESEARCH_TOPIC", "Land use change, bioenergy, GHG", 
"US-KL2", "14621", "GRP_RESEARCH_TOPIC", "Land use change, bioenergy, GHG", 
"US-KL3", "14647", "GRP_RESEARCH_TOPIC", "Land use change, bioenergy, GHG", 
"US-KLS", "30938", "GRP_RESEARCH_TOPIC", "Climate impacts of perenniel agricultural production", 
"US-KM1", "14673", "GRP_RESEARCH_TOPIC", "Land use change, bioenergy, GHG", 
"US-KM2", "14699", "GRP_RESEARCH_TOPIC", "Land use change, bioenergy, GHG", 
"US-KM3", "14726", "GRP_RESEARCH_TOPIC", "Land use change, bioenergy, GHG", 
"US-KM4", "14754", "GRP_RESEARCH_TOPIC", "Land use change, bioenergy, GHG", 
"US-KS1", "15546", "GRP_RESEARCH_TOPIC", "Research Topics and objectives for the Kennedy Space Center Slash Pine Flatwoods site include the following: 1) Quantify and compare latent heat and sensible heat fluxes of these two adjacent, hydrologically contrasting Florida ecosystems; 2) Determine and compare the biological and environmental factors affecting the partition of the available energy into evapotranspiration and sensible heat flux between the two ecosystems (Bracho et al., 2008).", 
"US-KS2", "15571", "GRP_RESEARCH_TOPIC", "Research Topics and objectives for the Kennedy Space Center Scrub Oak site include the following: 1) Investigate the effect of elevated atmospheric CO2 concentration on aboveground biomass of a naturally re- regenerated woody ecosystem; 2) Quantify scrub oak net ecosystem exchange over a range of temporal scales from half-hour to annual; 3) Identify the magnitude and temporal scales that leaf area, air temperature, soil moisture, vapor pressure, and solar radiation influence scrub oak C fluxes; 4) Quantify and compare latent heat and sensible heat fluxes of these two adjacent, hydrologically contrasting Florida ecosystems; 5) Determine and compare the biological and environmental factors affecting the partition of the available energy into evapotranspiration and sensible heat flux between the two ecosystems (Dijkstra et al., 2002, Powell et al., 2006, Bracho et al., 2008).", 
"US-KS3", "79258", "GRP_RESEARCH_TOPIC", "Carbon flux of coastal salt marsh related to changes related to woody encroachment", 
"US-KS4", "79897", "GRP_RESEARCH_TOPIC", "Carbon flux of coastal salt marsh", 
"US-KUO", "11705", "GRP_RESEARCH_TOPIC", "The research focus at this site was to quantify the magnitude of CO2, water vapor, and energy fluxes from vegetation and soils in an urban/suburban landscape, and to understand how they affect the spatial and temporal dynamics of the total CO2 flux between the urban environment and the atmosphere.", 
"US-KUT", "11765", "GRP_RESEARCH_TOPIC", "This site was located within the footprint area of the KUOM tall tower (US-KUO). The research focus was to quantify the CO2, water vapor, and energy fluxes over lawn-covered areas of the urban/suburban environment. Specifically, the US-KUT site focused on quantifying the CO2 exchange of turfgrasses and soils in order to partition the carbon budget that was measured from the US-KUO tall tower.", 
"US-LA1", "85115", "GRP_RESEARCH_TOPIC", "Annual carbon and water fluxes, chamber/EC comparison", 
"US-LA2", "85129", "GRP_RESEARCH_TOPIC", "Annual carbon and water fluxes, chamber/EC comparison", 
"US-LA3", "85153", "GRP_RESEARCH_TOPIC", "Annual carbon and water fluxes, chamber/EC comparison", 
"US-LL1", "83557", "GRP_RESEARCH_TOPIC", "Carbon, energy and hydrological research", 
"US-LL2", "83579", "GRP_RESEARCH_TOPIC", "Carbon, energy and hydrological research", 
"US-LL3", "83599", "GRP_RESEARCH_TOPIC", "Carbon, energy and hydrological research", 
"US-Los", "15285", "GRP_RESEARCH_TOPIC", "The research topics and objectives for the Lost Creek site include the following: 1) Quantify the differential impact of environmental drivers, radiation, and vapor pressure deficit in an shrub wetland; 2) Determine the key driver, radiation or vapor pressure deficit, of flux data for each tower year, and on the basis of this analysis apply the appropriate model to help explain observed intersite, interannual, and interseasonal variation in evapotranspiration; 3) Cross-site examine the variability of net ecosystem exchange of carbon dioxide, ecosystem respiration, gross system production and the attendant parameters; 4) Quantify the role of soil moisture in affecting ecosystem respiration; 5) Identify landscape-level patterns in the temperature and moisture response of ecosystem respiration as determined by shrub wetlands and stages of development. Mackay et al. (2007), Deasi et al. (2008), Noormets et al. (2008)", 
"US-LWW", "6723", "GRP_RESEARCH_TOPIC", "Provide a long-term continuous record of the surface energy balance components for model testing and evaluation", 
"US-Me1", "4096", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Metolius Eyerly Burn site are as follows: 1) To quantify how successional stages and management practices in forest ecosystems influence processes controlling net ecosystem exchange of CO2 in varying climatic conditions; 2) Investigate the effects of disturbance processes controlling carbon storage and CO2 and energy exchange with the atmosphere in varying climatic conditions; 3) Measure the effects of disturbance and climate on the CO2 and energy exchange of ponderosa pine forests in the Pacific Northwest; 4) Investigate postfire carbon dynamics and contrast results with data collected on unburned forest stands that represent the prefire conditions; 5) Measure carbon pools and key carbon fluxes in forest stands subject to moderate and high severity fire in order to estimate NEP. (Irvine et al. 2007)", 
"US-Me2", "12969", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Metolius Intermediate Pine site are as follows: 1) To quantify how successional stages and management practices in forest ecosystems influence processes controlling net ecosystem exchange of CO2 in varying climatic conditions; 2) Investigate the effects of disturbance processes controlling carbon storage and CO2 and energy exchange with the atmosphere in varying climatic conditions; 3) Measure the effects of disturbance and climate on the CO2 and energy exchange of ponderosa pine forests in the Pacific Northwest; 4) Evaluate the different statistical models for estimating soil surface CO2 efflux from measurements of abiotic factors such as soil temperature and moisture, and nitrogen and carbon in the soil and litter layers; 5) Compare differences in the seasonal patterns of carbon and energy exchange between stands of different ages; 6) Examine the implications of interannual variation of GPP and ecosystem respiration on net ecosystem exchange of CO2 (NEE); 7) Identify patterns in a multiyear record of soil CO2 efflux and ecosystem processes at an AmeriFlux site to generate a parsimonious seasonal model for soil CO2 efflux that has traits of value to the wider research community; 8) Assess the relationship between substrate supply from the canopy and root/rhizosphere respiration. (Anthoni et al. 2002, Schwarz et al. 2004, Irvine et al. 2008)", 
"US-Me3", "17285", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Metolius New Young Pine site are as follows: 1) To quantify how successional stages and management practices in forest ecosystems influence processes controlling net ecosystem exchange of CO2 in varying climatic conditions; 2) Investigate the effects of disturbance processes controlling carbon storage and CO2 and energy exchange with the atmosphere in varying climatic conditions; 3) Measure the effects of disturbance and climate on the CO2 and energy exchange of ponderosa pine forests in the Pacific Northwest.", 
"US-Me4", "5842", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Metolius Old Pine site are as follows: 1) To quantify how successional stages and management practices in forest ecosystems influence processes controlling net ecosystem exchange of CO2 in varying climatic conditions; 2) Investigate the effects of disturbance processes controlling carbon storage and CO2 and energy exchange with the atmosphere in varying climatic conditions; 3) Measure the effects of disturbance and climate on the CO2 and energy exchange of ponderosa pine forests in the Pacific Northwest; 4) Investigate how soil water deficit influences the process driving NEE in two seasonally water-limited ponderosa pine stands of contrasting ages; 5) Evaluate the different statistical models for estimating soil surface CO2 efflux from measurements of abiotic factors such as soil temperature and moisture, and nitrogen and carbon in the soil and litter layers; 6) Examine how CO2 exchange rates differ in response to environmental factors between young and old-growth ecosystems; 7) Compare differences in the seasonal patterns of carbon and energy exchange between stands of different ages; 8) Determine the factors limiting soil microbial activity in undisturbed old growth and regenerating ponderosa pine stands under the semi-arid climate of central Oregon. (Law et al. (1999a), Anthoni et al. (2002), Irvine et al. (2002), Kelliher et al. (2004))", 
"US-Me5", "5039", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Metolius First Young Pine site are as follows: 1) To quantify how successional stages and management practices in forest ecosystems influence processes controlling net ecosystem exchange of CO2 in varying climatic conditions; 2) Investigate the effects of disturbance processes controlling carbon storage and CO2 and energy exchange with the atmosphere in varying climatic conditions; 3) Measure the effects of disturbance and climate on the CO2 and energy exchange of ponderosa pine forests in the Pacific Northwest; 4) Using measured carbon flux data, demostrate why the application of data assimilation techniques yield improved estimates of ecosystem carbon stocks and fluxes, with reduced uncertainty compared with the original observations, or the model alone; 5) Examine how CO2 exchange rates differ in response to environmental factors between young and old-growth ecosystems; 6) Examine the implications of interannual variation of GPP and ecosystem respiration on net ecosystem exchange of CO2 (NEE). (Anthoni et al. (2002), Schwarz et al. (2004), Williams et al. (2005))", 
"US-Me6", "11563", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Metolius New Young Pine site are as follows: 1) To quantify how successional stages and management practices in forest ecosystems influence processes controlling net ecosystem exchange of CO2 in varying climatic conditions; 2) Investigate the effects of disturbance processes controlling carbon storage and CO2 and energy exchange with the atmosphere in varying climatic conditions; 3) Measure the effects of disturbance and climate on the CO2 and energy exchange of ponderosa pine forests in the Pacific Northwest.", 
"US-Men", "33588", "GRP_RESEARCH_TOPIC", "Lake/Atmosphere flux study", 
"US-Mj1", "29758", "GRP_RESEARCH_TOPIC", "Wheat carbon uptake, evapotranspiration, and sensible heat flux, and implications for atmospheric boundary layer development", 
"US-Mj2", "29738", "GRP_RESEARCH_TOPIC", "Summer fallow carbon loss, evapotranspiration, and sensible heat flux, and implications for atmospheric boundary layer development", 
"US-MMS", "11724", "GRP_RESEARCH_TOPIC", "1) Measure current CO2 fluxes and atmospheric controls for a deciduous forest ecosystem in the Midwest. 2) Develop, evaluate, and assess methods to scale-up from point measurements of fluxes to regional budgets.", 
"US-MOz", "17092", "GRP_RESEARCH_TOPIC", "Science objectives include: long term monitoring of carbon dioxide and water vapor concentrations, above canopy and sub-canopy energy fluxes, characterization of meteorological and environmental conditions, soil respiration, sap flow, canopy phenology, and leaf-level photosynthetic biochemistry.", 
"US-Mpj", "30666", "GRP_RESEARCH_TOPIC", "Research topics and objectives include 1) To understand the coupled water and energy cycles in semiarid environments; 2) Quantify carbon, water and energy fluxes in addition to inter-annual variability in these fluxes; 3) Quantify the extent to which water and carbon fluxes are controlled by soil moisture and rainfall, and the sensitivity of fluxes in this biome to changes in temperature and precipitation; 4) Quantifying the consequences of large-scale piñon pine dieoff in piñon -juniper woodlands for ecosystem processes such as carbon storage and water availability.", 
"US-MRf", "3291", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Marys River Fir site are as follows: 1) Measurements of carbon, water and energy fluxes in a wet coniferous forest, with ancillary measurements, to understand and quantify biogeochemical cycles in this biome, including carbon stocks and fluxes, water and energy balance; 2) Measurement of carbon, water and energy fluxes across a climatic gradient in the Pacific Northwest, together with Metolius (our group) and Burns (Eastern Oregon Agricultural Research Center) sites to understand climatic effects on plant growth and carbon/water relations; 3) Part of the worldwide Moisture Isotopes in the Biosphere and Atmosphere (MIBA) network: measurement of oxygen isotope composition of leaf water, stem water, soil water and water vapor to understand the hydrological cycle and partition water vapor fluxes between transpiration and soil evaporation; 4) Planned automated measurements of stable isotopes of respired CO2, combined with MIBA measurements, to understand climatic controls on isotopic composition of CO2, and partition photosynthetic and respiratory components of carbon flux.", 
"US-MRM", "30530", "GRP_RESEARCH_TOPIC", "net ecosystem exchange, methane fluxes", 
"US-MtB", "87251", "GRP_RESEARCH_TOPIC", "Ecohydrology", 
"US-Myb", "11202", "GRP_RESEARCH_TOPIC", "The research approach of the University of California, Berkeley Biometeorology Laboratory involves the coordinated use of experimental measurements and theoretical models to understand the physical, biological, and chemical processes that control trace gas fluxes between the biosphere and atmosphere and to quantify their temporal and spatial variations. The research objectives of the Mayberry Wetland, Sherman Island, and Twitchell Island sites are as follows: 1) Describe differences in the fluxes of CO2, CH4, H2O, and energy between different land uses; 2) Understand the mechanisms controlling these fluxes; 3) Use ecosystem modeling to understand controls on these mechanisms under different environmental scenarios. These three sites were selected to capture a wide range of inundated conditions within the Sacramento-San Joaquin River Delta. The research focuses on the eddy covariance technique to measure CH4, CO2, H2O, and energy fluxes and works to combine measurements of both net fluxes and partitioned fluxes in order to achieve a mechanistic understanding of the ecological controls on current and future carbon flux in the Delta.", 
"US-NC1", "12828", "GRP_RESEARCH_TOPIC", "The research and science objectives of the North Carolina Clearcut site are as follows: 1) quantify age-related changes in carbon and water exchange, environmental regulation and stress sensitivity; 2) partition causes of variability between environmental and management factors; 3) Identify primary vulnerabilities to environmental stresses, and develop potential adaptive measures.", 
"US-NC2", "12857", "GRP_RESEARCH_TOPIC", "The research and science objectives of the North Carolina Loblolly Pine site are as follows: 1) quantify age-related changes in carbon and water exchange, environmental regulation and stress sensitivity; 2) partition causes of variability between environmental and management factors; 3) Identify primary vulnerabilities to environmental stresses, and develop potential adaptive measures; 4) Characterize the sources of interannual variability in the fluxes, including sensitivity to natural disturbances such as severe droughts; 5) Examine the effects of ecosystem conversion from wetlands to intensively managed forests on plant hydraulic properties and water balances. (Domec et al., 2009, Noormets et al., 2009)", 
"US-NC3", "12885", "GRP_RESEARCH_TOPIC", "The goal is to refine understanding of post-disturbance carbon fluxes, respiration partitioining, and decomposition dynamics.", 
"US-NC4", "12908", "GRP_RESEARCH_TOPIC", "Hydrological regulation of CO2 and CH4 exchange, dynamics of soil carbon, partitioning of respiration", 
"US-Ne1", "8428", "GRP_RESEARCH_TOPIC", "The overall goals are to investigate the C sequestration potential of major rainfed and irrigated agroecosystems in the north-central USA and to understand the biophysical controls on C sequestration.", 
"US-Ne2", "4125", "GRP_RESEARCH_TOPIC", "The overall goals are to investigate the C sequestration potential of major rainfed and irrigated agroecosystems in the north-central USA and to understand the biophysical controls on C sequestration.", 
"US-Ne3", "10156", "GRP_RESEARCH_TOPIC", "The overall goals are to investigate the C sequestration potential of major rainfed and irrigated agroecosystems in the north-central USA and to understand the biophysical controls on C sequestration.", 
"US-NGB", "13261", "GRP_RESEARCH_TOPIC", "Experiments, observations, and process models to quantify the response of physical, ecological, and biogeochemical processes to atmospheric and climatic change across molecular to landscape scales.", 
"US-NMj", "9314", "GRP_RESEARCH_TOPIC", "The jack pine site is owned by Michigan Technological University. The stand is managed, and thus thinned and harvested depending on stand age. This jack pine site is naturally regenerating following a clearcut around 1989. Heavy snow in December 2001 caused the site to be down during early 2002.", 
"US-NR1", "11582", "GRP_RESEARCH_TOPIC", "The objectives and topics include the following: 1) Quantify the potential of forests in the mountainous Western US to sequester carbon and the effects of soil moisture and temperature on seasonal and annual patterns of NEE; 2) Examination of the large-scale flow features associated with mountainous terrains in an effort to determine how they affect local flux measurements; 3) Assessment of the energy budget of a subalpine forest in complex terrain; 4) Determine the difficulties surrounding a precise definition of the time of transition from winter net ecosystem CO2 loss to spring net ecosystem CO2 gain; 5) Establish a quantitative relationship between interannual variation in the rate of carbon uptake during spring snow melt and interannual variation in the rate of total annual carbon uptake; 6) Evaluate the environmental variables that are most important in triggering the forest turn-on date; 7) Investigate the physiological processes that are most limiting to the springtime upregulation of photosynthetic CO2 assimilation.", 
"US-NR2", "29776", "GRP_RESEARCH_TOPIC", "Horizontal and vertical advection of CO2 and CH4.", 
"US-Nrf", "30914", "GRP_RESEARCH_TOPIC", "This project aims to quantify the net ecosystem carbon balance (NECB) of the marsh and assess how the NECB of this natural (or "reference") marsh compares to a nearby recently (2009) restored marsh.", 
"US-Nrs", "30874", "GRP_RESEARCH_TOPIC", "This project aims to quantify the net ecosystem carbon balance (NECB) of the marsh and assess how the NECB of this restoring marsh compares to a nearby natural, undisturbed (i.e. “reference”) marsh.", 
"US-OF1", "30653", "GRP_RESEARCH_TOPIC", "Agriculture, irrigation management, water balance, carbon balance", 
"US-OF2", "30634", "GRP_RESEARCH_TOPIC", "Agriculture, irrigation management, water balance, carbon balance", 
"US-Oho", "5038", "GRP_RESEARCH_TOPIC", "The research and science objectives of the Ohio Oak Openings site are as follows: 1) Quantify and partition the effect of a moderate drought on the carbon balance of a temperate forest; 2) Determine the magnitudes and dynamics of Estimate Litter Respiration, Mineral Soil Respiration, and Soil Respiration (total) through manipulations of litter horizon in an oak-dominated forest; 3) Determine the relative importance of temperature and moisture mediating Mineral Soil Respiration and Estimate Litter Respiration; 4) Investigate how this mediation changes seasonally as determined by plant phenophases; 5) Account for the seasonal environmental changes in the regulation in Soil Respiration. (DeForest et al., 2009, Noormets et al., 2008, DeForest et al., 2006)", 
"US-ORv", "11222", "GRP_RESEARCH_TOPIC", "The research objectives of the Wilma H. Schiermeier Olentangy River Wetland Research Park site are to understand: 1) how wetlands function, and 2) if and how we can create and restore wetlands.", 
"US-OWC", "14794", "GRP_RESEARCH_TOPIC", "Coupling methane formation and transport with microbial data.", 
"US-PFa", "15240", "GRP_RESEARCH_TOPIC", "The research objectives of the 'Observations of carbon dioxide mixing ratios and surface exchange fluxes at WLEF' project include the following: 1) Examine the annual carbon balance of the forest on a large scale (several square kilometers); 2) Determine which environmental variables are most important in setting the net carbon balance on seasonal and annual time scales; 3) Examine the role of PBL dynamics in carbon exchange and the influence of carbon dioxide mixing ratios near the surface; 4) Quantify the PBL-free troposphere exchange; 5) Determine the mixing ratios of carbon dioxide obtained at up to 500 m height on towers can best be used, in combination with data from other existing sites and from aircraft, to constrain the terrestrial carbon balance on regional and global scales; 6) Examine how anthropogenic pollution can influence the regional mixing ratios and variability of carbon dioxide and other greenhouse and ozone-depleting gases. (Project description by Peter S. Bakwin available at http://cheas.psu.edu/projects/WLEFflux). In addition, the usage of multiple-level flux measurements, examine systematic errors in our estimates of NEE of CO2, and in the joint evaluation of the seasonal cycles of both NEE of CO2 and the atmospheric boundary layer (ABL) CO2 mixing ratio (Davis et al. 2003).", 
"US-PFb", "87413", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFc", "87436", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFd", "87459", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFe", "87482", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFf", "87505", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFg", "87536", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
"US-PFh", "87555", "GRP_RESEARCH_TOPIC", "This tower was erected as one of 19 towers installed in the Chequamegon-Nicolet National Forest for the summer and fall of 2019 as part of the CHEESEHEAD 2019 (Chequamegon Heterogeneous Ecosystem Energy-balance Study Enabled by a High-density Extensive Array of Detectors) project.", 
