"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "TERRAIN", "ASPECT", "WIND_DIRECTION", "SURFACE_HOMOGENEITY", "SITE_SNOW_COVER_DAYS", 
"US-Ton", "33666", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", "FLAT", "WNW", "300", "0", 
"US-Tur", "85317", "GRP_SITE_CHAR", "Flat", "E", "SW", "80", , 
"US-Tw1", "12569", "GRP_SITE_CHAR", "Flat", "Flat", "W", "310", "0", 
"US-Tw2", "11272", "GRP_SITE_CHAR", "Flat", "Flat", "W", "630", "0", 
"US-Tw3", "11291", "GRP_SITE_CHAR", "Flat", "Flat", "W", "370", "0", 
"US-Tw4", "11311", "GRP_SITE_CHAR", "Flat", "Flat", "W", "800", "0", 
"US-Tw5", "84615", "GRP_SITE_CHAR", "Flat", "FLAT", "W", "208", "0", 
"US-Twt", "11941", "GRP_SITE_CHAR", "Flat", "Flat", "W", "455", "0", 
"US-Tx1", "86565", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "S", "S", "600", "0", 
"US-Tx2", "79584", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "S", "SSE", "600", "0", 
"US-Tx3", "79550", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "S", "SSE", "600", "0", 
"US-Tx4", "79602", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "S", "SSE", "600", "0", 
"US-Tx5", "79630", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "S", "S", "600", "0", 
"US-Tx6", "79642", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "S", "S", "200", "0", 
"US-Tx7", "79705", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "S", "S", "600", "0", 
"US-Tx8", "86677", "GRP_SITE_CHAR", "Flat", , "SSE", "1220", "0", 
"US-Tx9", "79668", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "S", "S", "300", "0", 
"US-Uaf", "81360", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "N", "NW", "120", "195", 
"US-UiA", "87903", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "FLAT", "S", "200", , 
"US-UiB", "87926", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "FLAT", "S", "200", , 
"US-UiC", "87930", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "FLAT", "S", "200", , 
"US-ULM", "29703", "GRP_SITE_CHAR", "Flat", "FLAT", , "2000", "0", 
"US-UM3", "14780", "GRP_SITE_CHAR", "Flat", "W", "NW", "600", , 
"US-UMB", "12337", "GRP_SITE_CHAR", "FLAT", "FLAT", , "3000", , 
"US-UMd", "12370", "GRP_SITE_CHAR", "FLAT", "FLAT", "W", "3000", , 
"US-Var", "11331", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", , , , "0", 
"US-Vcm", "11684", "GRP_SITE_CHAR", , , "NW", , , 
"US-Vcp", "12409", "GRP_SITE_CHAR", , , "NW", , , 
"US-Vcs", "30492", "GRP_SITE_CHAR", "Hilltop", "SE", "WSW", , , 
"US-VFP", "84979", "GRP_SITE_CHAR", "Flat", "Flat", "NE", "2000", "17", 
"US-WCr", "22215", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "SE", "W", "1000", "100", 
"US-Wdn", "12519", "GRP_SITE_CHAR", "Flat", "FLAT", "W", "1000", , 
"US-Wgr", "16067", "GRP_SITE_CHAR", "Flat", "W", "W", "193", "0", 
"US-Whs", "11867", "GRP_SITE_CHAR", "Undulated/Variable", "S", "W", "1500", "0", 
"US-Wi0", "5009", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-Wi1", "4103", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-Wi2", "3301", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-Wi3", "5854", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-Wi4", "3302", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-Wi5", "5855", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-Wi6", "2449", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-Wi7", "5008", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-Wi8", "8411", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-Wi9", "9292", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", , , , , 
"US-Wjs", "12429", "GRP_SITE_CHAR", , , "SW", , , 
"US-Wpp", "16111", "GRP_SITE_CHAR", "Flat", "W", "W", "470", "0", 
"US-WPT", "12747", "GRP_SITE_CHAR", "Flat", "Flat", "WNW", "250", "60", 
"US-Wrc", "12451", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", , , , , 
"US-Wwt", "16045", "GRP_SITE_CHAR", "Flat", "W", "W", "581", "0", 
"US-xAB", "85356", "GRP_SITE_CHAR", , , "SSE", , , 
"US-xAE", "86239", "GRP_SITE_CHAR", , , "SE", , , 
"US-xBA", "85233", "GRP_SITE_CHAR", , , "E", , , 
"US-xBL", "85329", "GRP_SITE_CHAR", , , "SW", , , 
"US-xBN", "85548", "GRP_SITE_CHAR", , , "NE", , , 
"US-xBR", "79822", "GRP_SITE_CHAR", , , "S", , , 
"US-xCL", "79503", "GRP_SITE_CHAR", , , "S", , , 
"US-xCP", "30468", "GRP_SITE_CHAR", , , "NW", , , 
"US-xDC", "85572", "GRP_SITE_CHAR", , , "NW", , , 
"US-xDJ", "85557", "GRP_SITE_CHAR", , , "S", , , 
"US-xDL", "85520", "GRP_SITE_CHAR", , , "SW", , , 
"US-xDS", "85497", "GRP_SITE_CHAR", , , "E", , , 
"US-xGR", "85479", "GRP_SITE_CHAR", , , "SW", , , 
"US-xHA", "79782", "GRP_SITE_CHAR", , , "NW", , , 
"US-xHE", "85464", "GRP_SITE_CHAR", , , "SW", , , 
"US-xJE", "81965", "GRP_SITE_CHAR", , , "NE", , , 
"US-xJR", "85434", "GRP_SITE_CHAR", , , "SW", , , 
"US-xKA", "85403", "GRP_SITE_CHAR", , , "SSW", , , 
"US-xKZ", "79322", "GRP_SITE_CHAR", , , "SSW", , , 
"US-xLE", "85386", "GRP_SITE_CHAR", , , "NNW", , , 
"US-xMB", "86041", "GRP_SITE_CHAR", , , "SSW", , , 
"US-xNG", "81941", "GRP_SITE_CHAR", , , "NW", , , 
"US-xNQ", "81923", "GRP_SITE_CHAR", , , "S", , , 
"US-xNW", "83358", "GRP_SITE_CHAR", , , "W", , , 
"US-xPU", "86063", "GRP_SITE_CHAR", , , "ESE", , , 
"US-xRM", "86160", "GRP_SITE_CHAR", , , "NW", , , 
"US-xRN", "86170", "GRP_SITE_CHAR", , , "W", , , 
"US-xSC", "86207", "GRP_SITE_CHAR", , , "SSE", , , 
"US-xSE", "81893", "GRP_SITE_CHAR", , , "SSW", , , 
"US-xSJ", "86320", "GRP_SITE_CHAR", , , "NW", , , 
"US-xSL", "87107", "GRP_SITE_CHAR", , , "NW", , , 
"US-xSP", "86393", "GRP_SITE_CHAR", , , "NW", , , 
"US-xSR", "86470", "GRP_SITE_CHAR", , , "ESE", , , 
"US-xST", "86350", "GRP_SITE_CHAR", , , "WSW", , , 
"US-xTA", "86376", "GRP_SITE_CHAR", , , "N", , , 
"US-xTE", "86303", "GRP_SITE_CHAR", , , "NW", , , 
"US-xTL", "86228", "GRP_SITE_CHAR", , , "S", , , 
"US-xTR", "86439", "GRP_SITE_CHAR", , , "WSW", , , 
"US-xUK", "86143", "GRP_SITE_CHAR", , , "SE", , , 
"US-xWD", "79299", "GRP_SITE_CHAR", , , "NW", , , 
"US-xWR", "86089", "GRP_SITE_CHAR", , , "NW", , , 
"US-xYE", "86117", "GRP_SITE_CHAR", , , "SSE", , , 
"US-Ylw", "2484", "GRP_SITE_CHAR", "Flat", , "SE", , "0", 
