"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "NETWORK", 
"US-RC4", "84940", "GRP_NETWORK", "AmeriFlux", 
"US-RC5", "84957", "GRP_NETWORK", "AmeriFlux", 
"US-RFE", "29952", "GRP_NETWORK", "AmeriFlux", 
"US-RFW", "29969", "GRP_NETWORK", "AmeriFlux", 
"US-Rls", "30710", "GRP_NETWORK", "AmeriFlux", 
"US-Rms", "30614", "GRP_NETWORK", "AmeriFlux", 
"US-Rms", "86993", "GRP_NETWORK", "Phenocam", 
"US-Ro1", "12292", "GRP_NETWORK", "AmeriFlux", 
"US-Ro1", "86994", "GRP_NETWORK", "Phenocam", 
"US-Ro2", "14541", "GRP_NETWORK", "Ameriflux", 
"US-Ro2", "86995", "GRP_NETWORK", "Phenocam", 
"US-Ro3", "14567", "GRP_NETWORK", "Ameriflux", 
"US-Ro4", "14489", "GRP_NETWORK", "Ameriflux", 
"US-Ro4", "86996", "GRP_NETWORK", "Phenocam", 
"US-Ro5", "30134", "GRP_NETWORK", "Ameriflux", 
"US-Ro5", "86997", "GRP_NETWORK", "Phenocam", 
"US-Ro6", "30160", "GRP_NETWORK", "Ameriflux", 
"US-Ro6", "86998", "GRP_NETWORK", "Phenocam", 
"US-Rpf", "85298", "GRP_NETWORK", "AmeriFlux", 
"US-RRC", "79824", "GRP_NETWORK", "AmeriFlux", 
"US-Rwe", "88139", "GRP_NETWORK", "AmeriFlux", 
"US-Rwf", "88121", "GRP_NETWORK", "AmeriFlux", 
"US-Rws", "17073", "GRP_NETWORK", "AmeriFlux", 
"US-Rws", "86999", "GRP_NETWORK", "Phenocam", 
"US-Sag", "84674", "GRP_NETWORK", "AmeriFlux", 
"US-SB1", "13243", "GRP_NETWORK", "AmeriFlux", 
"US-SB1", "87000", "GRP_NETWORK", "Phenocam", 
"US-SB2", "23555", "GRP_NETWORK", "AmeriFlux", 
"US-SB2", "87001", "GRP_NETWORK", "Phenocam", 
"US-SB3", "84640", "GRP_NETWORK", "AmeriFlux", 
"US-SB3", "87002", "GRP_NETWORK", "Phenocam", 
"US-SCc", "3823", "GRP_NETWORK", "AmeriFlux", 
"US-SCd", "4704", "GRP_NETWORK", "AmeriFlux", 
"US-SCf", "5549", "GRP_NETWORK", "AmeriFlux", 
"US-SCg", "1274", "GRP_NETWORK", "AmeriFlux", 
"US-SCs", "451", "GRP_NETWORK", "AmeriFlux", 
"US-SCw", "1275", "GRP_NETWORK", "AmeriFlux", 
"US-SdH", "12277", "GRP_NETWORK", "AmeriFlux", 
"US-SDU", "13152", "GRP_NETWORK", "AmeriFlux", 
"US-Seg", "11621", "GRP_NETWORK", "AmeriFlux", 
"US-Seg", "87003", "GRP_NETWORK", "Phenocam", 
"US-Ses", "11641", "GRP_NETWORK", "AmeriFlux", 
"US-Ses", "87084", "GRP_NETWORK", "Phenocam", 
"US-SFP", "6397", "GRP_NETWORK", "AmeriFlux", 
"US-SHC", "33675", "GRP_NETWORK", "Ameriflux", 
"US-SHC", "87085", "GRP_NETWORK", "Phenocam", 
"US-Shd", "9818", "GRP_NETWORK", "AmeriFlux", 
"US-SHS", "30508", "GRP_NETWORK", "AmeriFlux", 
"US-SJ1", "3824", "GRP_NETWORK", "AmeriFlux", 
"US-SJ2", "1276", "GRP_NETWORK", "AmeriFlux", 
"US-Skr", "11907", "GRP_NETWORK", "AmeriFlux", 
"US-Slt", "13036", "GRP_NETWORK", "AmeriFlux", 
"US-Slt", "87004", "GRP_NETWORK", "Phenocam", 
"US-Snd", "11239", "GRP_NETWORK", "AmeriFlux", 
"US-Snd", "87005", "GRP_NETWORK", "Phenocam", 
"US-Sne", "30008", "GRP_NETWORK", "AmeriFlux", 
"US-Sne", "87006", "GRP_NETWORK", "Phenocam", 
"US-Snf", "84764", "GRP_NETWORK", "Ameriflux", 
"US-Snf", "87007", "GRP_NETWORK", "Phenocam", 
"US-SO2", "15924", "GRP_NETWORK", "AmeriFlux", 
"US-SO3", "15942", "GRP_NETWORK", "AmeriFlux", 
"US-SO4", "15908", "GRP_NETWORK", "AmeriFlux", 
"US-SP1", "5546", "GRP_NETWORK", "AmeriFlux", 
"US-SP1", "87008", "GRP_NETWORK", "Phenocam", 
"US-SP2", "9820", "GRP_NETWORK", "AmeriFlux", 
"US-SP3", "3817", "GRP_NETWORK", "AmeriFlux", 
"US-SP4", "9821", "GRP_NETWORK", "AmeriFlux", 
"US-SRC", "4705", "GRP_NETWORK", "AmeriFlux", 
"US-SRG", "11850", "GRP_NETWORK", "AmeriFlux", 
"US-SRM", "11181", "GRP_NETWORK", "AmeriFlux", 
"US-SRM", "87009", "GRP_NETWORK", "Phenocam", 
"US-Srr", "30956", "GRP_NETWORK", "Ameriflux", 
"US-SSH", "30687", "GRP_NETWORK", "AmeriFlux", 
"US-SSH", "87010", "GRP_NETWORK", "Phenocam", 
"US-Sta", "12497", "GRP_NETWORK", "AmeriFlux", 
"US-StJ", "13291", "GRP_NETWORK", "Ameriflux", 
"US-StJ", "83412", "GRP_NETWORK", "Phenocam", 
"US-StS", "30106", "GRP_NETWORK", "AmeriFlux", 
"US-SuM", "13065", "GRP_NETWORK", "Ameriflux", 
"US-SuS", "13084", "GRP_NETWORK", "Ameriflux", 
"US-SuW", "13105", "GRP_NETWORK", "Ameriflux", 
"US-Syv", "15318", "GRP_NETWORK", "AmeriFlux", 
"US-Syv", "87012", "GRP_NETWORK", "Phenocam", 
"US-SZ1", "85804", "GRP_NETWORK", "AmeriFlux", 
"US-SZ2", "85844", "GRP_NETWORK", "AmeriFlux", 
"US-SZ3", "85871", "GRP_NETWORK", "AmeriFlux", 
"US-Ton", "1660", "GRP_NETWORK", "AmeriFlux", 
"US-Ton", "87013", "GRP_NETWORK", "Phenocam", 
"US-Tur", "85315", "GRP_NETWORK", "AmeriFlux", 
"US-Tw1", "12566", "GRP_NETWORK", "AmeriFlux", 
"US-Tw1", "87014", "GRP_NETWORK", "Phenocam", 
"US-Tw2", "11270", "GRP_NETWORK", "AmeriFlux", 
"US-Tw3", "11289", "GRP_NETWORK", "AmeriFlux", 
"US-Tw3", "87086", "GRP_NETWORK", "Phenocam", 
"US-Tw4", "11309", "GRP_NETWORK", "AmeriFlux", 
"US-Tw4", "87015", "GRP_NETWORK", "Phenocam", 
"US-Tw5", "84609", "GRP_NETWORK", "Ameriflux", 
"US-Tw5", "87016", "GRP_NETWORK", "Phenocam", 
"US-Twt", "11938", "GRP_NETWORK", "AmeriFlux", 
"US-Twt", "87017", "GRP_NETWORK", "Phenocam", 
"US-Tx1", "86557", "GRP_NETWORK", "AmeriFlux", 
"US-Tx1", "87087", "GRP_NETWORK", "Phenocam", 
"US-Tx2", "79569", "GRP_NETWORK", "AmeriFlux", 
"US-Tx2", "86575", "GRP_NETWORK", "Phenocam", 
"US-Tx2", "87111", "GRP_NETWORK", "LTAR", 
"US-Tx3", "79554", "GRP_NETWORK", "AmeriFlux", 
"US-Tx3", "86578", "GRP_NETWORK", "Phenocam", 
"US-Tx3", "87113", "GRP_NETWORK", "LTAR", 
"US-Tx4", "79599", "GRP_NETWORK", "AmeriFlux", 
"US-Tx4", "86587", "GRP_NETWORK", "Phenocam", 
"US-Tx4", "87116", "GRP_NETWORK", "LTAR", 
"US-Tx5", "79627", "GRP_NETWORK", "AmeriFlux", 
"US-Tx5", "86593", "GRP_NETWORK", "Phenocam", 
"US-Tx6", "79644", "GRP_NETWORK", "AmeriFlux", 
"US-Tx7", "79707", "GRP_NETWORK", "AmeriFlux", 
"US-Tx7", "86602", "GRP_NETWORK", "Phenocam", 
"US-Tx8", "86691", "GRP_NETWORK", "AmeriFlux", 
"US-Tx8", "86936", "GRP_NETWORK", "Phenocam", 
"US-Tx9", "79681", "GRP_NETWORK", "AmeriFlux", 
"US-Tx9", "86612", "GRP_NETWORK", "Phenocam", 
"US-Uaf", "81366", "GRP_NETWORK", "AmeriFlux", 
"US-UiA", "87896", "GRP_NETWORK", "AmeriFlux", 
"US-UiB", "87910", "GRP_NETWORK", "AmeriFlux", 
"US-UiC", "87937", "GRP_NETWORK", "AmeriFlux", 
"US-ULM", "7609", "GRP_NETWORK", "AmeriFlux", 
"US-ULM", "87024", "GRP_NETWORK", "Phenocam", 
"US-UM3", "14777", "GRP_NETWORK", "Ameriflux", 
"US-UMB", "12334", "GRP_NETWORK", "AmeriFlux", 
"US-UMB", "87025", "GRP_NETWORK", "Phenocam", 
"US-UMd", "12367", "GRP_NETWORK", "AmeriFlux", 
"US-UMd", "87026", "GRP_NETWORK", "Phenocam", 
"US-Upa", "2973", "GRP_NETWORK", "AmeriFlux", 
"US-Var", "11328", "GRP_NETWORK", "AmeriFlux", 
"US-Var", "87088", "GRP_NETWORK", "Phenocam", 
"US-Vcm", "11682", "GRP_NETWORK", "AmeriFlux", 
"US-Vcp", "12407", "GRP_NETWORK", "AmeriFlux", 
"US-Vcs", "30490", "GRP_NETWORK", "Ameriflux", 
"US-Vcs", "87027", "GRP_NETWORK", "Phenocam", 
"US-VFP", "84975", "GRP_NETWORK", "LTER", 
"US-VFP", "84976", "GRP_NETWORK", "AmeriFlux", 
"US-WBW", "447", "GRP_NETWORK", "AmeriFlux", 
"US-WCr", "14453", "GRP_NETWORK", "AmeriFlux", 
"US-WCr", "87028", "GRP_NETWORK", "Phenocam", 
"US-Wdn", "12515", "GRP_NETWORK", "AmeriFlux", 
"US-Wgr", "16065", "GRP_NETWORK", "AmeriFlux", 
"US-Wgr", "87029", "GRP_NETWORK", "Phenocam", 
"US-Whs", "11864", "GRP_NETWORK", "AmeriFlux", 
"US-Whs", "87030", "GRP_NETWORK", "Phenocam", 
"US-Wi0", "7214", "GRP_NETWORK", "AmeriFlux", 
"US-Wi1", "8942", "GRP_NETWORK", "AmeriFlux", 
"US-Wi2", "3809", "GRP_NETWORK", "AmeriFlux", 
"US-Wi3", "6384", "GRP_NETWORK", "AmeriFlux", 
"US-Wi4", "2964", "GRP_NETWORK", "AmeriFlux", 
"US-Wi5", "8943", "GRP_NETWORK", "AmeriFlux", 
"US-Wi6", "2149", "GRP_NETWORK", "AmeriFlux", 
"US-Wi7", "8102", "GRP_NETWORK", "AmeriFlux", 
"US-Wi8", "1267", "GRP_NETWORK", "AmeriFlux", 
"US-Wi9", "5538", "GRP_NETWORK", "AmeriFlux", 
"US-Wjs", "12427", "GRP_NETWORK", "AmeriFlux", 
"US-Wkg", "11802", "GRP_NETWORK", "AmeriFlux", 
"US-Wkg", "87031", "GRP_NETWORK", "Phenocam", 
"US-Wlr", "12467", "GRP_NETWORK", "AmeriFlux", 
"US-Wpp", "16109", "GRP_NETWORK", "AmeriFlux", 
"US-Wpp", "87032", "GRP_NETWORK", "Phenocam", 
"US-WPT", "12745", "GRP_NETWORK", "Ameriflux", 
"US-Wrc", "12448", "GRP_NETWORK", "AmeriFlux", 
"US-Wrc", "87033", "GRP_NETWORK", "Phenocam", 
"US-Wwt", "16043", "GRP_NETWORK", "AmeriFlux", 
"US-Wwt", "87034", "GRP_NETWORK", "Phenocam", 
"US-xAB", "85350", "GRP_NETWORK", "NEON", 
"US-xAB", "85361", "GRP_NETWORK", "AmeriFlux", 
"US-xAB", "87035", "GRP_NETWORK", "Phenocam", 
"US-xAE", "86231", "GRP_NETWORK", "NEON", 
"US-xAE", "86240", "GRP_NETWORK", "AmeriFlux", 
"US-xAE", "87036", "GRP_NETWORK", "Phenocam", 
"US-xBA", "85240", "GRP_NETWORK", "AmeriFlux", 
"US-xBA", "85245", "GRP_NETWORK", "NEON", 
"US-xBA", "87037", "GRP_NETWORK", "Phenocam", 
"US-xBL", "85330", "GRP_NETWORK", "AmeriFlux", 
"US-xBL", "85340", "GRP_NETWORK", "NEON", 
"US-xBL", "87038", "GRP_NETWORK", "Phenocam", 
"US-xBN", "85533", "GRP_NETWORK", "NEON", 
"US-xBN", "85537", "GRP_NETWORK", "AmeriFlux", 
"US-xBN", "87039", "GRP_NETWORK", "Phenocam", 
"US-xBR", "79820", "GRP_NETWORK", "NEON", 
"US-xBR", "79821", "GRP_NETWORK", "AmeriFlux", 
"US-xBR", "87040", "GRP_NETWORK", "Phenocam", 
"US-xCL", "79486", "GRP_NETWORK", "AmeriFlux", 
"US-xCL", "79506", "GRP_NETWORK", "NEON", 
"US-xCL", "87041", "GRP_NETWORK", "Phenocam", 
"US-xCP", "30466", "GRP_NETWORK", "AmeriFlux", 
"US-xCP", "30467", "GRP_NETWORK", "NEON", 
"US-xCP", "87042", "GRP_NETWORK", "Phenocam", 
"US-xDC", "85576", "GRP_NETWORK", "NEON", 
"US-xDC", "85584", "GRP_NETWORK", "AmeriFlux", 
"US-xDC", "87043", "GRP_NETWORK", "Phenocam", 
"US-xDJ", "85555", "GRP_NETWORK", "AmeriFlux", 
"US-xDJ", "85566", "GRP_NETWORK", "NEON", 
"US-xDJ", "87044", "GRP_NETWORK", "Phenocam", 
"US-xDL", "85525", "GRP_NETWORK", "AmeriFlux", 
"US-xDL", "85531", "GRP_NETWORK", "NEON", 
"US-xDL", "87045", "GRP_NETWORK", "Phenocam", 
"US-xDS", "85495", "GRP_NETWORK", "AmeriFlux", 
"US-xDS", "85503", "GRP_NETWORK", "NEON", 
"US-xDS", "87046", "GRP_NETWORK", "Phenocam", 
"US-xGR", "85477", "GRP_NETWORK", "AmeriFlux", 
"US-xGR", "85480", "GRP_NETWORK", "NEON", 
"US-xGR", "87047", "GRP_NETWORK", "Phenocam", 
"US-xHA", "79783", "GRP_NETWORK", "NEON", 
"US-xHA", "79801", "GRP_NETWORK", "AmeriFlux", 
"US-xHA", "87048", "GRP_NETWORK", "Phenocam", 
"US-xHE", "85450", "GRP_NETWORK", "AmeriFlux", 
"US-xHE", "85462", "GRP_NETWORK", "NEON", 
"US-xHE", "87049", "GRP_NETWORK", "Phenocam", 
"US-xJE", "81952", "GRP_NETWORK", "AmeriFlux", 
"US-xJE", "81953", "GRP_NETWORK", "NEON", 
"US-xJE", "87050", "GRP_NETWORK", "Phenocam", 
"US-xJR", "85431", "GRP_NETWORK", "NEON", 
"US-xJR", "85442", "GRP_NETWORK", "AmeriFlux", 
"US-xJR", "87051", "GRP_NETWORK", "Phenocam", 
"US-xKA", "85413", "GRP_NETWORK", "NEON", 
"US-xKA", "85420", "GRP_NETWORK", "AmeriFlux", 
"US-xKA", "87052", "GRP_NETWORK", "Phenocam", 
"US-xKZ", "79320", "GRP_NETWORK", "AmeriFlux", 
"US-xKZ", "79321", "GRP_NETWORK", "NEON", 
"US-xKZ", "87053", "GRP_NETWORK", "Phenocam", 
"US-xLE", "85390", "GRP_NETWORK", "NEON", 
"US-xLE", "85393", "GRP_NETWORK", "AmeriFlux", 
"US-xLE", "87054", "GRP_NETWORK", "Phenocam", 
"US-xMB", "86052", "GRP_NETWORK", "NEON", 
"US-xMB", "86054", "GRP_NETWORK", "AmeriFlux", 
"US-xMB", "87055", "GRP_NETWORK", "Phenocam", 
"US-xML", "85369", "GRP_NETWORK", "AmeriFlux", 
"US-xML", "85377", "GRP_NETWORK", "NEON", 
"US-xML", "87056", "GRP_NETWORK", "Phenocam", 
"US-xNG", "81927", "GRP_NETWORK", "NEON", 
"US-xNG", "81931", "GRP_NETWORK", "AmeriFlux", 
"US-xNG", "87057", "GRP_NETWORK", "Phenocam", 
"US-xNQ", "81913", "GRP_NETWORK", "AmeriFlux", 
"US-xNQ", "81920", "GRP_NETWORK", "NEON", 
"US-xNQ", "87058", "GRP_NETWORK", "Phenocam", 
"US-xNW", "83360", "GRP_NETWORK", "AmeriFlux", 
"US-xNW", "83372", "GRP_NETWORK", "NEON", 
"US-xNW", "87059", "GRP_NETWORK", "Phenocam", 
"US-xPU", "86064", "GRP_NETWORK", "NEON", 
"US-xPU", "86082", "GRP_NETWORK", "AmeriFlux", 
"US-xRM", "86151", "GRP_NETWORK", "NEON", 
"US-xRM", "86156", "GRP_NETWORK", "AmeriFlux", 
"US-xRM", "87060", "GRP_NETWORK", "Phenocam", 
"US-xRN", "86174", "GRP_NETWORK", "NEON", 
"US-xRN", "86186", "GRP_NETWORK", "AmeriFlux", 
"US-xRN", "87061", "GRP_NETWORK", "Phenocam", 
"US-xSB", "79720", "GRP_NETWORK", "NEON", 
"US-xSB", "79725", "GRP_NETWORK", "AmeriFlux", 
"US-xSB", "87062", "GRP_NETWORK", "Phenocam", 
"US-xSC", "86189", "GRP_NETWORK", "NEON", 
"US-xSC", "86205", "GRP_NETWORK", "AmeriFlux", 
"US-xSC", "87063", "GRP_NETWORK", "Phenocam", 
"US-xSE", "81887", "GRP_NETWORK", "NEON", 
"US-xSE", "81897", "GRP_NETWORK", "AmeriFlux", 
"US-xSE", "87064", "GRP_NETWORK", "Phenocam", 
"US-xSJ", "86321", "GRP_NETWORK", "NEON", 
"US-xSJ", "86325", "GRP_NETWORK", "AmeriFlux", 
"US-xSL", "87092", "GRP_NETWORK", "NEON", 
"US-xSL", "87093", "GRP_NETWORK", "AmeriFlux", 
"US-xSP", "86394", "GRP_NETWORK", "AmeriFlux", 
"US-xSP", "86397", "GRP_NETWORK", "NEON", 
"US-xSP", "87065", "GRP_NETWORK", "Phenocam", 
"US-xSR", "79766", "GRP_NETWORK", "NEON", 
"US-xSR", "79778", "GRP_NETWORK", "AmeriFlux", 
"US-xSR", "87066", "GRP_NETWORK", "Phenocam", 
"US-xST", "86348", "GRP_NETWORK", "NEON", 
"US-xST", "86352", "GRP_NETWORK", "AmeriFlux", 
"US-xST", "87067", "GRP_NETWORK", "Phenocam", 
"US-xTA", "86355", "GRP_NETWORK", "NEON", 
"US-xTA", "86367", "GRP_NETWORK", "AmeriFlux", 
"US-xTA", "87068", "GRP_NETWORK", "Phenocam", 
"US-xTE", "86296", "GRP_NETWORK", "NEON", 
"US-xTE", "86308", "GRP_NETWORK", "AmeriFlux", 
"US-xTL", "86209", "GRP_NETWORK", "NEON", 
"US-xTL", "86219", "GRP_NETWORK", "AmeriFlux", 
"US-xTL", "87069", "GRP_NETWORK", "Phenocam", 
"US-xTR", "86445", "GRP_NETWORK", "AmeriFlux", 
"US-xTR", "86448", "GRP_NETWORK", "NEON", 
"US-xTR", "87070", "GRP_NETWORK", "Phenocam", 
"US-xUK", "86126", "GRP_NETWORK", "AmeriFlux", 
"US-xUK", "86135", "GRP_NETWORK", "NEON", 
"US-xUK", "87071", "GRP_NETWORK", "Phenocam", 
"US-xUN", "79743", "GRP_NETWORK", "NEON", 
"US-xUN", "79750", "GRP_NETWORK", "AmeriFlux", 
"US-xUN", "87072", "GRP_NETWORK", "Phenocam", 
"US-xWD", "79297", "GRP_NETWORK", "NEON", 
"US-xWD", "79298", "GRP_NETWORK", "AmeriFlux", 
"US-xWD", "87073", "GRP_NETWORK", "Phenocam", 
"US-xWR", "86088", "GRP_NETWORK", "AmeriFlux", 
"US-xWR", "86090", "GRP_NETWORK", "NEON", 
"US-xWR", "87074", "GRP_NETWORK", "Phenocam", 
"US-xYE", "86116", "GRP_NETWORK", "NEON", 
"US-xYE", "86121", "GRP_NETWORK", "AmeriFlux", 
"US-Ylw", "9324", "GRP_NETWORK", "AmeriFlux", 
"US-Ylw", "10167", "GRP_NETWORK", "Urban Flux Network", 
