"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "IGBP", "IGBP_COMMENT", "IGBP_DATE_START", 
"US-OWC", "14790", "GRP_IGBP", "WET", "Typha spp., Nelumbo spp., and Phragmites Australis are dominant plant types", , 
"US-PFa", "15235", "GRP_IGBP", "MF", "70% deciduous (aspen, birch, maple, basswood, alder) and 30% conifer (balsam fir, jack pine, black spruce, white cedar)", , 
"US-PFb", "87416", "GRP_IGBP", "ENF", , , 
"US-PFc", "87439", "GRP_IGBP", "DBF", , , 
"US-PFd", "87462", "GRP_IGBP", "WET", , , 
"US-PFe", "87485", "GRP_IGBP", "WAT", , , 
"US-PFf", "87508", "GRP_IGBP", "GRA", , , 
"US-PFg", "87518", "GRP_IGBP", "ENF", , , 
"US-PFh", "87558", "GRP_IGBP", "ENF", , , 
"US-PFi", "87581", "GRP_IGBP", "DBF", , , 
"US-PFj", "87604", "GRP_IGBP", "DBF", , , 
"US-PFk", "87623", "GRP_IGBP", "DBF", , , 
"US-PFL", "87650", "GRP_IGBP", "DBF", , , 
"US-PFm", "87669", "GRP_IGBP", "DBF", , , 
"US-PFn", "87692", "GRP_IGBP", "DBF", , , 
"US-PFo", "87715", "GRP_IGBP", "WAT", , , 
"US-PFp", "87738", "GRP_IGBP", "DBF", , , 
"US-PFq", "87789", "GRP_IGBP", "DBF", , , 
"US-PFr", "87766", "GRP_IGBP", "WET", , , 
"US-PFs", "87807", "GRP_IGBP", "DBF", , , 
"US-PFt", "87830", "GRP_IGBP", "ENF", , , 
"US-PHM", "30029", "GRP_IGBP", "WET", "Spartina", , 
"US-PLM", "79851", "GRP_IGBP", "WET", "Spartina", , 
"US-Pnp", "79414", "GRP_IGBP", "WAT", , "201607010000", 
"US-Pon", "4249", "GRP_IGBP", "CRO", , , 
"US-Prr", "11884", "GRP_IGBP", "ENF", "Open black spruce forest (1.A.2.f) (Viereck et al. 1992)", , 
"US-PSH", "86800", "GRP_IGBP", "DBF", "almond orchard", "200802010000", 
"US-PSL", "86787", "GRP_IGBP", "DBF", "pistachio orchard", "200602010000", 
"US-RC1", "84885", "GRP_IGBP", "CRO", "Dryland cropping system", "201108200000", 
"US-RC2", "84921", "GRP_IGBP", "CRO", "Dryland cropping system", "201206280000", 
"US-RC3", "84902", "GRP_IGBP", "CRO", "Dryland cropping system", "201206280000", 
"US-RC4", "84938", "GRP_IGBP", "CRO", "Dryland cropping system", "201207110000", 
"US-RC5", "84955", "GRP_IGBP", "CRO", "Dryland cropping system", "201306130000", 
"US-RFE", "29949", "GRP_IGBP", "GRA", "Top 10-15cm of original soil removed or desturbed. Native grasses replaced with smooth brome dominated grasses.", "1995", 
"US-RFW", "29966", "GRP_IGBP", "GRA", , , 
"US-Rls", "30704", "GRP_IGBP", "CSH", "The site is a grazing alotment with light cattle grazing in spring.", , 
"US-Rms", "30611", "GRP_IGBP", "CSH", "The site is a grazing alotment with light cattle grazing in summer.", , 
"US-Ro1", "12290", "GRP_IGBP", "CRO", "Agricultural, corn and soybean rotation", , 
"US-Ro1", "14512", "GRP_IGBP", "CRO", "Corn-Soybean annual rotation (corn: 2003, 2005, 2007, 2009, 2011, 2013; soybean: 2004, 2006, 2008, 2010, 2012, 2014)", "200305210000", 
"US-Ro2", "14538", "GRP_IGBP", "CRO", "Corn-Soybean-Kura Clover annual rotation", "200305210000", 
"US-Ro3", "14564", "GRP_IGBP", "CRO", "Corn-Soybean annual rotation (corn: 2003, 2005, 2007, 2009, 2011, 2013; soybean: 2004, 2006, 2008, 2010, 2012, 2014)", "200305210000", 
"US-Ro4", "14486", "GRP_IGBP", "GRA", "Restored tallgrass prairie", "201401100000", 
"US-Ro5", "30131", "GRP_IGBP", "CRO", , "200305210000", 
"US-Ro6", "30157", "GRP_IGBP", "CRO", , "200305210000", 
"US-Rpf", "85296", "GRP_IGBP", "DBF", "Birch and aspen forest with low shrubs.", , 
"US-RRC", "79832", "GRP_IGBP", "WET", "Restored back to wetland following 90 years of innundation", "201001010101", 
"US-Rwe", "88142", "GRP_IGBP", "CSH", "The site is a grazing alotment with light cattle grazing in summer.", , 
"US-Rwf", "88118", "GRP_IGBP", "CSH", "The site is within an exclosure excluded from since 1984; a presribed fire was conducted in September 2007", , 
"US-Rws", "17070", "GRP_IGBP", "OSH", "The site is a grazing alotment with light cattle grazing in spring.", , 
"US-Sag", "84670", "GRP_IGBP", "WET", "Mesic tundra consist of vascular plant, moss and a few short shrubs.", , 
"US-SB1", "31002", "GRP_IGBP", "ENF", "Loblolly pine", , 
"US-SB2", "23551", "GRP_IGBP", "CRO", "Switchgrass plantation", "201404010000", 
"US-SB3", "84633", "GRP_IGBP", "BSV", "Bare ground with slash after clearcut of loblolly pine", "201801050000", 
"US-SCc", "1582", "GRP_IGBP", "OSH", , , 
"US-SCd", "7582", "GRP_IGBP", "BSV", , , 
"US-SCf", "2432", "GRP_IGBP", "MF", , , 
"US-SCg", "7529", "GRP_IGBP", "GRA", , , 
"US-SCs", "4089", "GRP_IGBP", "OSH", , , 
"US-SCw", "1583", "GRP_IGBP", "OSH", , , 
"US-SdH", "12274", "GRP_IGBP", "GRA", , , 
"US-SDU", "13149", "GRP_IGBP", "URB", , , 
"US-Seg", "11618", "GRP_IGBP", "GRA", , , 
"US-Seg", "15453", "GRP_IGBP", "GRA", "Chihuahuan Desert grassland", "200701010000", 
"US-Ses", "11638", "GRP_IGBP", "OSH", , , 
"US-Ses", "15471", "GRP_IGBP", "OSH", "Chihuahuan Desert creosote shrubland", "200701010000", 
"US-SFP", "4090", "GRP_IGBP", "CRO", , , 
"US-SHC", "33673", "GRP_IGBP", "ENF", "with patches of GRA", "20170620", 
"US-Shd", "1120", "GRP_IGBP", "GRA", "tall grass prairie, predominant warm season C4 species", , 
"US-SHS", "30505", "GRP_IGBP", "WET", "mitigated in 2007", "20070101", 
"US-SJ1", "4519", "GRP_IGBP", "WET", "Freshwater marsh", , 
"US-SJ2", "5385", "GRP_IGBP", "WET", "Smaller remnant of freshwater marsh", , 
"US-Skr", "11904", "GRP_IGBP", "EBF", "This is a tall (up to 20 m) mangrove forest.", , 
"US-Slt", "13033", "GRP_IGBP", "DBF", "The oak-dominated stand at Silas Little consists of chestnut oak (Quercus prinus L.), black oak (Q. velutina Lam.), white oak (Q. alba L.), scarlet oak (Q. coccinea Münchh.), and scattered
pitch pine (Pinus rigida Mill.) and shortleaf pine (P. echinata Mill.).  Ericaceous shrubs occur in the
understory in all stands, primarily huckleberry (Gaylussacia baccata (Wangenh.) K. Koch) and blueberry (Vaccinium spp.). Sedges, mosses and lichens also occur in the understory.", "20031001", 
"US-Snd", "11236", "GRP_IGBP", "GRA", , , 
"US-Sne", "30005", "GRP_IGBP", "GRA", "restored wetland with tules and cattails after flooding; pepperweed before flooding", , 
"US-Snf", "84779", "GRP_IGBP", "GRA", , , 
"US-SO2", "15921", "GRP_IGBP", "CSH", , , 
"US-SO3", "15939", "GRP_IGBP", "CSH", , , 
"US-SO4", "15905", "GRP_IGBP", "CSH", , , 
"US-SP1", "6238", "GRP_IGBP", "ENF", , , 
"US-SP2", "9650", "GRP_IGBP", "ENF", , , 
"US-SP3", "2828", "GRP_IGBP", "ENF", "Even aged high density slash pine (Pinus elliottii) plantation.", , 
"US-SP4", "8572", "GRP_IGBP", "ENF", , , 
"US-SRC", "86653", "GRP_IGBP", "MF", , , 
"US-SRG", "11847", "GRP_IGBP", "GRA", , , 
"US-SRM", "11178", "GRP_IGBP", "WSA", "MODIS website lists this as Open Shrublands (OSO), but site is a Desert Grassland that has been fully encroached by Mesquite (now about 35% canopy cover, mean canopy height > 2 m)", , 
"US-Srr", "30953", "GRP_IGBP", "WET", "Schoenoplectus and Typha species, Juncus balticus, Distichlis spicata, and Sarcocornia pacifica, although it is increasingly influenced by an invasive perennial forb (Lepidium latifolium L.)", , 
"US-SSH", "30684", "GRP_IGBP", "DBF", , , 
"US-Sta", "12494", "GRP_IGBP", "OSH", , "20060101", 
"US-StJ", "13288", "GRP_IGBP", "WET", "Site is dominated by saltmarsh cordgrass (Spartina alternaflora), big cordgrass (S. cynosuroides) and saltmarsh hay (S. patens)", "19000101", 
"US-StS", "30103", "GRP_IGBP", "WET", "Continuously flooded deciduous forest transitioning to flooded shrubland", "201505211930", 
"US-SuM", "13062", "GRP_IGBP", "CRO", "This field has been in sugarcane cultivation for >100 years.  Exact date of initial conversion is unknown.", "19000101", 
"US-SuS", "13081", "GRP_IGBP", "CRO", "This field has been in sugarcane cultivation for >80 years.  Exact date of initial conversion is unknown.", "19200101", 
"US-SuW", "13102", "GRP_IGBP", "CRO", "This field has been in sugarcane cultivation for >100 years.  Exact date of initial conversion is unknown.", "19000101", 
"US-Syv", "15315", "GRP_IGBP", "MF", "sugar maple (Acer saccharum), eastern hemlock (Tsuga canadensis), , and yellow birch (Betula alleghaniensis).", , 
"US-SZ1", "85796", "GRP_IGBP", "CRO", "Dryland cropping system, predominantly winter wheat, spring cereals (barley and wheat), and pulse crops (dry pea, lentil and chickpea)", , 
"US-SZ2", "85835", "GRP_IGBP", "CRO", "Dryland cropping system, predominantly winter wheat, spring cereals (barley and wheat), and pulse crops (dry pea, lentil and chickpea)", , 
"US-SZ3", "85867", "GRP_IGBP", "CRO", "Dryland cropping system, predominantly winter wheat, spring cereals (barley and wheat), and pulse crops (dry pea, lentil and chickpea)", , 
"US-Ton", "8615", "GRP_IGBP", "WSA", , , 
"US-Tur", "85306", "GRP_IGBP", "GRA", "Snow cover was present throughout the measurement period. Climate is for nearby Bozeman, MT because the GHCN website is down for the government shutdown.", , 
"US-Tw1", "12563", "GRP_IGBP", "WET", "Schoenoplectus acutus and Typha spp. dominate the site", , 
"US-Tw2", "11267", "GRP_IGBP", "CRO", , , 
"US-Tw3", "11286", "GRP_IGBP", "CRO", "alfalfa is a fast growing leguminous crop raised for animal feed of low stature.  It is planted in rows and typically reaches 60-70 cm in height prior to harvest.", , 
"US-Tw4", "11306", "GRP_IGBP", "Wet", "cattail and tule vegetation", "201401", 
"US-Tw5", "84611", "GRP_IGBP", "WET", "Schoenoplectus acutus and Typha spp. dominate the site with Azolla covering much of the water surface", "201809040000", 
"US-Twt", "11935", "GRP_IGBP", "CRO", "rice", , 
"US-Tx1", "86550", "GRP_IGBP", "GRA", "Grass and forb mix with some non-native species", , 
"US-Tx2", "86573", "GRP_IGBP", "GRA", "Remnant native prairie in otherwise agriculturally intensive area", , 
"US-Tx3", "86582", "GRP_IGBP", "CRO", "Crops grown under best management practices", , 
"US-Tx4", "86583", "GRP_IGBP", "CRO", "Crops grown under traditional agricultural practices", , 
"US-Tx5", "86590", "GRP_IGBP", "CVM", "Mixed Grasses", , 
"US-Tx6", "86599", "GRP_IGBP", "GRA", "Mixed Grasses", , 
"US-Tx7", "79703", "GRP_IGBP", "CSH", "Mixed Shrub", , 
"US-Tx8", "86682", "GRP_IGBP", "DBF", "Primarily water oak", , 
"US-Tx9", "79683", "GRP_IGBP", "WET", "Tidally influenced salt marsh", , 
"US-Uaf", "81364", "GRP_IGBP", "ENF", "Open black spruce forest on dense understory, such as shrub, sedge, moss, and lichen.", , 
"US-UiA", "87900", "GRP_IGBP", "CRO", "Panicum virgatum perennial crop", "200806131630", 
"US-UiB", "87916", "GRP_IGBP", "CRO", "Miscanthus x giganteus perennial C4 crop", "200807090930", 
"US-UiC", "87950", "GRP_IGBP", "GRA", "Native Prairie Species: Andropogon gerardii (Big bluestem), Coreopsis tripteris (Tall tickseed), Elymus canadensis (Canada wild rye), Helianthus grosseserratus (Sawtooth sunflower), Heliopsis helianthoides (Early sunflower), Ratibida pinnata (Yellow coneflower), Rudbeckia subtomentosa (Sweet blackeyed Susan), Schizachyrium scoparium (Little bluestem), Solidago rigida (Stiff goldenrod)", "200807231030", 
"US-ULM", "5068", "GRP_IGBP", "DBF", "Primarily composed of bottomland hardwood deciduous broadleaf treess. These forests stay flooded anywhere from 3-5 monts a year.
percent cover", , 
"US-UM3", "14774", "GRP_IGBP", "WAT", , , 
"US-UMB", "12331", "GRP_IGBP", "DBF", , , 
"US-UMd", "12364", "GRP_IGBP", "DBF", , , 
"US-Upa", "5", "GRP_IGBP", "WET", , , 
"US-Var", "11325", "GRP_IGBP", "GRA", "annual grasses and forbs", , 
"US-Vcm", "11680", "GRP_IGBP", "ENF", , , 
"US-Vcm", "15488", "GRP_IGBP", "ENF", "Spruce, fir, pine", "200701010000", 
"US-Vcp", "12404", "GRP_IGBP", "ENF", , , 
"US-Vcp", "15507", "GRP_IGBP", "ENF", "Ponderosa pine", "200701010000", 
"US-Vcs", "30487", "GRP_IGBP", "ENF", "Spruce, fir, pine, aspen", "201601010000", 
"US-VFP", "84972", "GRP_IGBP", "WET", "Site is dominated by slatmarsh cordrgrass (Spartina Alterniflora)", "19000101", 
"US-WBW", "896", "GRP_IGBP", "DBF", "Vegetation type: Mixed-species, broad-leaved forest, deciduous forest, oak/hickory", , 
"US-WCr", "14450", "GRP_IGBP", "DBF", "sugar maple (Acer saccharum), basswood (Tilia americana), and yellow birch (Betula alleghaniensis).", , 
"US-Wdn", "12512", "GRP_IGBP", "OSH", , "20060101", 
"US-Wgr", "16062", "GRP_IGBP", "CRO", , , 
"US-Whs", "11861", "GRP_IGBP", "OSH", , , 
"US-Wi0", "68", "GRP_IGBP", "ENF", , , 
"US-Wi1", "892", "GRP_IGBP", "DBF", , , 
"US-Wi2", "1752", "GRP_IGBP", "ENF", , , 
"US-Wi3", "2614", "GRP_IGBP", "DBF", , , 
"US-Wi4", "9432", "GRP_IGBP", "ENF", , , 
"US-Wi5", "3453", "GRP_IGBP", "ENF", , , 
"US-Wi6", "6836", "GRP_IGBP", "OSH", , , 
"US-Wi7", "4259", "GRP_IGBP", "OSH", , , 
"US-Wi8", "7701", "GRP_IGBP", "DBF", , , 
"US-Wi9", "69", "GRP_IGBP", "ENF", , , 
"US-Wjs", "15525", "GRP_IGBP", "SAV", "Juniper savannah (~26% Juniper cover)", "200705041330", 
"US-Wkg", "11800", "GRP_IGBP", "GRA", , , 
"US-Wlr", "12465", "GRP_IGBP", "GRA", , , 
"US-Wpp", "16106", "GRP_IGBP", "DBF", , , 
"US-WPT", "12742", "GRP_IGBP", "WET", , , 
"US-Wrc", "12446", "GRP_IGBP", "ENF", , , 
"US-Wwt", "16040", "GRP_IGBP", "CRO", , , 
"US-xAB", "85352", "GRP_IGBP", "ENF", , , 
"US-xAE", "86233", "GRP_IGBP", "GRA", , , 
"US-xBA", "85241", "GRP_IGBP", "WET", , , 
"US-xBL", "85328", "GRP_IGBP", "DBF", , , 
"US-xBN", "85550", "GRP_IGBP", "ENF", , , 
"US-xBR", "79808", "GRP_IGBP", "DBF", , , 
"US-xCL", "79491", "GRP_IGBP", "GRA", , , 
"US-xCP", "30463", "GRP_IGBP", "GRA", , , 
"US-xDC", "85588", "GRP_IGBP", "GRA", , , 
"US-xDJ", "85558", "GRP_IGBP", "ENF", , , 
"US-xDL", "85513", "GRP_IGBP", "MF", , , 
"US-xDS", "85489", "GRP_IGBP", "CVM", , , 
"US-xGR", "85474", "GRP_IGBP", "DBF", , , 
"US-xHA", "79781", "GRP_IGBP", "DBF", , , 
"US-xHE", "85447", "GRP_IGBP", "OSH", , , 
"US-xJE", "81962", "GRP_IGBP", "ENF", , , 
"US-xJR", "85441", "GRP_IGBP", "OSH", , , 
"US-xKA", "85412", "GRP_IGBP", "GRA", , , 
"US-xKZ", "79317", "GRP_IGBP", "GRA", , , 
"US-xLE", "85384", "GRP_IGBP", "DBF", , , 
"US-xMB", "86042", "GRP_IGBP", "OSH", , , 
"US-xML", "85381", "GRP_IGBP", "DBF", , , 
"US-xNG", "81925", "GRP_IGBP", "GRA", , , 
"US-xNQ", "81919", "GRP_IGBP", "OSH", , , 
"US-xNW", "83361", "GRP_IGBP", "ENF", , , 
"US-xPU", "86081", "GRP_IGBP", "EBF", , , 
"US-xRM", "86149", "GRP_IGBP", "ENF", , , 
"US-xRN", "86187", "GRP_IGBP", "DBF", , , 
"US-xSB", "79717", "GRP_IGBP", "ENF", , , 
"US-xSC", "86195", "GRP_IGBP", "DBF", , , 
"US-xSE", "81888", "GRP_IGBP", "DBF", , , 
"US-xSJ", "86322", "GRP_IGBP", "SAV", , , 
"US-xSL", "87101", "GRP_IGBP", "CRO", , , 
"US-xSP", "86389", "GRP_IGBP", "ENF", , , 
"US-xSR", "86472", "GRP_IGBP", "OSH", , , 
"US-xST", "86338", "GRP_IGBP", "DBF", , , 
"US-xTA", "86369", "GRP_IGBP", "ENF", , , 
"US-xTE", "86304", "GRP_IGBP", "ENF", , , 
"US-xTL", "86222", "GRP_IGBP", "WET", , , 
"US-xTR", "86434", "GRP_IGBP", "DBF", , , 
"US-xUK", "86133", "GRP_IGBP", "DBF", , , 
"US-xUN", "79753", "GRP_IGBP", "MF", , , 
"US-xWD", "79294", "GRP_IGBP", "GRA", , , 
"US-xWR", "86096", "GRP_IGBP", "ENF", , , 
"US-xYE", "86123", "GRP_IGBP", "ENF", , , 
"US-Ylw", "9323", "GRP_IGBP", "URB", "mix of urban tree species, see reference", , 
