"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "FLUX_MEASUREMENTS_METHOD", "FLUX_MEASUREMENTS_VARIABLE", "FLUX_MEASUREMENTS_DATE_START", "FLUX_MEASUREMENTS_DATE_END", "FLUX_MEASUREMENTS_OPERATIONS", "FLUX_MEASUREMENTS_COMMENT", 
"PR-xLA", "85599", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20180530", , "Continuous operation", , 
"PR-xLA", "85604", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20180530", , "Continuous operation", , 
"US-A03", "85014", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20140716", , "Continuous operation", , 
"US-A03", "85015", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20140716", , "Continuous operation", , 
"US-A03", "85020", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20140716", , "Continuous operation", , 
"US-A03", "85031", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20140716", , "Continuous operation", , 
"US-A10", "85079", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20120328", , "Continuous operation", , 
"US-A10", "85081", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20120328", , "Continuous operation", , 
"US-A10", "85092", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20120328", , "Continuous operation", , 
"US-A10", "85096", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20120328", , "Continuous operation", , 
"US-A32", "30052", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20150617", , "Continuous operation", , 
"US-A32", "30058", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20150617", , "Continuous operation", , 
"US-A32", "30061", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20150617", , "Continuous operation", , 
"US-A39", "85061", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20151006", , "Continuous operation", , 
"US-A39", "85065", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20151006", , "Continuous operation", , 
"US-A39", "85069", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20151006", , "Continuous operation", , 
"US-A74", "30070", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20160128", , "Continuous operation", , 
"US-A74", "30088", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20160128", , "Continuous operation", , 
"US-A74", "30091", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20160128", , "Continuous operation", , 
"US-Act", "81631", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201701251730", , "Continuous operation", , 
"US-Act", "81632", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201701131600", , "Continuous operation", , 
"US-Act", "81646", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201701131600", , "Continuous operation", , 
"US-Act", "81648", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201701131600", , "Continuous operation", , 
"US-ADR", "15375", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201105191730", , "Continuous operation", , 
"US-ADR", "15390", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201105191730", , "Continuous operation", , 
"US-ADR", "15392", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201105191730", , "Continuous operation", , 
"US-Akn", "22256", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20110215", "20140422", "Continuous operation", , 
"US-ALQ", "83463", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "Other", "20150411", "20170424", "Continuous operation", , 
"US-ALQ", "83471", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20150411", "20170424", "Continuous operation", , 
"US-ALQ", "83474", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20150411", "20170424", "Continuous operation", , 
"US-An1", "4978", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2008", , "Continuous operation", , 
"US-An2", "8355", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2008", , "Continuous operation", , 
"US-An3", "9245", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2008", , "Continuous operation", , 
"US-AR1", "89270", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20090430", "2011", "Continuous operation", "Flux measurements were interrupted by a tornado in fall 2011.", 
"US-AR1", "89284", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20090430", "2011", "Continuous operation", , 
"US-AR1", "89285", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20090430", "2011", "Continuous operation", , 
"US-AR2", "15977", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20090430", "20120802", "Continuous operation", , 
"US-AR2", "15990", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20090430", "20120802", "Continuous operation", , 
"US-AR2", "15992", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20090430", "20120802", "Continuous operation", , 
"US-ARb", "6349", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2005", "2006", "Continuous operation", , 
"US-ARc", "4660", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2005", "2006", "Continuous operation", , 
"US-ARM", "11129", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20021218", , "Continuous operation", , 
"US-ARM", "22345", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20021218", , "Continuous operation", , 
"US-ASH", "86819", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201610121730", , "Continuous operation", "Will be operational through end of 2019 growing season", 
"US-ASH", "86825", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201610121730", , "Continuous operation", "Will be operational through end of 2019 growing season", 
"US-ASH", "86829", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201610121730", , "Continuous operation", "Will be operational through end of 2019 growing season", 
"US-ASL", "86755", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201610041230", , "Continuous operation", "Will be operational through end of 2019 growing season", 
"US-ASL", "86764", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201610041230", , "Continuous operation", "Will be operational through end of 2019 growing season", 
"US-ASL", "86772", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201610041230", , "Continuous operation", "Will be operational through end of 2019 growing season", 
"US-ASM", "86739", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201609271730", , "Continuous operation", "Will be operational through end of 2019 growing season", 
"US-ASM", "86740", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201609271730", , "Continuous operation", "Will be operational through end of 2019 growing season", 
"US-ASM", "86746", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201609271730", , "Continuous operation", "Will be operational through end of 2019 growing season", 
"US-Atq", "14881", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1999", , "Continuous operation", , 
"US-Atq", "14897", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "1999", , "Continuous operation", , 
"US-Atq", "14900", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "2013", , "Continuous operation", , 
"US-Aud", "4661", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2002", , "Continuous operation", , 
"US-Bar", "6350", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", , "Continuous operation", , 
"US-BCM", "87292", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20091211", "20141114", "Continuous operation", , 
"US-BCM", "87295", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20091211", "20141114", "Continuous operation", , 
"US-BCM", "87296", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20091211", "20141114", "Continuous operation", , 
"US-BCM", "87308", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20110406", "20141114", "Continuous operation", , 
"US-BdA", "13310", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", , , "Planned", "Intermittent only for brief farm operations (e.g., burning, planting)", 
"US-BdA", "13324", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", , , "Planned", "Intermittent only for brief farm operations (e.g., burning, planting)", 
"US-BdA", "13326", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", , , "Planned", "Intermittent only for brief farm operations (e.g., burning, planting)", 
"US-BdC", "13328", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", , , "Planned", "Intermittent only for brief farm operations (e.g., burning, planting)", 
"US-BdC", "13342", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", , , "Planned", "Intermittent only for brief farm operations (e.g., burning, planting)", 
"US-BdC", "13344", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", , , "Planned", "Intermittent only for brief farm operations (e.g., burning, planting)", 
"US-Beo", "81611", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2000", , "Continuous operation", "Lack and/or reduce support during 2008-2012 decreased data coverage for the tower", 
"US-Beo", "81616", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "2000", , "Continuous operation", "Lack and/or reduce support during 2008-2012 decreased data coverage for the tower", 
"US-Beo", "81621", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "2013", , "Continuous operation", "Lack and/or reduce support during 2008-2012 decreased data coverage for the tower", 
"US-Beo", "81622", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "2000", , "Continuous operation", "Lack and/or reduce support during 2008-2012 decreased data coverage for the tower", 
"US-Bes", "11823", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20070615", , "Continuous operation", "for details refer to published papers: Zona et al., Global Biogeochemical Cycles 2009; 2012; Zona et al., Ecology, 2011", 
"US-Bes", "11837", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20050615", , "Continuous operation", , 
"US-Bes", "11840", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20050615", , "Continuous operation", , 
"US-Bes", "11842", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20050615", , "Continuous operation", , 
"US-Bi1", "30366", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201608111600", , "Continuous operation", , 
"US-Bi1", "30367", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201608111600", , "Continuous operation", , 
"US-Bi1", "30370", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201608111600", , "Continuous operation", , 
"US-Bi2", "31257", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201704261500", , "Continuous operation", , 
"US-Bi2", "31258", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201704261500", , "Continuous operation", , 
"US-Bi2", "31261", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201704261500", , "Continuous operation", "co2, H2O, sensible heat, momentum", 
"US-Bkg", "6351", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", , "Continuous operation", , 
"US-Blk", "2114", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2003", "2008", "Continuous operation", , 
"US-Blo", "14392", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1997", "2006", "Continuous operation", , 
"US-Bn1", "4131", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2003", "2004", "Continuous operation", , 
"US-Bn2", "8431", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2003", , "Continuous operation", , 
"US-Bn3", "2481", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2003", , "Continuous operation", , 
"US-Bo1", "3782", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1996", , "Continuous operation", , 
"US-Bo2", "3328", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", "2008", "Continuous operation", , 
"US-Br1", "404", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", , "Continuous operation", , 
"US-Br2", "2928", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2005", , "Continuous operation", , 
"US-Br3", "8911", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", , "Continuous operation", , 
"US-BRG", "30562", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201608050930", , "Continuous Operation", , 
"US-BRG", "30563", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201608050930", , "Continuous Operation", , 
"US-Brw", "14922", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1998", , "Continuous operation", , 
"US-Brw", "14938", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "1998", , "Continuous operation", , 
"US-Brw", "14941", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "2013", , "Continuous operation", , 
"US-Bsg", "16083", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20121018", , "Continuous operation", , 
"US-Bsg", "16097", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20121018", , "Continuous operation", , 
"US-Bsg", "16099", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20121018", , "Continuous operation", , 
"US-BSM", "31110", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20170412", , "Periodic operation", , 
"US-BSM", "31111", "GRP_FLUX_MEASUREMENTS", "Chambers", "CH4", "20170412", , "Periodic operation", , 
"US-BSM", "31112", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170412", , "Continuous operation", , 
"US-BSM", "31113", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170412", , "Continuous operation", , 
"US-BSM", "31114", "GRP_FLUX_MEASUREMENTS", "Other", "Other", "20170412", , "Continuous operation", "Solar Induced Fluorescence measuring GPP. This is exploratory", 
"US-BZB", "87190", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20110101", , "Continuous operation", , 
"US-BZB", "87194", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20130420", , "Growing season operation only", , 
"US-BZB", "87198", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20110101", , "Continuous operation", , 
"US-BZF", "87214", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20110512", , "Continuous operation", , 
"US-BZF", "87219", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20140416", , "Growing season operation only", , 
"US-BZF", "87222", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20110512", , "Continuous operation", , 
"US-BZL", "87234", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20171118", , "Continuous operation", , 
"US-BZL", "87244", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20171118", , "Continuous operation", , 
"US-BZL", "87245", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20171118", , "Continuous operation", , 
"US-BZo", "87272", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20180506", , "Continuous operation", , 
"US-BZo", "87273", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20180506", , "Continuous operation", , 
"US-BZo", "87274", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20180506", , "Growing season operation only", , 
"US-BZS", "87173", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20100615", , "Continuous operation", , 
"US-BZS", "87174", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20100615", , "Continuous operation", , 
"US-BZS", "87175", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20150407", "20171103", "Growing season operation only", "CH4 sensor moved to another site in 2018", 
"US-CaV", "6352", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", , "Continuous operation", , 
"US-CdM", "86831", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H", "201906120000", , "Continuous operation", , 
"US-CdM", "86835", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "201906120000", , "Continuous operation", , 
"US-CdM", "86848", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "201906120000", , "Continuous operation", , 
"US-Ced", "12659", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20050701", , "Continuous operation", "Closed path system using a LI-7000 with a short inlet tube, resulting in a lag time of approx. 2.5 seconds.", 
"US-Ced", "12675", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20050701", , "Continuous operation", , 
"US-Ced", "12677", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20050701", , "Continuous operation", , 
"US-CF1", "84803", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170511", , "Continuous operation", , 
"US-CF1", "84804", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170511", , "Continuous operation", , 
"US-CF2", "84823", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170512", , "Continuous operation", , 
"US-CF2", "84824", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170512", , "Continuous operation", , 
"US-CF3", "84843", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170602", , "Continuous operation", , 
"US-CF3", "84844", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170602", , "Continuous operation", , 
"US-CF4", "84863", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170602", , "Continuous operation", , 
"US-CF4", "84864", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170602", , "Continuous operation", , 
"US-ChR", "6353", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2005", , "Continuous operation", , 
"US-Cms", "84690", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "199906010000", "200508240830", "Continuous operation", , 
"US-Cms", "84699", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "199906010000", "200508240830", "Continuous operation", , 
"US-Cms", "84702", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "199906010000", "200508240830", "Continuous operation", , 
"US-Cms", "84704", "GRP_FLUX_MEASUREMENTS", "Other", "CH4", "199906010000", "200508240830", "Continuous operation", "Modified Gradient method", 
"US-Cop", "2399", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", "2007", "Continuous operation", , 
"US-CPk", "10212", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2009", , "Continuous operation", , 
"US-CPk", "10225", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "2009", , "Continuous operation", , 
"US-CRT", "12767", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20110101", "20131231", "Continuous operation", , 
"US-CRT", "12782", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20110101", "20131231", "Continuous operation", , 
"US-CRT", "12786", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20110101", "20131231", "Continuous operation", , 
"US-CRT", "12787", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20110511", "20120520", "Continuous operation", , 
"US-CS1", "83381", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20180629", , "Continuous operation", , 
"US-CS1", "83387", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20180629", , "Continuous operation", , 
"US-CS1", "83395", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20180629", , "Continuous operation", , 
"US-CS2", "87353", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20181013", , "Continuous operation", , 
"US-CS2", "87356", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20181013", , "Continuous operation", , 
"US-CS2", "87363", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20181013", , "Continuous operation", , 
"US-CS3", "87379", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190829", , "Continuous operation", , 
"US-CS3", "87381", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190829", , "Continuous operation", , 
"US-CS3", "87382", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190829", , "Continuous operation", , 
"US-Cst", "13211", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201206010000", , "Continuous operation", "with significant gaps as this is a quasi-remote site", 
"US-Cst", "13227", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201206010000", , "Continuous operation", "with significant gaps as this is a quasi-remote site", 
"US-Cst", "13230", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201206010000", , "Continuous operation", "with significant gaps as this is a quasi-remote site", 
"US-Ctn", "9321", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2007", "2009", "Continuous operation", , 
"US-Cwt", "84991", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201101010000", , "Continuous operation", , 
"US-Cwt", "85000", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201101010000", , "Continuous operation", , 
"US-CZ1", "30807", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20091001", , "Continuous operation", , 
"US-CZ2", "30823", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20100716", , "Continuous operation", , 
"US-CZ3", "30852", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20080905", , "Continuous operation", , 
"US-CZ4", "30837", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20091031", , "Continuous operation", , 
"US-Dea", "11408", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20140404", , "Continuous operation", "These measurements began on the date specified and will continue indefinitely", 
"US-Dea", "11421", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20140404", , "Continuous operation", , 
"US-Dea", "11423", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20140404", , "Continuous operation", , 
"US-Deu", "11428", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20140405", , "Continuous operation", "These measurements began on the date specified and will continue through 2014 and perhaps longer", 
"US-Deu", "11441", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20140405", , "Continuous operation", , 
"US-Deu", "11443", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20140405", , "Continuous operation", , 
"US-DFK", "87337", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201812141315", , "Continuous operation", , 
"US-DFK", "87338", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201812141315", , "Continuous operation", , 
"US-Dia", "30450", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20101014", "20150923", "Continuous operation", , 
"US-Dix", "10163", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2005", "2008", "Continuous operation", , 
"US-Dk1", "79233", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", "2008", "Continuous operation", , 
"US-Dk2", "79234", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", "2008", "Continuous operation", , 
"US-Dk3", "1630", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", "2008", "Continuous operation", , 
"US-DPP", "86723", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20100121", "20160313", "Continuous operation", , 
"US-DPP", "86728", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20100121", "20160313", "Continuous operation", , 
"US-DPP", "86730", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20100121", "20160313", "Continuous operation", , 
"US-DPW", "86874", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20130513", "20170104", "Continuous operation", , 
"US-DPW", "86880", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20130513", "20170104", "Continuous operation", , 
"US-DPW", "86883", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CH4", "20130513", "20170104", "Continuous operation", , 
"US-DPW", "86884", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20130513", "20170104", "Continuous operation", , 
"US-EDN", "84707", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20180218", , "Continuous operation", , 
"US-EDN", "84723", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20180218", , "Continuous operation", , 
"US-EDN", "84725", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20180218", , "Continuous operation", , 
"US-Elm", "1244", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2007", , "Continuous operation", , 
"US-EML", "11147", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200806", , "Continuous operation", "Eddy Covariance measurements through the year", 
"US-EML", "11161", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200806", , "Continuous operation", "Eddy Covariance measurements through the year", 
"US-EML", "11165", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "200806", , "Continuous operation", "Eddy Covariance measurements through the year", 
"US-EML", "31014", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201506", , "Continuous operation", "Eddy Covariance measurements through the year", 
"US-Esm", "5505", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2007", , "Continuous operation", , 
"US-Fcr", "85266", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20110524", "20140922", "Continuous operation", , 
"US-Fcr", "85273", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20110524", "20140922", "Continuous operation", , 
"US-Fcr", "85278", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20110524", "20140922", "Continuous operation", , 
"US-Fmf", "11997", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20060101", "20101231", "Continuous operation", , 
"US-FPe", "6354", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2000", , "Continuous operation", , 
"US-FR1", "4662", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", , "Continuous operation", , 
"US-FR2", "2116", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", , "Continuous operation", , 
"US-FR3", "6355", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", , "Continuous operation", , 
"US-Fuf", "12017", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20060101", "20101231", "Continuous operation", , 
"US-Fwf", "12042", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20060101", "20101231", "Continuous operation", , 
"US-GBT", "16018", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1991", "2006", "Continuous operation", "Intermittent  from 1991-1997, Continuous from 1999-2006", 
